aimag_code,aimag_name,animal_type,year,livestock_count,loss_count,livestock_lag,loss_rate,loss_rate_p75,dzud5,dzud10,dzud_p75
11,Улаанбаатар,Бүгд,1970,32,NA,NA,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1971,38.6,NA,32,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1972,41.2,NA,38.6,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1973,53.5,NA,41.2,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1974,57.9,NA,53.5,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1975,63.2,NA,57.9,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1976,65.3,NA,63.2,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1977,65.1,NA,65.3,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1978,59.3,NA,65.1,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1980,52,NA,59.3,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1981,55.8,NA,52,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1982,60.8,NA,55.8,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1983,72.5,NA,60.8,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1984,75.1,NA,72.5,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1985,80.2,NA,75.1,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1986,80.2,NA,80.2,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1987,93.7,NA,80.2,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1988,99.6,NA,93.7,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1989,118.3,NA,99.6,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1990,143.6,NA,118.3,NA,NA,NA,NA,NA
11,Улаанбаатар,Бүгд,1991,206.4,5.4,143.6,3.7604456824512535,5.014634146341463,0,0,0
11,Улаанбаатар,Бүгд,1992,275.1,6.9,206.4,3.3430232558139537,4.527760238073146,0,0,0
11,Улаанбаатар,Бүгд,1993,266.3,13,275.1,4.725554343874954,7.193353864768518,0,0,0
11,Улаанбаатар,Бүгд,1994,247.8,10.4,266.3,3.905369883589936,4.881527077995523,0,0,0
11,Улаанбаатар,Бүгд,1995,294.3,11.6,247.8,4.681194511702986,5.190682199482804,0,0,0
11,Улаанбаатар,Бүгд,1996,305.8,9.8,294.3,3.3299354400271834,2.9243755500985085,0,0,1
11,Улаанбаатар,Бүгд,1997,301.2,7.6,305.8,2.4852844996729884,3.5534198538351753,0,0,0
11,Улаанбаатар,Бүгд,1998,301,6.4,301.2,2.124833997343958,2.195427685928875,0,0,0
11,Улаанбаатар,Бүгд,1999,239.4,30.4,301,10.099667774086377,2.846039690575341,1,1,1
11,Улаанбаатар,Бүгд,2000,230.6,6.4,239.4,2.6733500417710947,9.107007474251645,0,0,0
11,Улаанбаатар,Бүгд,2001,221.4,24.2,230.6,10.49436253252385,19.520751993638466,1,1,0
11,Улаанбаатар,Бүгд,2002,233.5,4.3,221.4,1.942186088527552,12.804361948127209,0,0,0
11,Улаанбаатар,Бүгд,2003,243.3,7.1,233.5,3.0406852248394003,7.53463304269227,0,0,0
11,Улаанбаатар,Бүгд,2004,226.4,3.4,243.3,1.3974517057131113,1.4141096104979924,0,0,0
11,Улаанбаатар,Бүгд,2005,247.1,2.7,226.4,1.1925795053003534,2.5507084518508076,0,0,0
11,Улаанбаатар,Бүгд,2006,322,2.1,247.1,0.84985835694051,1.5079577905668327,0,0,0
11,Улаанбаатар,Бүгд,2007,331.2,1.6,322,0.4968944099378882,0.900606967335798,0,0,0
11,Улаанбаатар,Бүгд,2008,384.8,2.1,331.2,0.6340579710144928,3.5926703402431555,0,0,0
11,Улаанбаатар,Бүгд,2009,400.8,3.8,384.8,0.9875259875259874,5.140692439404073,0,0,0
11,Улаанбаатар,Бүгд,2010,262.9,73.9,400.8,18.438123752495013,29.649958523266214,1,1,0
11,Улаанбаатар,Бүгд,2011,278.9,2.7,262.9,1.0270064663370104,2.4251698860568114,0,0,0
11,Улаанбаатар,Бүгд,2012,308.5,2.1,278.9,0.7529580494801005,1.3153848476372423,0,0,0
11,Улаанбаатар,Бүгд,2013,329.1,3.6,308.5,1.166936790923825,1.883773635140159,0,0,0
11,Улаанбаатар,Бүгд,2014,385.4,2.1,329.1,0.6381039197812215,0.9402713655012395,0,0,0
11,Улаанбаатар,Бүгд,2015,403.7,2.7,385.4,0.7005708354955891,1.3167482599761813,0,0,0
11,Улаанбаатар,Бүгд,2016,438.3,6.4,403.7,1.5853356452811496,3.278981416451015,0,0,0
11,Улаанбаатар,Бүгд,2017,423.6,8.3,438.3,1.8936801277663702,2.310980279818572,0,0,0
11,Улаанбаатар,Бүгд,2018,411.8,15.1,423.6,3.564683663833805,5.0725167699897895,0,0,0
11,Улаанбаатар,Бүгд,2019,444.9,4.7,411.8,1.1413307430791646,1.6425336915674071,0,0,0
11,Улаанбаатар,Бүгд,2020,468.7,11.2,444.9,2.5174196448640145,3.10548149488153,0,0,0
11,Улаанбаатар,Бүгд,2021,443.3,15.5,468.7,3.30701941540431,4.859568554943955,0,0,0
11,Улаанбаатар,Бүгд,2022,442.8,7,443.3,1.5790660951951272,1.0624452455191553,0,0,1
11,Улаанбаатар,Бүгд,2023,427.2,42.8,442.8,9.665763324299908,8.94397896289265,1,0,1
11,Улаанбаатар,Бүгд,2024,412.8,33.4,427.2,7.818352059925093,17.00344788819607,1,0,0
21,Дорнод,Бүгд,1970,992.1,NA,NA,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1971,1015.2,NA,992.1,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1972,975.3,NA,1015.2,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1973,1022.1,NA,975.3,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1974,1072.7,NA,1022.1,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1975,1094.8,NA,1072.7,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1976,1028.2,NA,1094.8,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1977,1019,NA,1028.2,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1978,1091.9,NA,1019,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1979,1114.2,NA,1091.9,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1980,1036.9,NA,1114.2,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1981,1130.5,NA,1036.9,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1982,1102.9,NA,1130.5,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1983,990.6,NA,1102.9,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1984,929.7,NA,990.6,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1985,930.1,NA,929.7,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1986,876.1,NA,930.1,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1987,887.6,NA,876.1,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1988,897.2,NA,887.6,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1989,923.7,NA,897.2,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1990,936.7,NA,923.7,NA,NA,NA,NA,NA
21,Дорнод,Бүгд,1991,888.9,72.6,936.7,7.750613857158108,5.014634146341463,1,0,1
21,Дорнод,Бүгд,1992,802.1,44.5,888.9,5.006187422657217,4.527760238073146,1,0,1
21,Дорнод,Бүгд,1993,712.7,44.1,802.1,5.498067572621867,7.193353864768518,1,0,0
21,Дорнод,Бүгд,1994,650.3,31.3,712.7,4.391749684299144,4.881527077995523,0,0,0
21,Дорнод,Бүгд,1995,591.4,40,650.3,6.151007227433493,5.190682199482804,1,0,1
21,Дорнод,Бүгд,1996,594.2,20.3,591.4,3.4325329726073726,2.9243755500985085,0,0,1
21,Дорнод,Бүгд,1997,657.2,9,594.2,1.5146415348367552,3.5534198538351753,0,0,0
21,Дорнод,Бүгд,1998,735.7,6.8,657.2,1.0346926354230066,2.195427685928875,0,0,0
21,Дорнод,Бүгд,1999,811.8,10.5,735.7,1.4272121788772596,2.846039690575341,0,0,0
21,Дорнод,Бүгд,2000,826.2,14.7,811.8,1.810790835181079,9.107007474251645,0,0,0
21,Дорнод,Бүгд,2001,794.1,70.9,826.2,8.58145727426773,19.520751993638466,1,0,0
21,Дорнод,Бүгд,2002,825.4,12.8,794.1,1.6118876715778871,12.804361948127209,0,0,0
21,Дорнод,Бүгд,2003,843.8,29.6,825.4,3.5861400533074876,7.53463304269227,0,0,0
21,Дорнод,Бүгд,2004,887.9,9.4,843.8,1.1140080587817018,1.4141096104979924,0,0,0
21,Дорнод,Бүгд,2005,978.5,12.7,887.9,1.4303412546457934,2.5507084518508076,0,0,0
21,Дорнод,Бүгд,2006,1113.3,5.8,978.5,0.5927439959121104,1.5079577905668327,0,0,0
21,Дорнод,Бүгд,2007,1307.3,4.3,1113.3,0.38623910895535796,0.900606967335798,0,0,0
21,Дорнод,Бүгд,2008,1476.2,18.6,1307.3,1.4227797751090034,3.5926703402431555,0,0,0
21,Дорнод,Бүгд,2009,1450.7,138.2,1476.2,9.361875084676873,5.140692439404073,1,0,1
21,Дорнод,Бүгд,2010,1113.3,314.7,1450.7,21.692975804783895,29.649958523266214,1,1,0
21,Дорнод,Бүгд,2011,1149.8,10.9,1113.3,0.9790712296775352,2.4251698860568114,0,0,0
21,Дорнод,Бүгд,2012,1207.3,14.2,1149.8,1.2349973908505827,1.3153848476372423,0,0,0
21,Дорнод,Бүгд,2013,1220.1,47.9,1207.3,3.967530853971672,1.883773635140159,0,0,1
21,Дорнод,Бүгд,2014,1393.4,8.8,1220.1,0.7212523563642326,0.9402713655012395,0,0,0
21,Дорнод,Бүгд,2015,1555.4,7.1,1393.4,0.5095449978469929,1.3167482599761813,0,0,0
21,Дорнод,Бүгд,2016,1722.9,13.6,1555.4,0.8743731516008744,3.278981416451015,0,0,0
21,Дорнод,Бүгд,2017,2057.8,9.1,1722.9,0.5281792326890706,2.310980279818572,0,0,0
21,Дорнод,Бүгд,2018,2377.8,6.6,2057.8,0.3207308776363106,5.0725167699897895,0,0,0
21,Дорнод,Бүгд,2019,2629.6,7.4,2377.8,0.31121204474724534,1.6425336915674071,0,0,0
21,Дорнод,Бүгд,2020,2749.7,16.4,2629.6,0.6236689990873137,3.10548149488153,0,0,0
21,Дорнод,Бүгд,2021,3051.1,8.6,2749.7,0.3127613921518711,4.859568554943955,0,0,0
21,Дорнод,Бүгд,2022,3342.3,10.4,3051.1,0.3408606731998296,1.0624452455191553,0,0,0
21,Дорнод,Бүгд,2023,3151.7,100.8,3342.3,3.0158872632618254,8.94397896289265,0,0,0
21,Дорнод,Бүгд,2024,2652.2,433.3,3151.7,13.748135926642766,17.00344788819607,1,1,0
22,Сүхбаатар,Бүгд,1970,1001.4,NA,NA,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1971,901.4,NA,1001.4,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1972,974,NA,901.4,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1973,1053.6,NA,974,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1974,1068,NA,1053.6,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1975,1073.9,NA,1068,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1976,1059.3,NA,1073.9,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1977,1087.9,NA,1059.3,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1978,1124.8,NA,1087.9,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1979,1162.4,NA,1124.8,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1980,1068.4,NA,1162.4,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1981,1131,NA,1068.4,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1982,1035.9,NA,1131,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1983,948.2,NA,1035.9,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1984,1007.2,NA,948.2,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1985,1028.1,NA,1007.2,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1986,1032.8,NA,1028.1,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1987,916.6,NA,1032.8,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1988,959.3,NA,916.6,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1989,996.8,NA,959.3,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1990,1004.7,NA,996.8,NA,NA,NA,NA,NA
22,Сүхбаатар,Бүгд,1991,1035.8,27.8,1004.7,2.7669951229222653,5.014634146341463,0,0,0
22,Сүхбаатар,Бүгд,1992,1098.7,24.1,1035.8,2.3267039969106005,4.527760238073146,0,0,0
22,Сүхбаатар,Бүгд,1993,646.8,27,1098.7,2.4574497132975335,7.193353864768518,0,0,0
22,Сүхбаатар,Бүгд,1994,1086.9,62,646.8,9.5856524427953,4.881527077995523,1,0,1
22,Сүхбаатар,Бүгд,1995,1015.6,83.6,1086.9,7.691599963198086,5.190682199482804,1,0,1
22,Сүхбаатар,Бүгд,1996,1040.9,28.3,1015.6,2.78653012997243,2.9243755500985085,0,0,0
22,Сүхбаатар,Бүгд,1997,1133.1,40,1040.9,3.8428283216447303,3.5534198538351753,0,0,1
22,Сүхбаатар,Бүгд,1998,1288.2,34.7,1133.1,3.062395199011562,2.195427685928875,0,0,1
22,Сүхбаатар,Бүгд,1999,1450.6,16.6,1288.2,1.288619779537339,2.846039690575341,0,0,0
