sample,iv_var,pi_hat,pi_p,F_first,N,verdict
wage_all,dzud_cum_6_17,0.004715616110569585,0.09061140431788973,3.1461092591683917,7859,WRONG_SIGN
wage_all,dzud_count5_6_17,0.047065986380814724,0.17511995163271807,1.9694551614318436,7859,WRONG_SIGN
wage_all,dzud_p75_count_6_17,0.023279787050630905,0.3384249453982844,0.959657137205197,7859,WRONG_SIGN
wage_rural_birth,dzud_cum_6_17,0.0028202711376643444,0.2630778378833725,1.326118720483493,6822,WRONG_SIGN
wage_rural_birth,dzud_count5_6_17,0.06460597476014109,0.08022643473751255,3.3960505663428187,6822,WRONG_SIGN
wage_rural_birth,dzud_p75_count_6_17,0.011240074257579509,0.669567797680324,0.18758678757012345,6822,WRONG_SIGN
wage_current_rural,dzud_cum_6_17,7.31337674085737e-4,0.9210740237599186,0.010055878523112627,1441,WRONG_SIGN
wage_current_rural,dzud_count5_6_17,0.1331776381018366,0.07048270727371403,3.6313655336353468,1441,WRONG_SIGN
wage_current_rural,dzud_p75_count_6_17,0.02902521179985215,0.6553507830160472,0.2050091167736209,1441,WRONG_SIGN
wage_birth_1980_1999,dzud_cum_6_17,0.004715616110569585,0.09061140431788973,3.1461092591683917,7859,WRONG_SIGN
wage_birth_1980_1999,dzud_count5_6_17,0.047065986380814724,0.17511995163271807,1.9694551614318436,7859,WRONG_SIGN
wage_birth_1980_1999,dzud_p75_count_6_17,0.023279787050630905,0.3384249453982844,0.959657137205197,7859,WRONG_SIGN
wage_rural_birth_1980_1999,dzud_cum_6_17,0.0028202711376643444,0.2630778378833725,1.326118720483493,6822,WRONG_SIGN
wage_rural_birth_1980_1999,dzud_count5_6_17,0.06460597476014109,0.08022643473751255,3.3960505663428187,6822,WRONG_SIGN
wage_rural_birth_1980_1999,dzud_p75_count_6_17,0.011240074257579509,0.669567797680324,0.18758678757012345,6822,WRONG_SIGN
all_adults_all,dzud_cum_6_17,0.0035099031865269466,0.239975202300204,1.462480659973221,14753,WRONG_SIGN
all_adults_all,dzud_count5_6_17,0.03424987987951152,0.2671288192244817,1.2995637106796236,14753,WRONG_SIGN
all_adults_all,dzud_p75_count_6_17,0.04026702374231536,0.1836556441935645,1.8903513314057283,14753,WRONG_SIGN
all_adults_rural_birth,dzud_cum_6_17,0.0013807910381994318,0.5926730079760426,0.2955848347153051,12857,WRONG_SIGN
all_adults_rural_birth,dzud_count5_6_17,0.0471565578438097,0.1297208302940701,2.497396922833202,12857,WRONG_SIGN
all_adults_rural_birth,dzud_p75_count_6_17,0.020536191317206354,0.4577240043424372,0.5734416910321346,12857,WRONG_SIGN
all_adults_current_rural,dzud_cum_6_17,0.012059929143827601,0.11001299681565116,2.7846648146497652,3762,WRONG_SIGN
all_adults_current_rural,dzud_count5_6_17,0.12563024636150838,0.16638157219545402,2.055484596680555,3762,WRONG_SIGN
all_adults_current_rural,dzud_p75_count_6_17,0.08170052722453378,0.2154266742070433,1.6315807238065572,3762,WRONG_SIGN
all_adults_birth_1980_1999,dzud_cum_6_17,0.0035099031865269466,0.239975202300204,1.462480659973221,14753,WRONG_SIGN
all_adults_birth_1980_1999,dzud_count5_6_17,0.03424987987951152,0.2671288192244817,1.2995637106796236,14753,WRONG_SIGN
all_adults_birth_1980_1999,dzud_p75_count_6_17,0.04026702374231536,0.1836556441935645,1.8903513314057283,14753,WRONG_SIGN
all_adults_rural_birth_1980_1999,dzud_cum_6_17,0.0013807910381994318,0.5926730079760426,0.2955848347153051,12857,WRONG_SIGN
all_adults_rural_birth_1980_1999,dzud_count5_6_17,0.0471565578438097,0.1297208302940701,2.497396922833202,12857,WRONG_SIGN
all_adults_rural_birth_1980_1999,dzud_p75_count_6_17,0.020536191317206354,0.4577240043424372,0.5734416910321346,12857,WRONG_SIGN
