window,iv_name,iv_var,fe_design,pi_hat,pi_p,F_first,beta_2sls,se_2sls,N,expected_sign_ok,sign_comment,verdict,identification_source
12-17,any loss_rate >= 5,dzud_any_dzud5_12_17,birth_aimag + birth_cohort + wave,0.0788914413236216,0.30978680271119363,1.0833416977292296,0.1838923878772043,0.2500140785756622,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
12-17,any loss_rate >= 5,dzud_any_dzud5_12_17,birth_aimag + birth_year + wave,0.1251207860294133,0.12377145709731957,2.571040636317273,0.2024553229604873,0.15127794198078884,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
12-17,any loss_rate >= 5,dzud_any_dzud5_12_17,birth_aimag + wave,0.06754632272947995,0.36079713992390006,0.872811363789026,0.2984826491863668,0.3505236430121943,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
12-17,any loss_rate >= 5,dzud_any_dzud5_12_17,region + wave,0.06633967696236157,0.352076731308926,0.9057274568172502,0.27313141995020374,0.3190737330960451,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,between-aimag/chronic
12-17,count loss_rate >= 10,dzud_count10_12_17,birth_aimag + birth_cohort + wave,0.02600422148109076,0.6016775811542848,0.28089037483165463,0.12840254052913025,0.4267521750837661,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
12-17,count loss_rate >= 10,dzud_count10_12_17,birth_aimag + birth_year + wave,0.05634850908066306,0.3981996989867356,0.7437641219143372,0.18415528870048625,0.22539733421300062,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
12-17,count loss_rate >= 10,dzud_count10_12_17,birth_aimag + wave,0.02453371430249867,0.5868799104620155,0.30453271605071025,0.3418235769097251,0.5036876336841698,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
12-17,count loss_rate >= 10,dzud_count10_12_17,region + wave,0.0019312997337705476,0.9702390665834528,0.001425494622156493,1.552758518205792,38.30651533333556,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,between-aimag/chronic
12-17,count loss_rate >= 5,dzud_count5_12_17,birth_aimag + birth_cohort + wave,0.05098871321285205,0.24750666792013598,1.414984596471959,-0.022270412776141058,0.11607913936401505,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
12-17,count loss_rate >= 5,dzud_count5_12_17,birth_aimag + birth_year + wave,0.06811630796466006,0.11196910854705151,2.7524255882621933,0.029440401286009443,0.08790211923871445,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
12-17,count loss_rate >= 5,dzud_count5_12_17,birth_aimag + wave,0.039418890987108136,0.24398069108841666,1.4369855310769348,0.08638577663847258,0.17080088269354668,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
12-17,count loss_rate >= 5,dzud_count5_12_17,region + wave,0.021172866580761854,0.537059662297708,0.39382639348254433,0.04190093329286526,0.33276699623734857,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,between-aimag/chronic
12-17,count loss_rate >= year p75,dzud_p75_count_12_17,birth_aimag + birth_cohort + wave,0.05969591573652443,0.05363752013305226,4.180187634249154,-0.008881648425776989,0.06319572981906939,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
12-17,count loss_rate >= year p75,dzud_p75_count_12_17,birth_aimag + birth_year + wave,0.06247568153027401,0.04219621538517754,4.680015184994521,-0.004307604287586031,0.06011709224769272,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
12-17,count loss_rate >= year p75,dzud_p75_count_12_17,birth_aimag + wave,0.05972667766630337,0.0489725392971043,4.367818775083062,3.3141056048480166e-4,0.06610065063208849,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
12-17,count loss_rate >= year p75,dzud_p75_count_12_17,region + wave,0.041751064148155145,0.19137951174764609,1.8225773570251451,-0.07025666340383863,0.1224644951178296,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,between-aimag/chronic
12-17,cumulative loss rate,dzud_cum_12_17,birth_aimag + birth_cohort + wave,0.0049335769451553,0.03662523074680479,4.982635023105158,-0.05146464980033372,0.0940201436954783,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
12-17,cumulative loss rate,dzud_cum_12_17,birth_aimag + birth_year + wave,0.007833166318743244,0.0033412494883121448,10.947495093496702,0.008174483595327464,0.055001547401464665,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
12-17,cumulative loss rate,dzud_cum_12_17,birth_aimag + wave,0.003657950776463957,0.11426935002217668,2.7153527979633463,0.03369236623469529,0.1101643593912524,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
12-17,cumulative loss rate,dzud_cum_12_17,region + wave,0.0019836055332204195,0.42580739214791696,0.6596142707759898,-0.09335482608687506,0.2631714202529,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,between-aimag/chronic
12-17,maximum loss rate,dzud_max_12_17,birth_aimag + birth_cohort + wave,0.004594771661013137,0.18273461802973873,1.8986672473952069,-0.10896460776679096,0.1723042151893462,11418,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
12-17,maximum loss rate,dzud_max_12_17,birth_aimag + birth_year + wave,0.008196105464545756,0.03622880667032437,5.006126912665001,-0.014381068674997,0.0926144697673707,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
12-17,maximum loss rate,dzud_max_12_17,birth_aimag + wave,0.003943650068406416,0.2400174755790899,1.462208739010346,-0.014817479379056309,0.16965543952070916,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
12-17,maximum loss rate,dzud_max_12_17,region + wave,0.0011716372632394852,0.7413298324120281,0.11188148910360728,-0.4632177208631276,1.5310519934567495,11418,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,between-aimag/chronic
15-17,any loss_rate >= 5,dzud_any_dzud5_15_17,birth_aimag + birth_cohort + wave,0.07995912456221248,0.14973250670485738,2.2356990778574746,-0.017817662823862435,0.13862539365029325,13064,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
15-17,any loss_rate >= 5,dzud_any_dzud5_15_17,birth_aimag + birth_year + wave,0.10177299252217659,0.18448554525812783,1.882902053980545,0.0782988204268138,0.14401625519425343,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
15-17,any loss_rate >= 5,dzud_any_dzud5_15_17,birth_aimag + wave,0.08051622511948389,0.14387523231316768,2.3049393654446217,-0.0025642850387077587,0.1384218332879941,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
15-17,any loss_rate >= 5,dzud_any_dzud5_15_17,region + wave,0.06553082398466398,0.22379928870117483,1.5712695020069611,-0.04017316467543175,0.18399111601556375,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,between-aimag/chronic
15-17,count loss_rate >= 10,dzud_count10_15_17,birth_aimag + birth_cohort + wave,-0.03567004003208909,0.43083291005909374,0.6451983281095565,0.09782769101071409,0.25928183662323495,13064,TRUE,negative as expected,WEAK,within-aimag + cohort-controlled
15-17,count loss_rate >= 10,dzud_count10_15_17,birth_aimag + birth_year + wave,-0.059662611849684855,0.39468995745940005,0.7550987867264509,-0.1731319051286473,0.38547603945978787,13064,TRUE,negative as expected,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
15-17,count loss_rate >= 10,dzud_count10_15_17,birth_aimag + wave,-0.021793713073294935,0.6261187949845374,0.2444844090919269,0.05608705619525978,0.455461035104984,13064,TRUE,negative as expected,DIAGNOSTIC_ONLY,within-aimag
15-17,count loss_rate >= 10,dzud_count10_15_17,region + wave,-0.04623545294134609,0.331047977820249,0.9900913486967062,0.10540839871271857,0.21702675365217894,13064,TRUE,negative as expected,DIAGNOSTIC_ONLY,between-aimag/chronic
15-17,count loss_rate >= 5,dzud_count5_15_17,birth_aimag + birth_cohort + wave,0.037742501109841675,0.2993144390712275,1.1325599220809646,-0.14368400820474392,0.26272687516835364,13064,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
15-17,count loss_rate >= 5,dzud_count5_15_17,birth_aimag + birth_year + wave,0.09071521044266218,0.06880000430723032,3.679040153244826,0.026443249995530937,0.09752343681332869,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
15-17,count loss_rate >= 5,dzud_count5_15_17,birth_aimag + wave,0.0421091050606741,0.24741046061955999,1.415579520799609,-0.10483691308074228,0.21322846509070972,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
15-17,count loss_rate >= 5,dzud_count5_15_17,region + wave,0.022595417156350092,0.5384787655995148,0.39106191991362727,-0.28614136387421496,0.6514384935724609,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,between-aimag/chronic
15-17,count loss_rate >= year p75,dzud_p75_count_15_17,birth_aimag + birth_cohort + wave,0.07800989990417495,0.043114274229065955,4.634507705731662,0.06600771874935529,0.0574514297047858,13064,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
15-17,count loss_rate >= year p75,dzud_p75_count_15_17,birth_aimag + birth_year + wave,0.07493456237335495,0.04978250744372235,4.333816826594161,0.06807835437609366,0.0622933741478772,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
15-17,count loss_rate >= year p75,dzud_p75_count_15_17,birth_aimag + wave,0.07356357485520654,0.04876081917551946,4.376812185725334,0.07669882978647458,0.06679896810281499,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
15-17,count loss_rate >= year p75,dzud_p75_count_15_17,region + wave,0.05489181893748456,0.13707957820289252,2.3896399764557086,0.03704178812847836,0.07324502072016183,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,between-aimag/chronic
15-17,cumulative loss rate,dzud_cum_15_17,birth_aimag + birth_cohort + wave,0.002509038594453038,0.2007321677116124,1.7449097432776235,-0.09155862543551052,0.17743834878377898,13064,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
15-17,cumulative loss rate,dzud_cum_15_17,birth_aimag + birth_year + wave,0.00642465999359202,0.01066587551064652,7.854896362220241,0.07941456487514031,0.09303800297194825,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
15-17,cumulative loss rate,dzud_cum_15_17,birth_aimag + wave,0.0029687569836573057,0.14870120930717048,2.247651511768248,-0.049346423978413156,0.14936592414741404,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
15-17,cumulative loss rate,dzud_cum_15_17,region + wave,0.0015488463910500396,0.5061201328818449,0.45762325610549354,-0.22466877537997476,0.5140779654368817,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,between-aimag/chronic
15-17,maximum loss rate,dzud_max_15_17,birth_aimag + birth_cohort + wave,0.003998836158092559,0.09838030133537191,2.9914128477785202,-0.04739144729854239,0.11740422232121953,13064,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
15-17,maximum loss rate,dzud_max_15_17,birth_aimag + birth_year + wave,0.007752517429597718,0.0245242094924059,5.870186617636825,0.08289795143682444,0.09212986723357643,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
15-17,maximum loss rate,dzud_max_15_17,birth_aimag + wave,0.004456286792251962,0.08600059270647797,3.2454125958258175,-0.023552939399112738,0.1138980012846903,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
15-17,maximum loss rate,dzud_max_15_17,region + wave,0.00267078609568669,0.37259419334449795,0.8300636324979092,-0.141930298606475,0.28905584674946044,13064,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,between-aimag/chronic
6-17,any loss_rate >= 5,dzud_any_dzud5_6_17,birth_aimag + birth_cohort + wave,NA,NA,NA,NA,NA,7859,NA,not estimated,COLLINEAR_USELESS,within-aimag + cohort-controlled
6-17,any loss_rate >= 5,dzud_any_dzud5_6_17,birth_aimag + birth_year + wave,NA,NA,NA,NA,NA,7859,NA,not estimated,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
6-17,any loss_rate >= 5,dzud_any_dzud5_6_17,birth_aimag + wave,NA,NA,NA,NA,NA,7859,NA,not estimated,DIAGNOSTIC_ONLY,within-aimag
6-17,any loss_rate >= 5,dzud_any_dzud5_6_17,region + wave,NA,NA,NA,NA,NA,7859,NA,not estimated,DIAGNOSTIC_ONLY,between-aimag/chronic
6-17,count loss_rate >= 10,dzud_count10_6_17,birth_aimag + birth_cohort + wave,0.07840857635843762,0.159120713413848,2.131264063954974,0.1594650893189833,0.1943806991739704,7859,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
6-17,count loss_rate >= 10,dzud_count10_6_17,birth_aimag + birth_year + wave,0.07363070450301111,0.36662737407234447,0.8514358273234819,0.4631918514668225,0.5080693131518556,7859,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
6-17,count loss_rate >= 10,dzud_count10_6_17,birth_aimag + wave,0.05522911327004158,0.33470161476441773,0.9749006683843876,0.08545432149474408,0.20934546862520445,7859,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
6-17,count loss_rate >= 10,dzud_count10_6_17,region + wave,-0.012148173165149512,0.8425064698466349,0.0404667233362627,1.0675988937811525,5.043581363904464,7859,TRUE,negative as expected,DIAGNOSTIC_ONLY,between-aimag/chronic
6-17,count loss_rate >= 5,dzud_count5_6_17,birth_aimag + birth_cohort + wave,0.047065986380814724,0.17511995163271807,1.9694551614318436,-0.08099861957487864,0.1636539467278625,7859,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
6-17,count loss_rate >= 5,dzud_count5_6_17,birth_aimag + birth_year + wave,0.029273369050077484,0.6209471514208447,0.2519215792224228,-0.03452193395020231,0.34903235844306923,7859,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
6-17,count loss_rate >= 5,dzud_count5_6_17,birth_aimag + wave,0.03680511445679777,0.21289838296225086,1.6503767629744268,-0.17755159515376917,0.26512721705258996,7859,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
6-17,count loss_rate >= 5,dzud_count5_6_17,region + wave,-0.005467607970365183,0.8961996017381365,0.017437936759533514,1.906657253582921,13.856020405445975,7859,TRUE,negative as expected,DIAGNOSTIC_ONLY,between-aimag/chronic
6-17,count loss_rate >= year p75,dzud_p75_count_6_17,birth_aimag + birth_cohort + wave,0.023279787050630905,0.3384249453982844,0.959657137205197,-0.0726303226493723,0.2662137943357379,7859,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
6-17,count loss_rate >= year p75,dzud_p75_count_6_17,birth_aimag + birth_year + wave,0.026001573546806624,0.32235861236158014,1.027175386538813,-0.05125720365382236,0.2323890502584444,7859,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
6-17,count loss_rate >= year p75,dzud_p75_count_6_17,birth_aimag + wave,0.023113683938984088,0.347975841562717,0.9216120834501131,-0.0716123661013679,0.26364164414813257,7859,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
6-17,count loss_rate >= year p75,dzud_p75_count_6_17,region + wave,-0.008780228394367453,0.7421487751639423,0.11114616919929884,0.5853536637892134,1.548518134696352,7859,TRUE,negative as expected,DIAGNOSTIC_ONLY,between-aimag/chronic
6-17,cumulative loss rate,dzud_cum_6_17,birth_aimag + birth_cohort + wave,0.004715616110569585,0.09061140431788973,3.1461092591683917,-0.03001342333565926,0.1496052123128071,7859,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
6-17,cumulative loss rate,dzud_cum_6_17,birth_aimag + birth_year + wave,0.0059403852204829655,0.13507808213152805,2.4155482205776524,0.1008335909844873,0.10340373277518637,7859,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
6-17,cumulative loss rate,dzud_cum_6_17,birth_aimag + wave,0.003727804970504469,0.16660061676636698,2.053261264022372,-0.09539645457249346,0.2258736277994081,7859,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
6-17,cumulative loss rate,dzud_cum_6_17,region + wave,-9.23228302427199e-4,0.7361838647604002,0.11656412885178755,0.8962531082088887,2.2585881970467105,7859,TRUE,negative as expected,DIAGNOSTIC_ONLY,between-aimag/chronic
6-17,maximum loss rate,dzud_max_6_17,birth_aimag + birth_cohort + wave,0.0077461353690475455,0.39753790957372614,0.7458898551702509,-0.025785719999012358,0.21687832481705144,7859,FALSE,positive or zero; wrong expected sign,WRONG_SIGN,within-aimag + cohort-controlled
6-17,maximum loss rate,dzud_max_6_17,birth_aimag + birth_year + wave,0.007709294867935707,0.4211813579396111,0.6731209899197275,0.09425681252462503,0.1508560768922219,7859,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag + birth-year-controlled
6-17,maximum loss rate,dzud_max_6_17,birth_aimag + wave,0.007190255005154087,0.42907987110485146,0.6501969604981053,-0.034111914870381455,0.24707878131535013,7859,FALSE,positive or zero; wrong expected sign,DIAGNOSTIC_ONLY,within-aimag
6-17,maximum loss rate,dzud_max_6_17,region + wave,-0.004964029064412316,0.38207459584135495,0.7971152618982166,0.24244506445138736,0.2898960726401978,7859,TRUE,negative as expected,DIAGNOSTIC_ONLY,between-aimag/chronic
