sample,iv_var,pi_hat,pi_p,F_first,N,verdict
wage_all,dzud_cum_12_17,0.0049335769451553,0.03662523074680479,4.982635023105158,11418,WRONG_SIGN
wage_all,dzud_count5_12_17,0.05098871321285205,0.24750666792013598,1.414984596471959,11418,WRONG_SIGN
wage_all,dzud_p75_count_12_17,0.05969591573652443,0.05363752013305226,4.180187634249154,11418,WRONG_SIGN
wage_rural_birth,dzud_cum_12_17,0.004152301281827799,0.09968742222509876,2.9805318259330305,9877,WRONG_SIGN
wage_rural_birth,dzud_count5_12_17,0.06337258430772034,0.19553380331523065,1.7934061639293715,9877,WRONG_SIGN
wage_rural_birth,dzud_p75_count_12_17,0.04474017309678523,0.10021156438370105,2.970686242563068,9877,WRONG_SIGN
wage_current_rural,dzud_cum_12_17,0.008196134672149195,0.1120357325253377,2.751339238224823,2069,WRONG_SIGN
wage_current_rural,dzud_count5_12_17,0.06153698271491199,0.5541636488909223,0.3614008711759503,2069,WRONG_SIGN
wage_current_rural,dzud_p75_count_12_17,0.04869879705379247,0.3586376133510143,0.880855695836075,2069,WRONG_SIGN
wage_birth_1980_1999,dzud_cum_12_17,0.004509862707230345,0.07616405263012278,3.479587298189083,10798,WRONG_SIGN
wage_birth_1980_1999,dzud_count5_12_17,0.058629872199487544,0.1860870974658937,1.8686424384033131,10798,WRONG_SIGN
wage_birth_1980_1999,dzud_p75_count_12_17,0.06692656980202022,0.03930044662523098,4.831258464043198,10798,WRONG_SIGN
wage_rural_birth_1980_1999,dzud_cum_12_17,0.003759983151321668,0.1660701802612703,2.066081780172759,9337,WRONG_SIGN
wage_rural_birth_1980_1999,dzud_count5_12_17,0.06944671027648787,0.15912073375334887,2.1391326579650913,9337,WRONG_SIGN
wage_rural_birth_1980_1999,dzud_p75_count_12_17,0.05216037273911691,0.07349067799038977,3.5680447247513056,9337,WRONG_SIGN
all_adults_all,dzud_cum_12_17,0.004943061425648061,0.11582813317325222,2.690726636094321,21844,WRONG_SIGN
all_adults_all,dzud_count5_12_17,0.04287830880909401,0.25321700831911287,1.380199683165947,21844,WRONG_SIGN
all_adults_all,dzud_p75_count_12_17,0.07822123710419497,0.05728426683646727,4.046027263671547,21844,WRONG_SIGN
all_adults_rural_birth,dzud_cum_12_17,0.0035561465511769505,0.2676663319401597,1.30009914399157,19021,WRONG_SIGN
all_adults_rural_birth,dzud_count5_12_17,0.05423210312524842,0.2204016502559871,1.600304218205416,19021,WRONG_SIGN
all_adults_rural_birth,dzud_p75_count_12_17,0.05607275395555223,0.1198531748967951,2.6400914990076165,19021,WRONG_SIGN
all_adults_current_rural,dzud_cum_12_17,0.01270461016594046,0.0077192432008336715,8.677696004457415,5632,WRONG_SIGN
all_adults_current_rural,dzud_count5_12_17,0.10835007615914687,0.04532465409835984,4.529303908703119,5632,WRONG_SIGN
all_adults_current_rural,dzud_p75_count_12_17,0.10658424542686275,0.04067151392978962,4.758129676250649,5632,WRONG_SIGN
all_adults_birth_1980_1999,dzud_cum_12_17,0.004622992231112518,0.16343729608921312,2.0857196117696226,20632,WRONG_SIGN
all_adults_birth_1980_1999,dzud_count5_12_17,0.03874544906036222,0.3393702111167216,0.9558245891182784,20632,WRONG_SIGN
all_adults_birth_1980_1999,dzud_p75_count_12_17,0.08287164854246519,0.059081017572242954,3.9834676270236704,20632,WRONG_SIGN
all_adults_rural_birth_1980_1999,dzud_cum_12_17,0.0030734017492630634,0.3656084313471347,0.8570280909424485,17965,WRONG_SIGN
all_adults_rural_birth_1980_1999,dzud_count5_12_17,0.05120055790274344,0.2799090080071968,1.2334634715803576,17965,WRONG_SIGN
all_adults_rural_birth_1980_1999,dzud_p75_count_12_17,0.058548554747644414,0.13281280205609514,2.455329116626094,17965,WRONG_SIGN
