aimag,aimag_name,lat,lon,distance_to_ub
11,Улаанбаатар,47.918,106.917,0
21,Дорнод/Чойбалсан,48.072,114.522,565.9255139453393
22,Сүхбаатар/Баруун-Урт,46.683,113.283,499.1297213329998
23,Хэнтий/Чингис,47.317,110.65,287.6409179437562
41,Төв/Зуунмод,47.706,106.952,23.717768951505168
42,Говьсүмбэр/Чойр,46.358,108.357,204.81617227094986
43,Сэлэнгэ/Сүхбаатар,50.236,106.214,262.783389986997
44,Дорноговь/Сайншанд,44.892,110.117,416.3523374741248
45,Дархан-Уул/Дархан,49.486,105.928,188.85226225436722
46,Өмнөговь/Даланзадгад,43.575,104.425,520.120244391359
48,Дундговь/Мандалгов,45.762,106.283,244.535707800464
61,Орхон/Эрдэнэт,49.034,104.083,242.96107119625228
62,Өвөрхангай/Арвайхээр,46.265,102.785,362.7433225537649
63,Булган/Булган,48.812,103.53,269.21142362936376
64,Баянхонгор/Баянхонгор,46.193,100.717,507.1563491433865
65,Архангай/Цэцэрлэг,47.475,101.453,411.79637758911
67,Хөвсгөл/Мөрөн,49.633,100.158,530.498103507136
81,Завхан/Улиастай,47.749,96.842,751.7364822502226
82,Говь-Алтай/Алтай,46.367,96.265,823.1694658580907
83,Баян-Өлгий/Өлгий,48.964,89.969,1252.9474173158897
84,Ховд/Ховд,48.005,91.64,1135.6938506647364
85,Увс/Улаангом,49.981,92.062,1106.78776233169
