aimag_code,aimag_name,year,annual_average_population
11,Улаанбаатар,1990,567308
11,Улаанбаатар,1991,588858
11,Улаанбаатар,1992,589069
11,Улаанбаатар,1993,594129
11,Улаанбаатар,1994,611578
11,Улаанбаатар,1995,631795
11,Улаанбаатар,1996,652633
11,Улаанбаатар,1997,674606
11,Улаанбаатар,1998,700320
11,Улаанбаатар,1999,737366
11,Улаанбаатар,2000,777397
11,Улаанбаатар,2001,811856
11,Улаанбаатар,2002,850253
11,Улаанбаатар,2003,899308
11,Улаанбаатар,2004,948856
11,Улаанбаатар,2005,993281
11,Улаанбаатар,2006,1034729
11,Улаанбаатар,2007,1076152
11,Улаанбаатар,2008,1123228
11,Улаанбаатар,2009,1172227
11,Улаанбаатар,2010,1220620
11,Улаанбаатар,2011,1265770
11,Улаанбаатар,2012,1302615
11,Улаанбаатар,2013,1345086
11,Улаанбаатар,2014,1367508
11,Улаанбаатар,2015,1379631
11,Улаанбаатар,2016,1418368
11,Улаанбаатар,2017,1451710
11,Улаанбаатар,2018,1477174
11,Улаанбаатар,2019,1515593
11,Улаанбаатар,2020,1571526
11,Улаанбаатар,2021,1624184
11,Улаанбаатар,2022,1671422
11,Улаанбаатар,2023,1719260
11,Улаанбаатар,2024,1757452
11,Улаанбаатар,2025,1785075
21,Дорнод,1990,82034
21,Дорнод,1991,82607
21,Дорнод,1992,81110
21,Дорнод,1993,80000
21,Дорнод,1994,79786
21,Дорнод,1995,79404
21,Дорнод,1996,78880
21,Дорнод,1997,78181
21,Дорнод,1998,77372
21,Дорнод,1999,76140
21,Дорнод,2000,74596
21,Дорнод,2001,73791
21,Дорнод,2002,73677
21,Дорнод,2003,73238
21,Дорнод,2004,72387
21,Дорнод,2005,71546
21,Дорнод,2006,71094
21,Дорнод,2007,70462
21,Дорнод,2008,70095
21,Дорнод,2009,70088
21,Дорнод,2010,69738
21,Дорнод,2011,69883
21,Дорнод,2012,70744
21,Дорнод,2013,71402
21,Дорнод,2014,73361
21,Дорнод,2015,75835
21,Дорнод,2016,77028
21,Дорнод,2017,78512
21,Дорнод,2018,80214
21,Дорнод,2019,81519
21,Дорнод,2020,82631
21,Дорнод,2021,83543
21,Дорнод,2022,83852
21,Дорнод,2023,83999
21,Дорнод,2024,84449
21,Дорнод,2025,84858
22,Сүхбаатар,1990,52022
22,Сүхбаатар,1991,54053
22,Сүхбаатар,1992,55386
22,Сүхбаатар,1993,56034
22,Сүхбаатар,1994,56410
22,Сүхбаатар,1995,56742
22,Сүхбаатар,1996,56943
22,Сүхбаатар,1997,56969
22,Сүхбаатар,1998,56824
22,Сүхбаатар,1999,56447
22,Сүхбаатар,2000,55852
22,Сүхбаатар,2001,55460
22,Сүхбаатар,2002,55263
22,Сүхбаатар,2003,55126
22,Сүхбаатар,2004,55014
22,Сүхбаатар,2005,54479
22,Сүхбаатар,2006,53655
22,Сүхбаатар,2007,52892
22,Сүхбаатар,2008,52248
22,Сүхбаатар,2009,51832
22,Сүхбаатар,2010,51552
22,Сүхбаатар,2011,51602
22,Сүхбаатар,2012,52214
22,Сүхбаатар,2013,52897
22,Сүхбаатар,2014,55285
22,Сүхбаатар,2015,58229
22,Сүхбаатар,2016,59422
22,Сүхбаатар,2017,60471
22,Сүхбаатар,2018,61726
22,Сүхбаатар,2019,62752
22,Сүхбаатар,2020,63557
22,Сүхбаатар,2021,64351
22,Сүхбаатар,2022,65047
22,Сүхбаатар,2023,65564
22,Сүхбаатар,2024,65852
22,Сүхбаатар,2025,66256
23,Хэнтий,1990,75106
23,Хэнтий,1991,75453
23,Хэнтий,1992,73365
23,Хэнтий,1993,72346
23,Хэнтий,1994,72592
23,Хэнтий,1995,72855
23,Хэнтий,1996,73140
23,Хэнтий,1997,73285
23,Хэнтий,1998,73022
23,Хэнтий,1999,71856
23,Хэнтий,2000,70904
23,Хэнтий,2001,70789
23,Хэнтий,2002,70538
23,Хэнтий,2003,69647
23,Хэнтий,2004,68726
23,Хэнтий,2005,68044
23,Хэнтий,2006,67467
23,Хэнтий,2007,67200
23,Хэнтий,2008,66630
23,Хэнтий,2009,66184
23,Хэнтий,2010,66043
23,Хэнтий,2011,66195
23,Хэнтий,2012,66957
23,Хэнтий,2013,67477
23,Хэнтий,2014,69351
23,Хэнтий,2015,71910
23,Хэнтий,2016,73136
23,Хэнтий,2017,74673
23,Хэнтий,2018,76356
23,Хэнтий,2019,77493
23,Хэнтий,2020,78152
23,Хэнтий,2021,78745
23,Хэнтий,2022,79138
23,Хэнтий,2023,79202
23,Хэнтий,2024,79312
23,Хэнтий,2025,79647
41,Төв,1990,101726
41,Төв,1991,103568
41,Төв,1992,104039
41,Төв,1993,104165
41,Төв,1994,103716
41,Төв,1995,103247
41,Төв,1996,103016
41,Төв,1997,102718
41,Төв,1998,101940
41,Төв,1999,100329
41,Төв,2000,98388
41,Төв,2001,96448
41,Төв,2002,95251
41,Төв,2003,92914
41,Төв,2004,88728
41,Төв,2005,85732
41,Төв,2006,84049
41,Төв,2007,82910
41,Төв,2008,82632
41,Төв,2009,83465
41,Төв,2010,84760
41,Төв,2011,85558
41,Төв,2012,86261
41,Төв,2013,86358
41,Төв,2014,88003
41,Төв,2015,90264
41,Төв,2016,91040
41,Төв,2017,92850
41,Төв,2018,94852
41,Төв,2019,94956
41,Төв,2020,93807
41,Төв,2021,93517
41,Төв,2022,92955
41,Төв,2023,91946
41,Төв,2024,91705
41,Төв,2025,92907
42,Говьсүмбэр,1990,0
42,Говьсүмбэр,1991,6096
42,Говьсүмбэр,1992,12354
42,Говьсүмбэр,1993,12505
42,Говьсүмбэр,1994,12774
42,Говьсүмбэр,1995,13034
42,Говьсүмбэр,1996,12923
42,Говьсүмбэр,1997,12749
42,Говьсүмбэр,1998,12593
42,Говьсүмбэр,1999,12375
42,Говьсүмбэр,2000,12247
42,Говьсүмбэр,2001,12304
42,Говьсүмбэр,2002,12335
42,Говьсүмбэр,2003,12198
42,Говьсүмбэр,2004,12067
42,Говьсүмбэр,2005,12025
42,Говьсүмбэр,2006,12000
42,Говьсүмбэр,2007,12120
42,Говьсүмбэр,2008,12368
42,Говьсүмбэр,2009,12699
42,Говьсүмбэр,2010,13105
42,Говьсүмбэр,2011,13591
42,Говьсүмбэр,2012,14084
42,Говьсүмбэр,2013,14555
42,Говьсүмбэр,2014,15430
42,Говьсүмбэр,2015,16290
42,Говьсүмбэр,2016,16724
42,Говьсүмбэр,2017,17155
42,Говьсүмбэр,2018,17590
42,Говьсүмбэр,2019,17862
42,Говьсүмбэр,2020,17958
42,Говьсүмбэр,2021,18080
42,Говьсүмбэр,2022,18102
42,Говьсүмбэр,2023,18047
42,Говьсүмбэр,2024,18124
42,Говьсүмбэр,2025,18470
43,Сэлэнгэ,1990,89745
43,Сэлэнгэ,1991,92635
43,Сэлэнгэ,1992,91756
43,Сэлэнгэ,1993,91081
43,Сэлэнгэ,1994,92152
43,Сэлэнгэ,1995,93735
43,Сэлэнгэ,1996,95247
43,Сэлэнгэ,1997,96579
43,Сэлэнгэ,1998,97993
43,Сэлэнгэ,1999,99362
43,Сэлэнгэ,2000,100005
43,Сэлэнгэ,2001,100057
43,Сэлэнгэ,2002,99892
43,Сэлэнгэ,2003,99181
43,Сэлэнгэ,2004,97716
43,Сэлэнгэ,2005,95957
43,Сэлэнгэ,2006,94870
43,Сэлэнгэ,2007,94436
43,Сэлэнгэ,2008,94354
43,Сэлэнгэ,2009,95019
43,Сэлэнгэ,2010,96726
43,Сэлэнгэ,2011,98558
43,Сэлэнгэ,2012,101391
43,Сэлэнгэ,2013,103367
43,Сэлэнгэ,2014,104702
43,Сэлэнгэ,2015,106252
43,Сэлэнгэ,2016,106902
43,Сэлэнгэ,2017,108559
43,Сэлэнгэ,2018,110504
43,Сэлэнгэ,2019,110757
43,Сэлэнгэ,2020,109821
43,Сэлэнгэ,2021,109328
43,Сэлэнгэ,2022,108356
43,Сэлэнгэ,2023,107263
43,Сэлэнгэ,2024,106613
43,Сэлэнгэ,2025,107001
44,Дорноговь,1990,58409
44,Дорноговь,1991,53434
44,Дорноговь,1992,46104
44,Дорноговь,1993,45308
44,Дорноговь,1994,45634
44,Дорноговь,1995,46008
44,Дорноговь,1996,46728
44,Дорноговь,1997,47563
44,Дорноговь,1998,48411
44,Дорноговь,1999,49709
44,Дорноговь,2000,50776
44,Дорноговь,2001,51156
44,Дорноговь,2002,51559
44,Дорноговь,2003,51805
44,Дорноговь,2004,51989
44,Дорноговь,2005,52532
44,Дорноговь,2006,53509
44,Дорноговь,2007,54617
44,Дорноговь,2008,55912
44,Дорноговь,2009,57194
44,Дорноговь,2010,58276
44,Дорноговь,2011,59533
44,Дорноговь,2012,60754
44,Дорноговь,2013,61919
44,Дорноговь,2014,63172
44,Дорноговь,2015,64538
44,Дорноговь,2016,65859
44,Дорноговь,2017,67299
44,Дорноговь,2018,68725
44,Дорноговь,2019,70159
44,Дорноговь,2020,71152
44,Дорноговь,2021,71415
44,Дорноговь,2022,71376
44,Дорноговь,2023,71406
44,Дорноговь,2024,71890
44,Дорноговь,2025,72347
45,Дархан-Уул,1990,86310
45,Дархан-Уул,1991,86269
45,Дархан-Уул,1992,84145
45,Дархан-Уул,1993,82546
45,Дархан-Уул,1994,82312
45,Дархан-Уул,1995,82188
45,Дархан-Уул,1996,82071
45,Дархан-Уул,1997,81866
45,Дархан-Уул,1998,81978
45,Дархан-Уул,1999,82714
45,Дархан-Уул,2000,84156
45,Дархан-Уул,2001,85769
45,Дархан-Уул,2002,87544
45,Дархан-Уул,2003,88107
45,Дархан-Уул,2004,88418
45,Дархан-Уул,2005,89312
45,Дархан-Уул,2006,89491
45,Дархан-Уул,2007,89726
45,Дархан-Уул,2008,90329
45,Дархан-Уул,2009,91851
45,Дархан-Уул,2010,93925
45,Дархан-Уул,2011,95477
45,Дархан-Уул,2012,96974
45,Дархан-Уул,2013,98443
45,Дархан-Уул,2014,99458
45,Дархан-Уул,2015,100443
45,Дархан-Уул,2016,101408
45,Дархан-Уул,2017,102975
45,Дархан-Уул,2018,104999
45,Дархан-Уул,2019,106470
45,Дархан-Уул,2020,107079
45,Дархан-Уул,2021,107561
45,Дархан-Уул,2022,108072
45,Дархан-Уул,2023,108815
45,Дархан-Уул,2024,110121
45,Дархан-Уул,2025,111009
46,Өмнөговь,1990,43195
46,Өмнөговь,1991,44382
46,Өмнөговь,1992,44951
46,Өмнөговь,1993,45113
46,Өмнөговь,1994,45242
46,Өмнөговь,1995,45474
46,Өмнөговь,1996,45779
46,Өмнөговь,1997,46152
46,Өмнөговь,1998,46526
46,Өмнөговь,1999,46778
46,Өмнөговь,2000,47355
46,Өмнөговь,2001,48530
46,Өмнөговь,2002,49639
46,Өмнөговь,2003,50311
46,Өмнөговь,2004,51064
46,Өмнөговь,2005,51714
46,Өмнөговь,2006,52534
46,Өмнөговь,2007,53905
46,Өмнөговь,2008,55475
46,Өмнөговь,2009,57652
46,Өмнөговь,2010,60270
46,Өмнөговь,2011,62509
46,Өмнөговь,2012,64400
46,Өмнөговь,2013,66261
46,Өмнөговь,2014,63422
46,Өмнөговь,2015,60674
46,Өмнөговь,2016,62481
46,Өмнөговь,2017,64311
46,Өмнөговь,2018,66018
46,Өмнөговь,2019,67955
46,Өмнөговь,2020,69813
46,Өмнөговь,2021,71114
46,Өмнөговь,2022,72397
46,Өмнөговь,2023,74136
46,Өмнөговь,2024,76352
46,Өмнөговь,2025,78247
48,Дундговь,1990,50163
48,Дундговь,1991,51444
48,Дундговь,1992,52195
48,Дундговь,1993,52594
48,Дундговь,1994,52697
48,Дундговь,1995,52835
48,Дундговь,1996,52971
48,Дундговь,1997,53032
48,Дундговь,1998,52988
48,Дундговь,1999,52207
48,Дундговь,2000,51060
48,Дундговь,2001,50256
48,Дундговь,2002,49502
48,Дундговь,2003,48437
48,Дундговь,2004,47127
48,Дундговь,2005,45969
48,Дундговь,2006,44909
48,Дундговь,2007,43797
48,Дундговь,2008,42634
48,Дундговь,2009,41402
48,Дундговь,2010,39752
48,Дундговь,2011,38227
48,Дундговь,2012,37750
48,Дундговь,2013,37569
48,Дундговь,2014,40857
48,Дундговь,2015,44390
48,Дундговь,2016,44595
48,Дундговь,2017,45259
48,Дундговь,2018,46191
48,Дундговь,2019,46866
48,Дундговь,2020,47058
48,Дундговь,2021,46981
48,Дундговь,2022,46684
48,Дундговь,2023,46270
48,Дундговь,2024,46026
48,Дундговь,2025,46254
61,Орхон,1990,57938
61,Орхон,1991,59365
61,Орхон,1992,58827
61,Орхон,1993,59771
61,Орхон,1994,61967
61,Орхон,1995,64126
61,Орхон,1996,66071
61,Орхон,1997,67862
61,Орхон,1998,69317
61,Орхон,1999,70692
61,Орхон,2000,73995
61,Орхон,2001,76916
61,Орхон,2002,78074
61,Орхон,2003,77890
61,Орхон,2004,78899
61,Орхон,2005,81317
61,Орхон,2006,82299
61,Орхон,2007,83319
61,Орхон,2008,85031
61,Орхон,2009,87028
61,Орхон,2010,89407
61,Орхон,2011,91218
61,Орхон,2012,92159
61,Орхон,2013,93389
61,Орхон,2014,94184
61,Орхон,2015,97576
61,Орхон,2016,101260
61,Орхон,2017,102893
61,Орхон,2018,104992
61,Орхон,2019,106810
61,Орхон,2020,107810
61,Орхон,2021,108460
61,Орхон,2022,109140
61,Орхон,2023,110003
61,Орхон,2024,111386
61,Орхон,2025,111802
62,Өвөрхангай,1990,99027
62,Өвөрхангай,1991,102639
62,Өвөрхангай,1992,104740
62,Өвөрхангай,1993,106299
62,Өвөрхангай,1994,107360
62,Өвөрхангай,1995,108539
62,Өвөрхангай,1996,109733
62,Өвөрхангай,1997,110784
62,Өвөрхангай,1998,111570
62,Өвөрхангай,1999,111624
62,Өвөрхангай,2000,111491
62,Өвөрхангай,2001,111342
62,Өвөрхангай,2002,110321
62,Өвөрхангай,2003,108431
62,Өвөрхангай,2004,106604
62,Өвөрхангай,2005,105440
62,Өвөрхангай,2006,104843
62,Өвөрхангай,2007,104337
62,Өвөрхангай,2008,103723
62,Өвөрхангай,2009,103187
62,Өвөрхангай,2010,102153
62,Өвөрхангай,2011,101293
62,Өвөрхангай,2012,101679
62,Өвөрхангай,2013,101884
62,Өвөрхангай,2014,107306
62,Өвөрхангай,2015,112672
62,Өвөрхангай,2016,112755
62,Өвөрхангай,2017,114127
62,Өвөрхангай,2018,116105
62,Өвөрхангай,2019,116922
62,Өвөрхангай,2020,116361
62,Өвөрхангай,2021,115991
62,Өвөрхангай,2022,115606
62,Өвөрхангай,2023,115055
62,Өвөрхангай,2024,114749
62,Өвөрхангай,2025,115122
63,Булган,1990,53545
63,Булган,1991,55911
63,Булган,1992,57319
63,Булган,1993,58318
63,Булган,1994,58956
63,Булган,1995,59663
63,Булган,1996,60399
63,Булган,1997,61109
63,Булган,1998,61834
63,Булган,1999,61984
63,Булган,2000,61804
63,Булган,2001,61744
63,Булган,2002,61374
63,Булган,2003,60311
63,Булган,2004,58128
63,Булган,2005,55854
63,Булган,2006,54798
63,Булган,2007,54322
63,Булган,2008,54070
63,Булган,2009,54161
63,Булган,2010,53956
63,Булган,2011,53909
63,Булган,2012,54333
63,Булган,2013,54535
63,Булган,2014,57508
63,Булган,2015,60254
63,Булган,2016,60308
63,Булган,2017,60946
63,Булган,2018,61751
63,Булган,2019,62151
63,Булган,2020,62071
63,Булган,2021,62048
63,Булган,2022,61651
63,Булган,2023,60947
63,Булган,2024,60533
63,Булган,2025,60531
64,Баянхонгор,1990,76330
64,Баянхонгор,1991,79188
64,Баянхонгор,1992,81013
64,Баянхонгор,1993,81916
64,Баянхонгор,1994,82458
64,Баянхонгор,1995,83300
64,Баянхонгор,1996,84175
64,Баянхонгор,1997,84887
64,Баянхонгор,1998,85392
