hses_code,year,aimag_mn,livestock
11,1970,Улаанбаатар,32
11,1971,Улаанбаатар,38.6
11,1972,Улаанбаатар,41.2
11,1973,Улаанбаатар,53.5
11,1974,Улаанбаатар,57.9
11,1975,Улаанбаатар,63.2
11,1976,Улаанбаатар,65.3
11,1977,Улаанбаатар,65.1
11,1978,Улаанбаатар,59.3
11,1980,Улаанбаатар,52
11,1981,Улаанбаатар,55.8
11,1982,Улаанбаатар,60.8
11,1983,Улаанбаатар,72.5
11,1984,Улаанбаатар,75.1
11,1985,Улаанбаатар,80.2
11,1986,Улаанбаатар,80.2
11,1987,Улаанбаатар,93.7
11,1988,Улаанбаатар,99.6
11,1989,Улаанбаатар,118.3
11,1990,Улаанбаатар,143.6
11,1991,Улаанбаатар,206.4
11,1992,Улаанбаатар,275.1
11,1993,Улаанбаатар,266.3
11,1994,Улаанбаатар,247.8
11,1995,Улаанбаатар,294.3
11,1996,Улаанбаатар,305.8
11,1997,Улаанбаатар,301.2
11,1998,Улаанбаатар,301
11,1999,Улаанбаатар,239.4
11,2000,Улаанбаатар,230.6
11,2001,Улаанбаатар,221.4
11,2002,Улаанбаатар,233.5
11,2003,Улаанбаатар,243.3
11,2004,Улаанбаатар,226.4
11,2005,Улаанбаатар,247.1
11,2006,Улаанбаатар,322
11,2007,Улаанбаатар,331.2
11,2008,Улаанбаатар,384.8
11,2009,Улаанбаатар,400.8
11,2010,Улаанбаатар,262.9
11,2011,Улаанбаатар,278.9
11,2012,Улаанбаатар,308.5
11,2013,Улаанбаатар,329.1
11,2014,Улаанбаатар,385.4
11,2015,Улаанбаатар,403.7
11,2016,Улаанбаатар,438.3
11,2017,Улаанбаатар,423.6
11,2018,Улаанбаатар,411.8
11,2019,Улаанбаатар,444.9
11,2020,Улаанбаатар,468.7
11,2021,Улаанбаатар,443.3
11,2022,Улаанбаатар,442.8
11,2023,Улаанбаатар,427.2
11,2024,Улаанбаатар,412.8
21,1970,Дорнод,992.1
