hses_code,year,loss
11,1991,5.4
11,1992,6.9
11,1993,13
11,1994,10.4
11,1995,11.6
11,1996,9.8
11,1997,7.6
11,1998,6.4
11,1999,30.4
11,2000,6.4
11,2001,24.2
11,2002,4.3
11,2003,7.1
11,2004,3.4
11,2005,2.7
11,2006,2.1
11,2007,1.6
11,2008,2.1
11,2009,3.8
11,2010,73.9
11,2011,2.7
11,2012,2.1
11,2013,3.6
11,2014,2.1
11,2015,2.7
11,2016,6.4
11,2017,8.3
11,2018,15.1
11,2019,4.7
11,2020,11.2
11,2021,15.5
11,2022,7
11,2023,42.8
11,2024,33.4
21,1991,72.6
21,1992,44.5
21,1993,44.1
21,1994,31.3
21,1995,40
21,1996,20.3
21,1997,9
21,1998,6.8
21,1999,10.5
21,2000,14.7
21,2001,70.9
21,2002,12.8
21,2003,29.6
21,2004,9.4
21,2005,12.7
21,2006,5.8
21,2007,4.3
21,2008,18.6
21,2009,138.2
21,2010,314.7
21,2011,10.9
21,2012,14.2
21,2013,47.9
21,2014,8.8
21,2015,7.1
21,2016,13.6
21,2017,9.1
21,2018,6.6
21,2019,7.4
21,2020,16.4
21,2021,8.6
21,2022,10.4
21,2023,100.8
21,2024,433.3
22,1991,27.8
22,1992,24.1
22,1993,27
22,1994,62
22,1995,83.6
22,1996,28.3
22,1997,40
22,1998,34.7
22,1999,16.6
22,2000,37.1
22,2001,231.4
22,2002,18.6
22,2003,33.3
22,2004,61.9
22,2005,98.2
22,2006,24.5
22,2007,29.4
22,2008,387.9
22,2009,22.7
22,2010,60.9
22,2011,54.7
22,2012,20.9
22,2013,26
22,2014,10.8
22,2015,15.1
22,2016,185.6
22,2017,12.9
22,2018,76
22,2019,46.6
22,2020,49.2
22,2021,43.4
22,2022,15.8
22,2023,578.4
22,2024,1825
23,1991,128.9
23,1992,60.8
23,1993,88.2
23,1994,59.7
23,1995,50.9
23,1996,31.5
23,1997,21.9
23,1998,15.1
23,1999,36.1
23,2000,39.2
23,2001,194
23,2002,41.5
23,2003,74.2
23,2004,20.4
23,2005,24
23,2006,42.3
23,2007,28.2
23,2008,250.8
23,2009,113.7
23,2010,250.7
23,2011,36
23,2012,38
23,2013,38.5
23,2014,32.3
23,2015,42.9
23,2016,48
23,2017,70.9
23,2018,189.2
23,2019,200.2
23,2020,297.7
23,2021,232.4
23,2022,204.7
23,2023,858.3
23,2024,1506.2
41,1991,117.7
41,1992,59.5
41,1993,89.8
41,1994,82.8
