aimag,aimag_name,lat,lon,distance_to_ub,log_distance_to_ub
11,Улаанбаатар,47.918,106.917,0,0
21,Дорнод/Чойбалсан,48.072,114.522,565.9255139453393,6.33846246873975
22,Сүхбаатар/Баруун-Урт,46.683,113.283,499.1297213329998,6.212866024558282
23,Хэнтий/Чингис,47.317,110.65,287.6409179437562,5.661712889523027
41,Төв/Зуунмод,47.706,106.952,23.717768951505168,3.166224512012111
42,Говьсүмбэр/Чойр,46.358,108.357,204.81617227094986,5.322112856214437
43,Сэлэнгэ/Сүхбаатар,50.236,106.214,262.783389986997,5.571330080606137
44,Дорноговь/Сайншанд,44.892,110.117,416.3523374741248,6.031531866870764
45,Дархан-Уул/Дархан,49.486,105.928,188.85226225436722,5.240965028193771
46,Өмнөговь/Даланзадгад,43.575,104.425,520.120244391359,6.254060024057959
48,Дундговь/Мандалгов,45.762,106.283,244.535707800464,5.499361342425192
61,Орхон/Эрдэнэт,49.034,104.083,242.96107119625228,5.492901229668555
62,Өвөрхангай/Арвайхээр,46.265,102.785,362.7433225537649,5.893695483748599
63,Булган/Булган,48.812,103.53,269.21142362936376,5.595497032343333
64,Баянхонгор/Баянхонгор,46.193,100.717,507.1563491433865,6.228819337004976
65,Архангай/Цэцэрлэг,47.475,101.453,411.79637758911,6.020528998025398
67,Хөвсгөл/Мөрөн,49.633,100.158,530.498103507136,6.273816383131787
81,Завхан/Улиастай,47.749,96.842,751.7364822502226,6.622385839997917
82,Говь-Алтай/Алтай,46.367,96.265,823.1694658580907,6.7131620918227926
83,Баян-Өлгий/Өлгий,48.964,89.969,1252.9474173158897,7.133253988585239
84,Ховд/Ховд,48.005,91.64,1135.6938506647364,7.034999065305796
85,Увс/Улаангом,49.981,92.062,1106.78776233169,7.009217191049774
