aimag,year,month,cpi
,2019,1,90.5
,2019,2,90.9
,2019,3,91.4
,2019,4,91.9
,2019,5,92.3
,2019,6,92.5
,2019,7,92.6
,2019,8,93.0
,2019,9,93.2
,2019,10,93.5
,2019,11,93.8
,2019,12,94.3
,2020,1,95.4
,2020,2,96.5
,2020,3,97.5
,2020,4,98.2
,2020,5,98.8
,2020,6,99.3
,2020,7,99.9
,2020,8,100.5
,2020,9,101.0
,2020,10,101.7
,2020,11,102.4
,2020,12,103.1
,2021,1,103.6
,2021,2,104.4
,2021,3,105.5
,2021,4,106.2
,2021,5,106.7
,2021,6,107.0
,2021,7,107.5
,2021,8,108.1
,2021,9,108.5
,2021,10,109.4
,2021,11,110.6
,2021,12,111.6
,2022,1,113.9
,2022,2,116.1
,2022,3,118.5
,2022,4,120.0
,2022,5,121.5
,2022,6,122.6
,2022,7,123.5
,2022,8,124.6
,2022,9,125.8
,2022,10,127.2
,2022,11,128.3
,2022,12,129.4
,2023,1,130.2
,2023,2,131.0
,2023,3,131.7
,2023,4,132.4
,2023,5,132.8
,2023,6,133.0
,2023,7,133.3
,2023,8,133.6
,2023,9,134.0
,2023,10,134.7
,2023,11,135.4
,2023,12,136.2
,2024,1,137.4
,2024,2,138.6
,2024,3,139.7
,2024,4,140.6
,2024,5,141.4
,2024,6,142.0
,2024,7,142.7
,2024,8,143.5
,2024,9,144.2
,2024,10,145.2
,2024,11,146.1
,2024,12,147.1
