year,month,year_month,cpi
2018,1,2018-01,87.00725060421702
2018,2,2018-02,87.70730894241187
2018,3,2018-03,88.50737561463455
2018,4,2018-04,89.10742561880157
2018,5,2018-05,89.60746728894075
2018,6,2018-06,90.10750895907992
2018,7,2018-07,90.6075506292191
2018,8,2018-08,89.80748395699642
2018,9,2018-09,89.80748395699642
2018,10,2018-10,90.6075506292191
2018,11,2018-11,92.20768397366447
2018,12,2018-12,92.80773397783149
2019,1,2019-01,93.30777564797067
2019,2,2019-02,93.80781731810985
2019,3,2019-03,94.5078756563047
2019,4,2019-04,95.40795066255522
2019,5,2019-05,96.80806733894492
2019,6,2019-06,97.50812567713977
2019,7,2019-07,97.50812567713977
2019,8,2019-08,97.80815067922327
2019,9,2019-09,97.80815067922327
2019,10,2019-10,97.50812567713977
2019,11,2019-11,97.10809234102842
2019,12,2019-12,97.70814234519544
2020,1,2020-01,98.60821735144596
2020,2,2020-02,99.70830902575216
2020,3,2020-03,100.50837569797484
2020,4,2020-04,99.80831735977999
2020,5,2020-05,99.90832569380783
2020,6,2020-06,100.20835069589133
2020,7,2020-07,100.80840070005834
2020,8,2020-08,99.90832569380783
2020,9,2020-09,99.60830069172432
2020,10,2020-10,100.10834236186349
2020,11,2020-11,100.60838403200268
2020,12,2020-12,100.20835069589133
2021,1,2021-01,101.10842570214186
2021,2,2021-02,102.20851737644804
2021,3,2021-03,102.80856738061506
2021,4,2021-04,105.00875072922744
2021,5,2021-05,106.0088340695058
2021,6,2021-06,107.00891740978416
2021,7,2021-07,108.5090424202017
2021,8,2021-08,109.40911742645221
2021,9,2021-09,109.80915076256355
2021,10,2021-10,110.60921743478625
2021,11,2021-11,111.70930910909243
2021,12,2021-12,114.10950912576048
2022,1,2022-01,116.30969247437287
2022,2,2022-02,117.90982581881825
2022,3,2022-03,119.00991749312443
2022,4,2022-04,121.61013417784817
2022,5,2022-05,123.21026752229353
2022,6,2022-06,125.1104258688224
2022,7,2022-07,126.41053421118427
2022,8,2022-08,125.21043420285025
2022,9,2022-09,125.01041753479457
2022,10,2022-10,126.5105425452121
2022,11,2022-11,128.01066755562965
2022,12,2022-12,129.21076756396366
2023,1,2023-01,130.71089257438118
2023,2,2023-02,132.3110259188266
2023,3,2023-03,133.61113426118845
2023,4,2023-04,135.31127593966167
2023,5,2023-05,137.11142595216268
2023,6,2023-06,138.41153429452456
2023,7,2023-07,138.01150095841322
2023,8,2023-08,137.81148429035755
2023,9,2023-09,137.51145928827404
2023,10,2023-10,137.91149262438537
2023,11,2023-11,138.91157596466374
2023,12,2023-12,139.41161763480292
2024,1,2024-01,140.61171764313693
2024,2,2024-02,141.6118009834153
2024,3,2024-03,142.91190932577715
2024,4,2024-04,144.01200100008336
2024,5,2024-05,145.0120843403617
2024,6,2024-06,145.41211767647306
2024,7,2024-07,145.51212601050088
2024,8,2024-08,146.71222601883488
2024,9,2024-09,146.81223435286276
2024,10,2024-10,147.61230102508543
2024,11,2024-11,150.11250937578131
2024,12,2024-12,152.0126677223102
2025,1,2025-01,154.11284273689475
2025,2,2025-02,156.51304275356281
2025,3,2025-03,157.11309275772982
2025,4,2025-04,157.71314276189682
2025,5,2025-05,158.11317609800818
2025,6,2025-06,158.51320943411952
2025,7,2025-07,158.61321776814736
2025,8,2025-08,161.0134177848154
2025,9,2025-09,161.31344278689895
2025,10,2025-10,162.31352612717728
2025,11,2025-11,163.31360946745565
2025,12,2025-12,164.41370114176183
2026,1,2026-01,166.3138594882907
2026,2,2026-02,167.1139261605134
2026,3,2026-03,169.1140928410701
