species,hses_code,year,aimag_mn,livestock
Адуу,11,1970,Улаанбаатар,7.4
Адуу,11,1971,Улаанбаатар,7.9
Адуу,11,1972,Улаанбаатар,6.8
Адуу,11,1973,Улаанбаатар,8.7
Адуу,11,1974,Улаанбаатар,8.1
Адуу,11,1975,Улаанбаатар,9.2
Адуу,11,1976,Улаанбаатар,8.8
Адуу,11,1977,Улаанбаатар,9.2
Адуу,11,1978,Улаанбаатар,8.1
Адуу,11,1979,Улаанбаатар,27
Адуу,11,1980,Улаанбаатар,7.3
Адуу,11,1981,Улаанбаатар,8.1
Адуу,11,1982,Улаанбаатар,8.3
Адуу,11,1983,Улаанбаатар,8.6
Адуу,11,1984,Улаанбаатар,8.5
Адуу,11,1985,Улаанбаатар,10
Адуу,11,1986,Улаанбаатар,10
Адуу,11,1987,Улаанбаатар,10.9
Адуу,11,1988,Улаанбаатар,11
Адуу,11,1989,Улаанбаатар,11.9
Адуу,11,1990,Улаанбаатар,15.3
Адуу,11,1991,Улаанбаатар,22.1
Адуу,11,1992,Улаанбаатар,25.5
Адуу,11,1993,Улаанбаатар,24.1
Адуу,11,1994,Улаанбаатар,24.5
Адуу,11,1995,Улаанбаатар,27.8
Адуу,11,1996,Улаанбаатар,26.8
Адуу,11,1997,Улаанбаатар,23.9
Адуу,11,1998,Улаанбаатар,24
Адуу,11,1999,Улаанбаатар,21.7
Адуу,11,2000,Улаанбаатар,20.1
Адуу,11,2001,Улаанбаатар,18.3
Адуу,11,2002,Улаанбаатар,16.2
Адуу,11,2003,Улаанбаатар,17.5
Адуу,11,2004,Улаанбаатар,17.6
Адуу,11,2005,Улаанбаатар,16.8
Адуу,11,2006,Улаанбаатар,19.5
Адуу,11,2007,Улаанбаатар,19
Адуу,11,2008,Улаанбаатар,18.7
Адуу,11,2009,Улаанбаатар,22
Адуу,11,2010,Улаанбаатар,20.8
Адуу,11,2011,Улаанбаатар,22.5
Адуу,11,2012,Улаанбаатар,25.8
Адуу,11,2013,Улаанбаатар,30.2
Адуу,11,2014,Улаанбаатар,33.9
Адуу,11,2015,Улаанбаатар,36.7
Адуу,11,2016,Улаанбаатар,45.2
Адуу,11,2017,Улаанбаатар,43.3
Адуу,11,2018,Улаанбаатар,42.8
Адуу,11,2019,Улаанбаатар,48
Адуу,11,2020,Улаанбаатар,57.6
Адуу,11,2021,Улаанбаатар,62
Адуу,11,2022,Улаанбаатар,68.9
Адуу,11,2023,Улаанбаатар,78.5
Адуу,11,2024,Улаанбаатар,90.2
Адуу,21,1970,Дорнод,98.3
Адуу,21,1971,Дорнод,103
Адуу,21,1972,Дорнод,98.3
Адуу,21,1973,Дорнод,103.3
Адуу,21,1974,Дорнод,106.5
Адуу,21,1975,Дорнод,110.9
Адуу,21,1976,Дорнод,108.1
Адуу,21,1977,Дорнод,103.8
Адуу,21,1978,Дорнод,99.3
Адуу,21,1979,Дорнод,101
Адуу,21,1980,Дорнод,81
Адуу,21,1981,Дорнод,85.4
Адуу,21,1982,Дорнод,83.4
Адуу,21,1983,Дорнод,82.5
Адуу,21,1984,Дорнод,84.3
Адуу,21,1985,Дорнод,85
Адуу,21,1986,Дорнод,83.9
Адуу,21,1987,Дорнод,85.7
Адуу,21,1988,Дорнод,87.9
Адуу,21,1989,Дорнод,90.9
Адуу,21,1990,Дорнод,92
Адуу,21,1991,Дорнод,93.1
Адуу,21,1992,Дорнод,92.4
Адуу,21,1993,Дорнод,92.5
Адуу,21,1994,Дорнод,92.8
Адуу,21,1995,Дорнод,88.4
Адуу,21,1996,Дорнод,87
Адуу,21,1997,Дорнод,89.9
Адуу,21,1998,Дорнод,95.4
Адуу,21,1999,Дорнод,104
Адуу,21,2000,Дорнод,105.5
Адуу,21,2001,Дорнод,109.6
Адуу,21,2002,Дорнод,115.6
Адуу,21,2003,Дорнод,121.8
Адуу,21,2004,Дорнод,124.7
Адуу,21,2005,Дорнод,128.8
Адуу,21,2006,Дорнод,135
Адуу,21,2007,Дорнод,142.9
Адуу,21,2008,Дорнод,145.5
Адуу,21,2009,Дорнод,140.1
Адуу,21,2010,Дорнод,136.3
Адуу,21,2011,Дорнод,144.1
Адуу,21,2012,Дорнод,150.8
Адуу,21,2013,Дорнод,160.9
Адуу,21,2014,Дорнод,176.5
Адуу,21,2015,Дорнод,196.5
Адуу,21,2016,Дорнод,225
Адуу,21,2017,Дорнод,250.7
Адуу,21,2018,Дорнод,278.8
Адуу,21,2019,Дорнод,297.4
Адуу,21,2020,Дорнод,324.5
Адуу,21,2021,Дорнод,368.5
Адуу,21,2022,Дорнод,420.2
Адуу,21,2023,Дорнод,443.8
Адуу,21,2024,Дорнод,438.2
Адуу,22,1970,Сүхбаатар,129.1
Адуу,22,1971,Сүхбаатар,121.9
Адуу,22,1972,Сүхбаатар,117.3
Адуу,22,1973,Сүхбаатар,120.5
Адуу,22,1974,Сүхбаатар,123.7
Адуу,22,1975,Сүхбаатар,127.9
Адуу,22,1976,Сүхбаатар,126.3
Адуу,22,1977,Сүхбаатар,120.7
Адуу,22,1978,Сүхбаатар,124.1
Адуу,22,1979,Сүхбаатар,128.2
Адуу,22,1980,Сүхбаатар,115
Адуу,22,1981,Сүхбаатар,121.8
Адуу,22,1982,Сүхбаатар,115.5
Адуу,22,1983,Сүхбаатар,111.9
Адуу,22,1984,Сүхбаатар,117.5
Адуу,22,1985,Сүхбаатар,118.1
Адуу,22,1986,Сүхбаатар,122.6
Адуу,22,1987,Сүхбаатар,120.4
Адуу,22,1988,Сүхбаатар,124.3
Адуу,22,1989,Сүхбаатар,123.7
Адуу,22,1990,Сүхбаатар,118.2
Адуу,22,1991,Сүхбаатар,118.4
Адуу,22,1992,Сүхбаатар,120.9
Адуу,22,1993,Сүхбаатар,71.4
Адуу,22,1994,Сүхбаатар,130.8
Адуу,22,1995,Сүхбаатар,134.9
Адуу,22,1996,Сүхбаатар,139.8
Адуу,22,1997,Сүхбаатар,154.9
Адуу,22,1998,Сүхбаатар,169.4
Адуу,22,1999,Сүхбаатар,188.3
Адуу,22,2000,Сүхбаатар,192.2
Адуу,22,2001,Сүхбаатар,182.9
Адуу,22,2002,Сүхбаатар,188.8
Адуу,22,2003,Сүхбаатар,194.7
Адуу,22,2004,Сүхбаатар,185.5
Адуу,22,2005,Сүхбаатар,177.7
Адуу,22,2006,Сүхбаатар,176.3
Адуу,22,2007,Сүхбаатар,166
Адуу,22,2008,Сүхбаатар,118.8
Адуу,22,2009,Сүхбаатар,131.5
Адуу,22,2010,Сүхбаатар,148.1
Адуу,22,2011,Сүхбаатар,164.9
Адуу,22,2012,Сүхбаатар,183.6
Адуу,22,2013,Сүхбаатар,203.1
Адуу,22,2014,Сүхбаатар,231.2
Адуу,22,2015,Сүхбаатар,259.6
Адуу,22,2016,Сүхбаатар,274.7
Адуу,22,2017,Сүхбаатар,315.6
Адуу,22,2018,Сүхбаатар,327.3
Адуу,22,2019,Сүхбаатар,321.9
Адуу,22,2020,Сүхбаатар,331
Адуу,22,2021,Сүхбаатар,364.6
Адуу,22,2022,Сүхбаатар,402.5
Адуу,22,2023,Сүхбаатар,366.3
Адуу,22,2024,Сүхбаатар,289.4
Адуу,23,1970,Хэнтий,171.5
Адуу,23,1971,Хэнтий,170.5
Адуу,23,1972,Хэнтий,159.3
Адуу,23,1973,Хэнтий,156.9
Адуу,23,1974,Хэнтий,163.2
Адуу,23,1975,Хэнтий,164.2
Адуу,23,1976,Хэнтий,159.2
Адуу,23,1977,Хэнтий,146.4
Адуу,23,1978,Хэнтий,147.2
Адуу,23,1979,Хэнтий,151
Адуу,23,1980,Хэнтий,140.9
Адуу,23,1981,Хэнтий,145.7
Адуу,23,1982,Хэнтий,146.9
Адуу,23,1983,Хэнтий,140.3
Адуу,23,1984,Хэнтий,139.7
Адуу,23,1985,Хэнтий,134.7
Адуу,23,1986,Хэнтий,134.7
Адуу,23,1987,Хэнтий,137.2
Адуу,23,1988,Хэнтий,138.4
Адуу,23,1989,Хэнтий,141.6
Адуу,23,1990,Хэнтий,142.5
Адуу,23,1991,Хэнтий,139.1
Адуу,23,1992,Хэнтий,138.1
Адуу,23,1993,Хэнтий,136.3
Адуу,23,1994,Хэнтий,146.3
Адуу,23,1995,Хэнтий,154.6
Адуу,23,1996,Хэнтий,162.3
Адуу,23,1997,Хэнтий,172.3
Адуу,23,1998,Хэнтий,183.2
Адуу,23,1999,Хэнтий,194.3
Адуу,23,2000,Хэнтий,192.8
Адуу,23,2001,Хэнтий,174.5
Адуу,23,2002,Хэнтий,169.8
Адуу,23,2003,Хэнтий,170.7
Адуу,23,2004,Хэнтий,168.2
Адуу,23,2005,Хэнтий,171.1
