hses_code,year,aimag_mn,loss
11,1991,Улаанбаатар,5.4
11,1992,Улаанбаатар,6.9
11,1993,Улаанбаатар,13
11,1994,Улаанбаатар,10.4
11,1995,Улаанбаатар,11.6
11,1996,Улаанбаатар,9.8
11,1997,Улаанбаатар,7.6
11,1998,Улаанбаатар,6.4
11,1999,Улаанбаатар,30.4
11,2000,Улаанбаатар,6.4
11,2001,Улаанбаатар,24.2
11,2002,Улаанбаатар,4.3
11,2003,Улаанбаатар,7.1
11,2004,Улаанбаатар,3.4
11,2005,Улаанбаатар,2.7
11,2006,Улаанбаатар,2.1
11,2007,Улаанбаатар,1.6
11,2008,Улаанбаатар,2.1
11,2009,Улаанбаатар,3.8
11,2010,Улаанбаатар,73.9
11,2011,Улаанбаатар,2.7
11,2012,Улаанбаатар,2.1
11,2013,Улаанбаатар,3.6
11,2014,Улаанбаатар,2.1
11,2015,Улаанбаатар,2.7
11,2016,Улаанбаатар,6.4
11,2017,Улаанбаатар,8.3
11,2018,Улаанбаатар,15.1
11,2019,Улаанбаатар,4.7
11,2020,Улаанбаатар,11.2
11,2021,Улаанбаатар,15.5
11,2022,Улаанбаатар,7
11,2023,Улаанбаатар,42.8
11,2024,Улаанбаатар,33.4
21,1991,Дорнод,72.6
21,1992,Дорнод,44.5
21,1993,Дорнод,44.1
21,1994,Дорнод,31.3
21,1995,Дорнод,40
21,1996,Дорнод,20.3
21,1997,Дорнод,9
21,1998,Дорнод,6.8
21,1999,Дорнод,10.5
21,2000,Дорнод,14.7
21,2001,Дорнод,70.9
21,2002,Дорнод,12.8
21,2003,Дорнод,29.6
21,2004,Дорнод,9.4
21,2005,Дорнод,12.7
21,2006,Дорнод,5.8
21,2007,Дорнод,4.3
21,2008,Дорнод,18.6
21,2009,Дорнод,138.2
21,2010,Дорнод,314.7
21,2011,Дорнод,10.9
21,2012,Дорнод,14.2
21,2013,Дорнод,47.9
21,2014,Дорнод,8.8
21,2015,Дорнод,7.1
21,2016,Дорнод,13.6
21,2017,Дорнод,9.1
21,2018,Дорнод,6.6
21,2019,Дорнод,7.4
21,2020,Дорнод,16.4
21,2021,Дорнод,8.6
21,2022,Дорнод,10.4
21,2023,Дорнод,100.8
21,2024,Дорнод,433.3
22,1991,Сүхбаатар,27.8
22,1992,Сүхбаатар,24.1
22,1993,Сүхбаатар,27
22,1994,Сүхбаатар,62
22,1995,Сүхбаатар,83.6
22,1996,Сүхбаатар,28.3
22,1997,Сүхбаатар,40
22,1998,Сүхбаатар,34.7
22,1999,Сүхбаатар,16.6
22,2000,Сүхбаатар,37.1
22,2001,Сүхбаатар,231.4
22,2002,Сүхбаатар,18.6
22,2003,Сүхбаатар,33.3
22,2004,Сүхбаатар,61.9
22,2005,Сүхбаатар,98.2
22,2006,Сүхбаатар,24.5
22,2007,Сүхбаатар,29.4
22,2008,Сүхбаатар,387.9
22,2009,Сүхбаатар,22.7
22,2010,Сүхбаатар,60.9
22,2011,Сүхбаатар,54.7
22,2012,Сүхбаатар,20.9
22,2013,Сүхбаатар,26
22,2014,Сүхбаатар,10.8
22,2015,Сүхбаатар,15.1
22,2016,Сүхбаатар,185.6
22,2017,Сүхбаатар,12.9
22,2018,Сүхбаатар,76
22,2019,Сүхбаатар,46.6
22,2020,Сүхбаатар,49.2
22,2021,Сүхбаатар,43.4
22,2022,Сүхбаатар,15.8
22,2023,Сүхбаатар,578.4
22,2024,Сүхбаатар,1825
23,1991,Хэнтий,128.9
23,1992,Хэнтий,60.8
23,1993,Хэнтий,88.2
23,1994,Хэнтий,59.7
23,1995,Хэнтий,50.9
23,1996,Хэнтий,31.5
23,1997,Хэнтий,21.9
23,1998,Хэнтий,15.1
23,1999,Хэнтий,36.1
