species,hses_code,year,aimag_mn,loss
Адуу,11,1991,Улаанбаатар,0.4
Адуу,11,1992,Улаанбаатар,0.8
Адуу,11,1993,Улаанбаатар,1.2
Адуу,11,1994,Улаанбаатар,0.7
Адуу,11,1995,Улаанбаатар,1
Адуу,11,1996,Улаанбаатар,1.2
Адуу,11,1997,Улаанбаатар,0.6
Адуу,11,1998,Улаанбаатар,0.5
Адуу,11,1999,Улаанбаатар,1.6
Адуу,11,2000,Улаанбаатар,0.6
Адуу,11,2001,Улаанбаатар,2.3
Адуу,11,2002,Улаанбаатар,0.5
Адуу,11,2003,Улаанбаатар,0.5
Адуу,11,2004,Улаанбаатар,0.6
Адуу,11,2005,Улаанбаатар,0.4
Адуу,11,2006,Улаанбаатар,0.3
Адуу,11,2007,Улаанбаатар,0.2
Адуу,11,2008,Улаанбаатар,0.2
Адуу,11,2009,Улаанбаатар,0.3
Адуу,11,2010,Улаанбаатар,2.2
Адуу,11,2011,Улаанбаатар,0.3
Адуу,11,2012,Улаанбаатар,0.2
Адуу,11,2013,Улаанбаатар,0.3
Адуу,11,2014,Улаанбаатар,0.1
Адуу,11,2015,Улаанбаатар,0.2
Адуу,11,2016,Улаанбаатар,0.3
Адуу,11,2017,Улаанбаатар,1
Адуу,11,2018,Улаанбаатар,1.4
Адуу,11,2019,Улаанбаатар,0.5
Адуу,11,2020,Улаанбаатар,1
Адуу,11,2021,Улаанбаатар,1.6
Адуу,11,2022,Улаанбаатар,0.8
Адуу,11,2023,Улаанбаатар,4
Адуу,11,2024,Улаанбаатар,3.7
Адуу,21,1991,Дорнод,4
Адуу,21,1992,Дорнод,4.1
Адуу,21,1993,Дорнод,4.1
Адуу,21,1994,Дорнод,3
Адуу,21,1995,Дорнод,4.9
Адуу,21,1996,Дорнод,2.9
Адуу,21,1997,Дорнод,1
Адуу,21,1998,Дорнод,0.7
Адуу,21,1999,Дорнод,1.2
Адуу,21,2000,Дорнод,1.5
Адуу,21,2001,Дорнод,2
Адуу,21,2002,Дорнод,1
Адуу,21,2003,Дорнод,1.9
Адуу,21,2004,Дорнод,0.7
Адуу,21,2005,Дорнод,1.1
Адуу,21,2006,Дорнод,0.5
Адуу,21,2007,Дорнод,0.4
Адуу,21,2008,Дорнод,1.2
Адуу,21,2009,Дорнод,3
Адуу,21,2010,Дорнод,9.1
Адуу,21,2011,Дорнод,0.5
Адуу,21,2012,Дорнод,1
Адуу,21,2013,Дорнод,1.5
Адуу,21,2014,Дорнод,0.5
Адуу,21,2015,Дорнод,0.6
Адуу,21,2016,Дорнод,0.5
Адуу,21,2017,Дорнод,0.5
Адуу,21,2018,Дорнод,0.5
Адуу,21,2019,Дорнод,0.9
Адуу,21,2020,Дорнод,0.7
Адуу,21,2021,Дорнод,0.4
Адуу,21,2022,Дорнод,0.5
Адуу,21,2023,Дорнод,6.3
Адуу,21,2024,Дорнод,35
Адуу,22,1991,Сүхбаатар,3.8
Адуу,22,1992,Сүхбаатар,3.1
Адуу,22,1993,Сүхбаатар,3.3
Адуу,22,1994,Сүхбаатар,4
Адуу,22,1995,Сүхбаатар,5.5
Адуу,22,1996,Сүхбаатар,2.3
Адуу,22,1997,Сүхбаатар,2.1
Адуу,22,1998,Сүхбаатар,1.4
Адуу,22,1999,Сүхбаатар,1.8
Адуу,22,2000,Сүхбаатар,2.7
Адуу,22,2001,Сүхбаатар,16.8
Адуу,22,2002,Сүхбаатар,1.6
Адуу,22,2003,Сүхбаатар,6.3
Адуу,22,2004,Сүхбаатар,6
Адуу,22,2005,Сүхбаатар,7.7
Адуу,22,2006,Сүхбаатар,1.7
Адуу,22,2007,Сүхбаатар,3.1
Адуу,22,2008,Сүхбаатар,39.5
Адуу,22,2009,Сүхбаатар,1.6
Адуу,22,2010,Сүхбаатар,1.8
Адуу,22,2011,Сүхбаатар,1.7
Адуу,22,2012,Сүхбаатар,0.8
Адуу,22,2013,Сүхбаатар,1
Адуу,22,2014,Сүхбаатар,0.4
Адуу,22,2015,Сүхбаатар,1.3
Адуу,22,2016,Сүхбаатар,8.6
Адуу,22,2017,Сүхбаатар,0.5
Адуу,22,2018,Сүхбаатар,4.1
Адуу,22,2019,Сүхбаатар,6.2
Адуу,22,2020,Сүхбаатар,2.3
Адуу,22,2021,Сүхбаатар,2.1
Адуу,22,2022,Сүхбаатар,1.7
Адуу,22,2023,Сүхбаатар,27.2
Адуу,22,2024,Сүхбаатар,73
Адуу,23,1991,Хэнтий,9.3
Адуу,23,1992,Хэнтий,5.8
Адуу,23,1993,Хэнтий,7.4
Адуу,23,1994,Хэнтий,4
Адуу,23,1995,Хэнтий,5.2
Адуу,23,1996,Хэнтий,3.3
Адуу,23,1997,Хэнтий,2
Адуу,23,1998,Хэнтий,1.4
Адуу,23,1999,Хэнтий,3.1
Адуу,23,2000,Хэнтий,4
Адуу,23,2001,Хэнтий,15.3
Адуу,23,2002,Хэнтий,3.7
Адуу,23,2003,Хэнтий,5.1
Адуу,23,2004,Хэнтий,2.4
Адуу,23,2005,Хэнтий,2.1
Адуу,23,2006,Хэнтий,2.7
Адуу,23,2007,Хэнтий,2.4
Адуу,23,2008,Хэнтий,20.1
Адуу,23,2009,Хэнтий,7.4
Адуу,23,2010,Хэнтий,8.7
Адуу,23,2011,Хэнтий,2.1
Адуу,23,2012,Хэнтий,1.8
Адуу,23,2013,Хэнтий,1.7
Адуу,23,2014,Хэнтий,1.7
Адуу,23,2015,Хэнтий,2.4
Адуу,23,2016,Хэнтий,1.8
Адуу,23,2017,Хэнтий,3
Адуу,23,2018,Хэнтий,10.7
Адуу,23,2019,Хэнтий,12.7
Адуу,23,2020,Хэнтий,13
Адуу,23,2021,Хэнтий,9.9
Адуу,23,2022,Хэнтий,8.5
Адуу,23,2023,Хэнтий,47.9
Адуу,23,2024,Хэнтий,107.2
Адуу,41,1991,Төв,7.2
Адуу,41,1992,Төв,7.7
Адуу,41,1993,Төв,8.5
Адуу,41,1994,Төв,6.3
Адуу,41,1995,Төв,4.4
Адуу,41,1996,Төв,4.1
Адуу,41,1997,Төв,3.3
Адуу,41,1998,Төв,2.4
Адуу,41,1999,Төв,11.2
Адуу,41,2000,Төв,31.8
Адуу,41,2001,Төв,61
Адуу,41,2002,Төв,4.8
Адуу,41,2003,Төв,27.8
Адуу,41,2004,Төв,3.9
Адуу,41,2005,Төв,2.2
Адуу,41,2006,Төв,2
Адуу,41,2007,Төв,1.6
Адуу,41,2008,Төв,9.5
Адуу,41,2009,Төв,2.4
Адуу,41,2010,Төв,30.9
Адуу,41,2011,Төв,1.5
Адуу,41,2012,Төв,1.7
Адуу,41,2013,Төв,2.3
Адуу,41,2014,Төв,1.8
Адуу,41,2015,Төв,3
Адуу,41,2016,Төв,8.7
Адуу,41,2017,Төв,6.3
Адуу,41,2018,Төв,27
Адуу,41,2019,Төв,4.3
Адуу,41,2020,Төв,6.8
Адуу,41,2021,Төв,14.8
Адуу,41,2022,Төв,3
Адуу,41,2023,Төв,10.9
Адуу,41,2024,Төв,39
Адуу,42,1991,Говьсүмбэр,0.2
Адуу,42,1992,Говьсүмбэр,0.2
Адуу,42,1993,Говьсүмбэр,0.4
Адуу,42,1994,Говьсүмбэр,0.3
Адуу,42,1995,Говьсүмбэр,0.2
Адуу,42,1996,Говьсүмбэр,0.1
Адуу,42,1997,Говьсүмбэр,0.2
Адуу,42,1998,Говьсүмбэр,0.1
Адуу,42,1999,Говьсүмбэр,0.2
Адуу,42,2000,Говьсүмбэр,0.8
Адуу,42,2001,Говьсүмбэр,4.2
Адуу,42,2002,Говьсүмбэр,0
Адуу,42,2003,Говьсүмбэр,0
Адуу,42,2004,Говьсүмбэр,0
Адуу,42,2005,Говьсүмбэр,0
Адуу,42,2006,Говьсүмбэр,0.1
Адуу,42,2007,Говьсүмбэр,0
Адуу,42,2008,Говьсүмбэр,0.7
Адуу,42,2009,Говьсүмбэр,0.4
Адуу,42,2010,Говьсүмбэр,0.3
Адуу,42,2011,Говьсүмбэр,0
Адуу,42,2012,Говьсүмбэр,0
Адуу,42,2013,Говьсүмбэр,0
Адуу,42,2014,Говьсүмбэр,0
Адуу,42,2015,Говьсүмбэр,0.1
Адуу,42,2016,Говьсүмбэр,0.4
Адуу,42,2017,Говьсүмбэр,0.1
Адуу,42,2018,Говьсүмбэр,1.8
Адуу,42,2019,Говьсүмбэр,0.2
Адуу,42,2020,Говьсүмбэр,0.5
Адуу,42,2021,Говьсүмбэр,1
Адуу,42,2022,Говьсүмбэр,0.1
Адуу,42,2023,Говьсүмбэр,0.2
Адуу,42,2024,Говьсүмбэр,9.3
Адуу,43,1991,Сэлэнгэ,1.6
Адуу,43,1992,Сэлэнгэ,1.6
Адуу,43,1993,Сэлэнгэ,2.1
Адуу,43,1994,Сэлэнгэ,1.2
Адуу,43,1995,Сэлэнгэ,1.4
Адуу,43,1996,Сэлэнгэ,1.4
