year,national_school_age_population,note
1956,225991,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1963,297295,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1969,424510,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1979,627115,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1989,752405,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1990,789848,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1991,802336,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1992,796828,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1993,809296,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1994,822318,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1995,839307,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1996,853096,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1997,861416,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1998,853379,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
1999,866456,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2000,857880,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2001,850421,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2002,865361,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2003,875698,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2004,885042,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2005,895348,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2006,827617,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2007,822768,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2008,800479,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2009,773913,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2010,752245,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2011,720941,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2012,722266,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2013,736329,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2014,739815,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2015,758050,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2016,779404,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2017,806913,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2018,839329,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2019,875389,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2020,912427,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2021,945147,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2022,976692,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2023,1011465,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2024,1040383,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
2025,1077709,"National-only age groups 5-9, 10-14, 15-19; not usable for aimag-level IV normalization."
