status,path,table_id,text,type,url
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Боловсролын ерөнхий үзүүлэлт",DT_NSO_2002_012V1.px,"ХАМРАН СУРГАЛТЫН БОХИР ЖИН, хүйс, анги, аймаг, нийслэл, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20indicators%20for%20Education/DT_NSO_2002_012V1.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Боловсролын ерөнхий үзүүлэлт",DT_NSO_2002_055V1.px,"БОЛОВСРОЛЫН САЛБАРЫН ЗАРДАЛ, төрөл, жилээр, оны үнээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20indicators%20for%20Education/DT_NSO_2002_055V1.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Боловсролын ерөнхий үзүүлэлт",DT_NSO_2002_066V2.px,"БYХ ШАТНЫ БОЛОВСРОЛЫН СУРГАЛТЫН БАЙГУУЛЛАГА, ангилал, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20indicators%20for%20Education/DT_NSO_2002_066V2.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Боловсролын ерөнхий үзүүлэлт",DT_NSO_2002_067V1.px,"БҮХ ШАТНЫ СУРГАЛТЫН БАЙГУУЛЛАГЫН ҮНДСЭН БАГШ, ангилал, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20indicators%20for%20Education/DT_NSO_2002_067V1.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Боловсролын ерөнхий үзүүлэлт",DT_NSO_2002_068V1.px,"БYХ ШАТНЫ СУРГАЛТЫН БАЙГУУЛЛАГЫГ ТӨГСӨГЧИД, ангилал, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20indicators%20for%20Education/DT_NSO_2002_068V1.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Боловсролын ерөнхий үзүүлэлт",DT_NSO_2002_069V2.px,"БYХ ШАТНЫ БОЛОВСРОЛЫН СУРГАЛТЫН БАЙГУУЛЛАГАД СУРАЛЦАГЧИД, ангилал, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20indicators%20for%20Education/DT_NSO_2002_069V2.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Ерөнхий боловсролын сургууль",DT_NSO_2001_001V1.px,"ЕРӨНХИЙ БОЛОВСРОЛЫН СУРГУУЛИЙН ҮНДСЭН БАГШ, аймаг, нийслэл, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20educational%20schools/DT_NSO_2001_001V1.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Ерөнхий боловсролын сургууль",DT_NSO_2001_001V2.px,"ЕРӨНХИЙ БОЛОВСРОЛЫН СУРГУУЛИЙН ҮНДСЭН БАГШ, сум, дүүрэг, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20educational%20schools/DT_NSO_2001_001V2.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Ерөнхий боловсролын сургууль",DT_NSO_2001_002V1.px,"ЕРӨНХИЙ БОЛОВСРОЛЫН СУРГУУЛИЙН ТОО, аймаг, нийслэл, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20educational%20schools/DT_NSO_2001_002V1.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Ерөнхий боловсролын сургууль",DT_NSO_2001_002V2.px,"ЕРӨНХИЙ БОЛОВСРОЛЫН СУРГУУЛИЙН ТОО, сум, дүүрэг, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20educational%20schools/DT_NSO_2001_002V2.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Ерөнхий боловсролын сургууль",DT_NSO_2001_003V1.px,"ЕРӨНХИЙ БОЛОВСРОЛЫН СУРГУУЛИЙН ТОО, төрөл, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20educational%20schools/DT_NSO_2001_003V1.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Ерөнхий боловсролын сургууль",DT_NSO_2001_004V1.px,"ЕРӨНХИЙ БОЛОВСРОЛЫН СУРГУУЛЬД ӨДРӨӨР СУРАЛЦАГЧДЫН ТОО, аймаг, нийслэл, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20educational%20schools/DT_NSO_2001_004V1.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Ерөнхий боловсролын сургууль",DT_NSO_2001_018V1.px,"ЕРӨНХИЙ БОЛОВСРОЛЫН СУРГУУЛЬД ӨДРӨӨР СУРАЛЦАГЧИД, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20educational%20schools/DT_NSO_2001_018V1.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Ерөнхий боловсролын сургууль",DT_NSO_2001_019V1.px,"ЕРӨНХИЙ БОЛОВСРОЛЫН СУРГУУЛИЙН СУРАЛЦАГЧДААС ДОТУУР БАЙРАНД СУУХ ХҮСЭЛТ ГАРГАСАН ХҮҮХЭД, аймаг, нийслэл, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20educational%20schools/DT_NSO_2001_019V1.px
FOUND_OR_TABLE,"NSO / Боловсрол, эрүүл мэнд / Ерөнхий боловсролын сургууль",DT_NSO_2001_020V1.px,"ЕРӨНХИЙ БОЛОВСРОЛЫН СУРГУУЛИЙН СУРАЛЦАГЧДААС ДОТУУР БАЙРАНД АМЬДАРЧ БУЙ ХҮҮХЭД, аймаг, нийслэл, жилээр",t,https://data.1212.mn/api/v1/mn/NSO/Education%2C%20health/General%20educational%20schools/DT_NSO_2001_020V1.px
