sex,age_group,year,population
Бүгд,Бүгд,1956,845481
Бүгд,Бүгд,1963,1017158
Бүгд,Бүгд,1969,1197595
Бүгд,Бүгд,1979,1595006
Бүгд,Бүгд,1989,2043954
Бүгд,Бүгд,1990,2153466
Бүгд,Бүгд,1991,2177217
Бүгд,Бүгд,1992,2158362
Бүгд,Бүгд,1993,2171898
Бүгд,Бүгд,1994,2206892
Бүгд,Бүгд,1995,2242998
Бүгд,Бүгд,1996,2276016
Бүгд,Бүгд,1997,2307484
Бүгд,Бүгд,1998,2340134
Бүгд,Бүгд,1999,2373493
Бүгд,Бүгд,2000,2403105
Бүгд,Бүгд,2001,2432397
Бүгд,Бүгд,2002,2465657
Бүгд,Бүгд,2003,2495091
Бүгд,Бүгд,2004,2521733
Бүгд,Бүгд,2005,2551081
Бүгд,Бүгд,2006,2583254
Бүгд,Бүгд,2007,2620446
Бүгд,Бүгд,2008,2665955
Бүгд,Бүгд,2009,2716275
Бүгд,Бүгд,2010,2760968
Бүгд,Бүгд,2011,2811666
Бүгд,Бүгд,2012,2867744
Бүгд,Бүгд,2013,2930277
Бүгд,Бүгд,2014,2995949
Бүгд,Бүгд,2015,3057778
Бүгд,Бүгд,2016,3119935
Бүгд,Бүгд,2017,3177899
Бүгд,Бүгд,2018,3238479
Бүгд,Бүгд,2019,3296866
Бүгд,Бүгд,2020,3367257
Бүгд,Бүгд,2021,3419654
Бүгд,Бүгд,2022,3467263
Бүгд,Бүгд,2023,3514456
Бүгд,Бүгд,2024,3554550
Бүгд,Бүгд,2025,3591120
Бүгд,0-4,1956,106601
Бүгд,0-4,1963,170389
Бүгд,0-4,1969,199012
Бүгд,0-4,1979,263534
Бүгд,0-4,1989,324856
Бүгд,0-4,1990,340633
Бүгд,0-4,1991,335026
Бүгд,0-4,1992,318770
Бүгд,0-4,1993,293792
Бүгд,0-4,1994,275666
Бүгд,0-4,1995,260200
Бүгд,0-4,1996,245148
Бүгд,0-4,1997,233844
Бүгд,0-4,1998,236701
Бүгд,0-4,1999,246023
Бүгд,0-4,2000,230273
Бүгд,0-4,2001,228703
Бүгд,0-4,2002,227994
Бүгд,0-4,2003,230716
Бүгд,0-4,2004,233180
Бүгд,0-4,2005,235893
Бүгд,0-4,2006,216960
Бүгд,0-4,2007,232963
Бүгд,0-4,2008,247698
Бүгд,0-4,2009,263186
Бүгд,0-4,2010,276321
Бүгд,0-4,2011,288129
Бүгд,0-4,2012,305258
Бүгд,0-4,2013,319422
Бүгд,0-4,2014,345968
Бүгд,0-4,2015,386866
Бүгд,0-4,2016,394514
Бүгд,0-4,2017,393984
Бүгд,0-4,2018,391125
Бүгд,0-4,2019,385681
Бүгд,0-4,2020,383719
Бүгд,0-4,2021,377193
Бүгд,0-4,2022,367484
Бүгд,0-4,2023,354313
Бүгд,0-4,2024,340277
Бүгд,0-4,2025,320061
Бүгд,5-9,1956,88919
Бүгд,5-9,1963,139124
Бүгд,5-9,1969,194303
Бүгд,5-9,1979,234986
Бүгд,5-9,1989,275179
Бүгд,5-9,1990,291335
Бүгд,5-9,1991,298627
Бүгд,5-9,1992,299441
Бүгд,5-9,1993,308809
Бүгд,5-9,1994,314084
Бүгд,5-9,1995,318226
Бүгд,5-9,1996,317828
Бүгд,5-9,1997,311920
Бүгд,5-9,1998,289751
Бүгд,5-9,1999,285664
Бүгд,5-9,2000,267504
Бүгд,5-9,2001,255618
Бүгд,5-9,2002,264648
Бүгд,5-9,2003,267807
Бүгд,5-9,2004,270667
Бүгд,5-9,2005,273818
Бүгд,5-9,2006,243465
Бүгд,5-9,2007,246879
Бүгд,5-9,2008,240358
Бүгд,5-9,2009,233139
Бүгд,5-9,2010,228193
Бүгд,5-9,2011,222256
Бүгд,5-9,2012,231805
Бүгд,5-9,2013,248674
Бүгд,5-9,2014,271346
Бүгд,5-9,2015,298808
Бүгд,5-9,2016,322575
Бүгд,5-9,2017,341311
Бүгд,5-9,2018,358379
Бүгд,5-9,2019,373012
Бүгд,5-9,2020,390116
Бүгд,5-9,2021,397461
Бүгд,5-9,2022,397687
Бүгд,5-9,2023,395617
Бүгд,5-9,2024,386370
Бүгд,5-9,2025,389790
Бүгд,10-14,1956,61387
Бүгд,10-14,1963,87283
Бүгд,10-14,1969,139050
Бүгд,10-14,1979,207713
Бүгд,10-14,1989,255646
Бүгд,10-14,1990,260968
Бүгд,10-14,1991,261280
Бүгд,10-14,1992,258612
Бүгд,10-14,1993,259277
Бүгд,10-14,1994,266867
Бүгд,10-14,1995,275060
Бүгд,10-14,1996,285685
Бүгд,10-14,1997,294987
Бүгд,10-14,1998,306484
Бүгд,10-14,1999,317434
Бүгд,10-14,2000,314253
Бүгд,10-14,2001,311938
Бүгд,10-14,2002,312107
Бүгд,10-14,2003,315837
Бүгд,10-14,2004,319207
Бүгд,10-14,2005,322924
Бүгд,10-14,2006,276262
Бүгд,10-14,2007,269186
Бүгд,10-14,2008,262156
