hses_code,year,aimag_mn,schools
11,2000,Улаанбаатар,146
11,2001,Улаанбаатар,150
11,2002,Улаанбаатар,156
11,2003,Улаанбаатар,163
11,2004,Улаанбаатар,178
11,2005,Улаанбаатар,190
11,2006,Улаанбаатар,200
11,2007,Улаанбаатар,210
11,2008,Улаанбаатар,207
11,2009,Улаанбаатар,209
11,2010,Улаанбаатар,206
11,2011,Улаанбаатар,206
11,2012,Улаанбаатар,207
11,2013,Улаанбаатар,203
11,2014,Улаанбаатар,210
11,2015,Улаанбаатар,211
11,2016,Улаанбаатар,222
11,2017,Улаанбаатар,238
11,2018,Улаанбаатар,245
11,2019,Улаанбаатар,257
11,2020,Улаанбаатар,273
11,2021,Улаанбаатар,278
11,2022,Улаанбаатар,293
11,2023,Улаанбаатар,306
11,2024,Улаанбаатар,314
11,2025,Улаанбаатар,329
21,2000,Дорнод,25
21,2001,Дорнод,25
21,2002,Дорнод,27
21,2003,Дорнод,25
21,2004,Дорнод,25
21,2005,Дорнод,26
21,2006,Дорнод,25
21,2007,Дорнод,25
21,2008,Дорнод,26
21,2009,Дорнод,26
21,2010,Дорнод,26
21,2011,Дорнод,25
21,2012,Дорнод,25
21,2013,Дорнод,25
21,2014,Дорнод,25
21,2015,Дорнод,26
21,2016,Дорнод,26
21,2017,Дорнод,26
21,2018,Дорнод,26
21,2019,Дорнод,27
21,2020,Дорнод,27
21,2021,Дорнод,27
21,2022,Дорнод,27
21,2023,Дорнод,26
21,2024,Дорнод,26
21,2025,Дорнод,27
22,2000,Сүхбаатар,16
22,2001,Сүхбаатар,15
22,2002,Сүхбаатар,15
22,2003,Сүхбаатар,15
22,2004,Сүхбаатар,15
22,2005,Сүхбаатар,15
22,2006,Сүхбаатар,15
22,2007,Сүхбаатар,15
22,2008,Сүхбаатар,15
22,2009,Сүхбаатар,15
22,2010,Сүхбаатар,15
22,2011,Сүхбаатар,15
22,2012,Сүхбаатар,15
22,2013,Сүхбаатар,17
22,2014,Сүхбаатар,16
22,2015,Сүхбаатар,16
22,2016,Сүхбаатар,16
22,2017,Сүхбаатар,16
22,2018,Сүхбаатар,16
22,2019,Сүхбаатар,16
22,2020,Сүхбаатар,16
22,2021,Сүхбаатар,16
22,2022,Сүхбаатар,16
22,2023,Сүхбаатар,16
22,2024,Сүхбаатар,16
22,2025,Сүхбаатар,16
23,2000,Хэнтий,29
23,2001,Хэнтий,30
23,2002,Хэнтий,27
23,2003,Хэнтий,26
23,2004,Хэнтий,26
23,2005,Хэнтий,27
23,2006,Хэнтий,27
23,2007,Хэнтий,27
23,2008,Хэнтий,27
23,2009,Хэнтий,26
23,2010,Хэнтий,26
23,2011,Хэнтий,26
23,2012,Хэнтий,26
23,2013,Хэнтий,26
23,2014,Хэнтий,26
23,2015,Хэнтий,26
23,2016,Хэнтий,26
23,2017,Хэнтий,26
23,2018,Хэнтий,26
23,2019,Хэнтий,26
23,2020,Хэнтий,26
23,2021,Хэнтий,27
23,2022,Хэнтий,27
23,2023,Хэнтий,29
23,2024,Хэнтий,28
23,2025,Хэнтий,28
41,2000,Төв,41
41,2001,Төв,41
41,2002,Төв,36
41,2003,Төв,30
41,2004,Төв,31
41,2005,Төв,33
41,2006,Төв,33
41,2007,Төв,32
41,2008,Төв,33
41,2009,Төв,33
41,2010,Төв,32
41,2011,Төв,31
41,2012,Төв,31
41,2013,Төв,31
41,2014,Төв,31
41,2015,Төв,31
41,2016,Төв,31
41,2017,Төв,31
41,2018,Төв,31
41,2019,Төв,31
41,2020,Төв,31
41,2021,Төв,31
41,2022,Төв,32
41,2023,Төв,31
41,2024,Төв,32
41,2025,Төв,33
42,2000,Говьсүмбэр,4
42,2001,Говьсүмбэр,5
42,2002,Говьсүмбэр,5
42,2003,Говьсүмбэр,5
42,2004,Говьсүмбэр,4
42,2005,Говьсүмбэр,4
42,2006,Говьсүмбэр,4
42,2007,Говьсүмбэр,4
42,2008,Говьсүмбэр,4
42,2009,Говьсүмбэр,4
42,2010,Говьсүмбэр,4
42,2011,Говьсүмбэр,5
42,2012,Говьсүмбэр,5
42,2013,Говьсүмбэр,5
42,2014,Говьсүмбэр,5
42,2015,Говьсүмбэр,5
42,2016,Говьсүмбэр,5
42,2017,Говьсүмбэр,5
42,2018,Говьсүмбэр,5
42,2019,Говьсүмбэр,5
42,2020,Говьсүмбэр,5
42,2021,Говьсүмбэр,5
42,2022,Говьсүмбэр,5
42,2023,Говьсүмбэр,5
42,2024,Говьсүмбэр,5
42,2025,Говьсүмбэр,5
43,2000,Сэлэнгэ,34
43,2001,Сэлэнгэ,34
43,2002,Сэлэнгэ,35
43,2003,Сэлэнгэ,34
43,2004,Сэлэнгэ,33
43,2005,Сэлэнгэ,33
43,2006,Сэлэнгэ,33
43,2007,Сэлэнгэ,33
43,2008,Сэлэнгэ,34
43,2009,Сэлэнгэ,35
43,2010,Сэлэнгэ,35
43,2011,Сэлэнгэ,35
43,2012,Сэлэнгэ,35
43,2013,Сэлэнгэ,35
43,2014,Сэлэнгэ,35
43,2015,Сэлэнгэ,34
43,2016,Сэлэнгэ,34
43,2017,Сэлэнгэ,35
43,2018,Сэлэнгэ,34
43,2019,Сэлэнгэ,34
43,2020,Сэлэнгэ,35
43,2021,Сэлэнгэ,35
43,2022,Сэлэнгэ,35
43,2023,Сэлэнгэ,35
43,2024,Сэлэнгэ,35
43,2025,Сэлэнгэ,35
44,2000,Дорноговь,19
44,2001,Дорноговь,19
44,2002,Дорноговь,18
44,2003,Дорноговь,19
44,2004,Дорноговь,20
44,2005,Дорноговь,20
44,2006,Дорноговь,19
44,2007,Дорноговь,22
44,2008,Дорноговь,20
44,2009,Дорноговь,20
44,2010,Дорноговь,20
44,2011,Дорноговь,20
44,2012,Дорноговь,21
44,2013,Дорноговь,22
44,2014,Дорноговь,22
44,2015,Дорноговь,22
44,2016,Дорноговь,21
44,2017,Дорноговь,22
44,2018,Дорноговь,22
44,2019,Дорноговь,22
44,2020,Дорноговь,21
44,2021,Дорноговь,21
44,2022,Дорноговь,22
44,2023,Дорноговь,22
44,2024,Дорноговь,21
44,2025,Дорноговь,22
45,2000,Дархан-Уул,21
45,2001,Дархан-Уул,20
45,2002,Дархан-Уул,18
45,2003,Дархан-Уул,23
45,2004,Дархан-Уул,27
45,2005,Дархан-Уул,27
45,2006,Дархан-Уул,28
45,2007,Дархан-Уул,29
45,2008,Дархан-Уул,29
45,2009,Дархан-Уул,29
45,2010,Дархан-Уул,28
45,2011,Дархан-Уул,28
45,2012,Дархан-Уул,27
45,2013,Дархан-Уул,28
45,2014,Дархан-Уул,27
45,2015,Дархан-Уул,27
45,2016,Дархан-Уул,26
45,2017,Дархан-Уул,26
45,2018,Дархан-Уул,26
