hses_code,year,schools,students,school_density
11,2000,146,162.5,0.8984615384615384
11,2001,150,169.5,0.8849557522123894
11,2002,156,176,0.8863636363636364
11,2003,163,180,0.9055555555555556
11,2004,178,185.6,0.959051724137931
11,2005,190,186.2,1.0204081632653061
11,2006,200,185.2,1.0799136069114472
11,2007,210,184.3,1.1394465545306565
11,2008,207,185,1.1189189189189188
11,2009,209,184.3,1.134020618556701
11,2010,206,184.6,1.1159263271939328
11,2011,206,186.7,1.1033743974290307
11,2012,207,186.8,1.10813704496788
11,2013,203,192.3,1.0556422256890274
11,2014,210,201.9,1.0401188707280833
11,2015,211,220.6,0.9564823209428831
11,2016,222,232.8,0.9536082474226804
11,2017,238,247.2,0.9627831715210357
11,2018,245,263.4,0.9301442672741079
11,2019,257,291.5,0.8816466552315609
11,2020,273,316.9,0.8614704954244242
11,2021,278,338.4,0.8215130023640662
11,2022,293,363.4,0.8062740781507981
11,2023,306,380.7,0.8037825059101655
11,2024,314,397.3,0.7903347596274855
11,2025,329,411.3,0.7999027473863359
21,2000,25,16.6,1.506024096385542
21,2001,25,16.9,1.4792899408284026
21,2002,27,17.2,1.5697674418604652
21,2003,25,16.9,1.4792899408284026
21,2004,25,17.3,1.445086705202312
21,2005,26,16.6,1.5662650602409638
21,2006,25,16.3,1.5337423312883436
21,2007,25,15.7,1.5923566878980893
21,2008,26,15,1.7333333333333334
21,2009,26,14.3,1.8181818181818181
21,2010,26,14,1.8571428571428572
21,2011,25,13.6,1.8382352941176472
21,2012,25,13.3,1.8796992481203008
21,2013,25,13.1,1.9083969465648856
21,2014,25,13.4,1.8656716417910448
21,2015,26,13.9,1.870503597122302
21,2016,26,14.3,1.8181818181818181
21,2017,26,14.9,1.74496644295302
21,2018,26,15.4,1.6883116883116882
21,2019,27,16.6,1.6265060240963853
21,2020,27,17.4,1.5517241379310347
21,2021,27,18.2,1.4835164835164836
21,2022,27,19,1.4210526315789473
21,2023,26,19.7,1.3197969543147208
21,2024,26,20.3,1.2807881773399015
21,2025,27,20.8,1.2980769230769231
22,2000,16,11,1.4545454545454546
22,2001,15,11.1,1.3513513513513513
22,2002,15,11.5,1.3043478260869565
22,2003,15,11.6,1.293103448275862
22,2004,15,12.8,1.171875
22,2005,15,12.9,1.1627906976744187
22,2006,15,11.4,1.3157894736842104
22,2007,15,11.3,1.327433628318584
22,2008,15,11.1,1.3513513513513513
22,2009,15,10.7,1.4018691588785048
22,2010,15,10.4,1.4423076923076923
22,2011,15,10.3,1.4563106796116503
22,2012,15,10,1.5
22,2013,17,9.8,1.7346938775510203
22,2014,16,10,1.6
22,2015,16,10.4,1.5384615384615383
22,2016,16,10.7,1.4953271028037385
22,2017,16,11.2,1.4285714285714286
22,2018,16,11.6,1.3793103448275863
22,2019,16,12.3,1.3008130081300813
22,2020,16,12.9,1.2403100775193798
22,2021,16,13.4,1.1940298507462686
22,2022,16,13.8,1.1594202898550725
22,2023,16,14.2,1.1267605633802817
22,2024,16,14.5,1.103448275862069
22,2025,16,14.8,1.081081081081081
23,2000,29,14.4,2.013888888888889
23,2001,30,14.5,2.0689655172413794
23,2002,27,14.8,1.8243243243243243
23,2003,26,15.3,1.6993464052287581
23,2004,26,16.3,1.5950920245398772
23,2005,27,16.4,1.6463414634146343
23,2006,27,14.6,1.8493150684931507
23,2007,27,14.8,1.8243243243243243
23,2008,27,15,1.8
23,2009,26,14.8,1.7567567567567566
23,2010,26,14.2,1.8309859154929577
23,2011,26,13.8,1.8840579710144927
23,2012,26,13.3,1.9548872180451127
23,2013,26,13.3,1.9548872180451127
23,2014,26,13.4,1.9402985074626866
23,2015,26,13.7,1.8978102189781023
23,2016,26,13.9,1.870503597122302
23,2017,26,14.2,1.8309859154929577
23,2018,26,14.4,1.8055555555555556
23,2019,26,15.2,1.7105263157894737
23,2020,26,15.8,1.6455696202531644
23,2021,27,16.5,1.6363636363636365
23,2022,27,17,1.588235294117647
23,2023,29,17.2,1.686046511627907
23,2024,28,17.5,1.6
23,2025,28,17.7,1.5819209039548023
41,2000,41,19.1,2.1465968586387434
41,2001,41,18.7,2.192513368983957
41,2002,36,19.4,1.8556701030927836
41,2003,30,19.6,1.530612244897959
41,2004,31,18.4,1.6847826086956523
41,2005,33,17.6,1.8749999999999998
