hses_code,year,aimag_mn,students
11,2000,Улаанбаатар,162.5
11,2001,Улаанбаатар,169.5
11,2002,Улаанбаатар,176
11,2003,Улаанбаатар,180
11,2004,Улаанбаатар,185.6
11,2005,Улаанбаатар,186.2
11,2006,Улаанбаатар,185.2
11,2007,Улаанбаатар,184.3
11,2008,Улаанбаатар,185
11,2009,Улаанбаатар,184.3
11,2010,Улаанбаатар,184.6
11,2011,Улаанбаатар,186.7
11,2012,Улаанбаатар,186.8
11,2013,Улаанбаатар,192.3
11,2014,Улаанбаатар,201.9
11,2015,Улаанбаатар,220.6
11,2016,Улаанбаатар,232.8
11,2017,Улаанбаатар,247.2
11,2018,Улаанбаатар,263.4
11,2019,Улаанбаатар,291.5
11,2020,Улаанбаатар,316.9
11,2021,Улаанбаатар,338.4
11,2022,Улаанбаатар,363.4
11,2023,Улаанбаатар,380.7
11,2024,Улаанбаатар,397.3
11,2025,Улаанбаатар,411.3
21,2000,Дорнод,16.6
21,2001,Дорнод,16.9
21,2002,Дорнод,17.2
21,2003,Дорнод,16.9
21,2004,Дорнод,17.3
21,2005,Дорнод,16.6
21,2006,Дорнод,16.3
21,2007,Дорнод,15.7
21,2008,Дорнод,15
21,2009,Дорнод,14.3
21,2010,Дорнод,14
21,2011,Дорнод,13.6
21,2012,Дорнод,13.3
21,2013,Дорнод,13.1
21,2014,Дорнод,13.4
21,2015,Дорнод,13.9
21,2016,Дорнод,14.3
21,2017,Дорнод,14.9
21,2018,Дорнод,15.4
21,2019,Дорнод,16.6
21,2020,Дорнод,17.4
21,2021,Дорнод,18.2
21,2022,Дорнод,19
21,2023,Дорнод,19.7
21,2024,Дорнод,20.3
21,2025,Дорнод,20.8
22,2000,Сүхбаатар,11
22,2001,Сүхбаатар,11.1
22,2002,Сүхбаатар,11.5
22,2003,Сүхбаатар,11.6
22,2004,Сүхбаатар,12.8
22,2005,Сүхбаатар,12.9
22,2006,Сүхбаатар,11.4
22,2007,Сүхбаатар,11.3
22,2008,Сүхбаатар,11.1
22,2009,Сүхбаатар,10.7
22,2010,Сүхбаатар,10.4
22,2011,Сүхбаатар,10.3
22,2012,Сүхбаатар,10
22,2013,Сүхбаатар,9.8
22,2014,Сүхбаатар,10
22,2015,Сүхбаатар,10.4
22,2016,Сүхбаатар,10.7
22,2017,Сүхбаатар,11.2
22,2018,Сүхбаатар,11.6
22,2019,Сүхбаатар,12.3
22,2020,Сүхбаатар,12.9
22,2021,Сүхбаатар,13.4
22,2022,Сүхбаатар,13.8
22,2023,Сүхбаатар,14.2
22,2024,Сүхбаатар,14.5
22,2025,Сүхбаатар,14.8
23,2000,Хэнтий,14.4
23,2001,Хэнтий,14.5
23,2002,Хэнтий,14.8
23,2003,Хэнтий,15.3
23,2004,Хэнтий,16.3
23,2005,Хэнтий,16.4
23,2006,Хэнтий,14.6
23,2007,Хэнтий,14.8
23,2008,Хэнтий,15
23,2009,Хэнтий,14.8
23,2010,Хэнтий,14.2
23,2011,Хэнтий,13.8
