birth_aimag,distance_to_ub,n_panel,mean_educ
11,0,3279,13.175663311985362
41,23.717768951505168,961,12.341311134235172
45,188.85226225436722,581,12.941480206540447
42,204.81617227094986,164,12.268292682926829
61,242.96107119625228,474,13.09915611814346
48,244.535707800464,774,12.467700258397933
43,262.783389986997,730,12.706849315068494
63,269.21142362936376,749,12.76101468624833
23,287.6409179437562,844,12.227488151658768
62,362.7433225537649,1041,12.150816522574448
65,411.79637758911,950,12.57578947368421
44,416.3523374741248,836,12.165071770334928
22,499.1297213329998,792,12.180555555555555
64,507.1563491433865,1064,12.44078947368421
46,520.120244391359,795,12.442767295597484
67,530.498103507136,993,12.517623363544814
21,565.9255139453393,867,12.011534025374855
81,751.7364822502226,1066,13.124765478424015
82,823.1694658580907,942,13.077494692144374
85,1106.78776233169,1061,12.901036757775683
84,1135.6938506647364,1029,12.929057337220602
83,1252.9474173158897,1017,12.890855457227138
