variable_name,type,N_nonmissing,missing_rate,unique_values,min,p10,p25,p50,p75,p90,max,corr_lwage,corr_educ_years,corr_parent_educ_mean,family,expected_mechanism,theory_score,predetermined_score,post_treatment_penalty,iv_overlap_penalty,level_fe_penalty,caveat,data_quality_score,variation_score,usable_continuous_threshold,usable_binary_split,reject_reason,overall_score
q_age,continuous,3710,0,35,25,25,27,30,35,42,60,0.006696533247381137,-0.18769276160426263,-0.06298365843046339,Life-cycle,Returns to schooling may differ across labor-market life-cycle stages.,4,5,0,0,0,Not family/home background; age is already a control.,5,4,TRUE,FALSE,NA,18
q_school_access,continuous,3188,0.14070080862533696,356,0.7819171572528096,0.9478157109868292,1.0522298977933353,1.4559588427726506,1.739781018058746,1.9572230952796692,2.301862236976233,-0.061155343816843344,0.0013682401705279966,-0.1569112029680963,School access,Education returns may differ by childhood birth-aimag school access.,4,5,0,0,1,Previously used; partial exposure for older cohorts.,5,5,TRUE,FALSE,NA,18
student_teacher_ratio_at_17,continuous,1032,0.721832884097035,296,3.67553865652725,17.15438950554995,18.54922279792746,20.95435684647303,24.289068614662146,26.19618913196895,66.4804469273743,0.05379867427233104,-0.053679622265944034,0.05170991447840136,School quality,Education returns may differ by class-size/school-quality exposure at late school age.,5,5,0,0,0,"Strong theory, but coverage may be limited to cohorts with 2000+ school data.",3,5,TRUE,FALSE,NA,18
teachers_per_student_at_17,continuous,1032,0.721832884097035,296,0.015042016806722689,0.038173491379310344,0.04117078410311493,0.047722772277227724,0.053910614525139663,0.05829411764705882,0.27206896551724136,-0.026853556103469848,0.047021269584294687,-0.06023795472301732,School quality,Education returns may differ by teacher availability during late school age.,5,5,0,0,0,Inverse of student-teacher ratio; interpretation is cleaner if higher means better supply.,3,5,TRUE,FALSE,NA,18
school_density_student_at_17,continuous,1032,0.721832884097035,255,0.6074766355140188,1.0556422256890277,1.1522633744855968,1.5819209039548021,1.8571428571428572,2.142857142857143,2.5225225225225225,-0.05636488776948577,0.07213197486772448,-0.11865134812026036,School access,Education returns may differ by school availability at late school age.,4,5,0,0,0,Age-17 exposure avoids partial 6-17 averaging.,3,5,TRUE,FALSE,NA,17
students_per_school_at_17,continuous,1032,0.721832884097035,255,396.42857142857144,466.6666666666667,538.4615384615385,632.1428571428571,867.8571428571429,947.2906403940887,1646.1538461538462,0.07495494390890135,-0.04171116511222513,0.15648163317244101,School crowding,Education returns may differ by school crowding during late school age.,4,5,0,0,0,Higher values mean more crowded schools.,3,5,TRUE,FALSE,NA,17
q_birth_year,continuous,3710,0,39,1960,1980,1987,1992,1995,1997,1999,0.041627843142400596,0.18822710880714247,0.053590789033539046,Cohort,Returns may differ across cohorts exposed to different macro/education environments.,3,5,0,0,1,Closely related to birth_cohort FE and wave-age structure.,5,4,TRUE,FALSE,NA,16
mean_student_teacher_ratio_age7_15,continuous,523,0.8590296495956873,125,15.798861300408516,20.659034153305956,21.943828268926893,23.04532182274193,24.439662298811964,25.140983466997632,42.01113531026407,0.006957131055840464,1.3228790927955077e-4,0.007051036721524656,School quality,Average class-size/school-quality exposure across school ages.,5,5,0,0,1,"Conceptually good, but can inherit partial-coverage problems.",2,5,TRUE,FALSE,NA,16
mean_teachers_per_student_age7_15,continuous,523,0.8590296495956873,125,0.03079395977016489,0.04009921989340506,0.04129917629404324,0.04410512983507461,0.04604238009905044,0.04923182252455091,0.11932311621966794,-0.008340284116379682,0.013994821682114857,-0.06678060350311305,School quality,Average teacher availability across school ages.,5,5,0,0,1,"Conceptually good, but can inherit partial-coverage problems.",2,5,TRUE,FALSE,NA,16
n_siblings,ordered,3710,0,8,0,0,0,1,1,2,7,-0.11802913269216059,-0.047754227270284194,-0.07158112475436856,Family background,Family size/resource dilution heterogeneity.,3,4,0,0,0,Observed only when siblings are in the current roster; incomplete childhood family size.,5,3,FALSE,FALSE,too little variation for continuous threshold,15
mean_school_density_student_age7_15,continuous,523,0.8590296495956873,125,0.7732044945797748,1.0399561228260095,1.220723922314114,1.545017281985095,1.8207631355144027,1.9853407395926097,2.3198350179029714,-0.08153082434636398,0.03819003058460009,-0.09699643641501972,School access,Average school access across childhood school years.,4,5,0,0,1,Close to q_school_access but narrower construction.,2,5,TRUE,FALSE,NA,15
birth_order,ordered,3710,0,6,1,1,1,1,1,2,6,-0.07872615378767013,-0.03194878162837554,-0.048728766090377566,Family background,Resource dilution or sibling-rank heterogeneity in returns to schooling.,3,4,0,0,0,Observed from current household roster; not a clean childhood household history.,5,2,FALSE,FALSE,too little variation for continuous threshold,14
log_distance_to_ub,continuous,3705,0.0013477088948786742,22,0,0,0,5.893695483748599,6.33846246873975,7.034999065305796,7.133253988585239,-0.10075218759878757,-0.04667790342484134,-0.24823147348918845,Geographic/labor-market access,Returns may differ by remoteness from the capital/labor market access.,3,5,0,0,2,Only 22 birth-aimag-level values and collinear with birth-aimag level.,5,3,TRUE,FALSE,NA,14
distance_to_ub,continuous,3705,0.0013477088948786742,22,0,0,0,362.7433225537649,565.9255139453393,1135.6938506647364,1252.9474173158897,-0.12067253370295018,0.006058637436200416,-0.19219784066668918,Geographic/labor-market access,Returns may differ by remoteness from the capital/labor market access.,3,5,0,0,2,Only 22 birth-aimag-level values; use log form if used.,5,3,TRUE,FALSE,NA,14
born_ub,binary,3710,0,2,0,0,0,0,1,1,1,0.08918859319685214,0.05501174343773629,0.24432393499231553,Geographic/labor-market access,UB-born vs non-UB-born heterogeneity split.,3,5,0,0,2,"Binary split, not continuous Caner-Hansen threshold.",5,1,FALSE,TRUE,"binary split only, not continuous threshold",12
rural_birth,binary,3710,0,2,0,0,0,1,1,1,1,-0.08918859319685214,-0.05501174343773629,-0.24432393499231553,Geographic/labor-market access,Non-UB-born vs UB-born heterogeneity split.,3,5,0,0,2,"Binary split, not continuous Caner-Hansen threshold.",5,1,FALSE,TRUE,"binary split only, not continuous threshold",12
q_new,continuous,3191,0.1398921832884097,353,0.7819171572528096,0.9068776413462102,1.002709606891408,1.2392535858488927,1.7097834887258332,1.8935722624044042,2.301862236976233,-0.09733799593900247,-0.015016975179147447,-0.18937324059012434,School access/current residence,Current-residence school access proxy.,2,2,2,0,1,Current residence may reflect migration; weaker than birth-aimag exposure.,5,5,TRUE,FALSE,NA,11
teachers_per_1000_children_at_17,unavailable,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,School quality,Education returns may differ by teacher supply relative to child population.,5,5,0,0,0,Coverage may be weaker because population denominator is not always available.,0,0,FALSE,FALSE,missing or no variation,10
q_current_hhsize,ordered,3710,0,14,2,2,3,4,5,7,17,-0.07902310864139594,-0.03753219538300845,-0.02707407109334293,Current household condition,Returns may differ by current household burden/resources.,2,1,4,0,0,Post-treatment risk; current household size may be affected by education/wage.,5,3,FALSE,FALSE,post-treatment/current-outcome risk,7
urban,ordered,3710,0,2,1,1,1,1,1,2,2,-0.02577005064816617,-0.0465507637500058,-0.19774841638591978,Current location,Urban/rural heterogeneity split.,2,1,4,0,0,Already a control and may reflect migration/labor outcomes.,5,0,FALSE,FALSE,post-treatment/current-outcome risk,4
