source_file,survey_folder,file_name,variable_name,variable_label,family,possible_use,recommended_role
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household.sav,НҮТС-2013,Household.sav,HH13,Cluster: interviewed women,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household.sav,НҮТС-2013,Household.sav,HH13B,Cluster: interviewed men,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household.sav,НҮТС-2013,Household.sav,HH15,Cluster: interviewed children under-5,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,HH7,Region,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household list.sav,НҮТС-2013,Household list.sav,HH7,Region,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household.sav,НҮТС-2013,Household.sav,HH7,Region,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Men.sav,НҮТС-2013,Men.sav,HH7,Region,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Women.sav,НҮТС-2013,Women.sav,HH7,Region,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,WAM,Weight for age percent of reference median NCHS,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,WAP,Weight for age percentile NCHS,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,WAZ,Weight for age z-score NCHS,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,WAZ2,Weight for age z-score WHO,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,WAZFLAG,Weight for age flag WHO,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,WHM,Weight for height percent of reference median NCHS,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,WHP,Weight for height percentile NCHS,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,WHZ,Weight for height z-score NCHS,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,WHZ2,Weight for height z-score WHO,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,WHZFLAG,Weight for height flag WHO,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,WHZNOAGE,Weight for height - Age flag WHO,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,chweight,Children under-5's sample weight,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household list.sav,НҮТС-2013,Household list.sav,hhweight,Household sample weight,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household.sav,НҮТС-2013,Household.sav,hhweight,Household sample weight,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Men.sav,НҮТС-2013,Men.sav,mnweight,Men's sample weight,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Women.sav,НҮТС-2013,Women.sav,wmweight,Women's sample weight,demographics_geo_weights,"Needed for aggregation: region, urban/rural, cluster, weights.",merge/aggregation key or survey design variable
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household list.sav,НҮТС-2013,Household list.sav,felevel,Father`s education,education_schooling,External validation / descriptive context for schooling access or youth school outcomes.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household list.sav,НҮТС-2013,Household list.sav,helevel,Education of household head,education_schooling,External validation / descriptive context for schooling access or youth school outcomes.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household.sav,НҮТС-2013,Household.sav,helevel,Education of household head,education_schooling,External validation / descriptive context for schooling access or youth school outcomes.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household list.sav,НҮТС-2013,Household list.sav,melevel,Mother`s education,education_schooling,External validation / descriptive context for schooling access or youth school outcomes.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Men.sav,НҮТС-2013,Men.sav,mwelevel,Education,education_schooling,External validation / descriptive context for schooling access or youth school outcomes.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household list.sav,НҮТС-2013,Household list.sav,schage,Age at beginning of school year,education_schooling,External validation / descriptive context for schooling access or youth school outcomes.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Women.sav,НҮТС-2013,Women.sav,welevel,Education,education_schooling,External validation / descriptive context for schooling access or youth school outcomes.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,melevel,Mother`s/ caretaker`s education,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,windex5,Initial (common) wealth index quintile,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household list.sav,НҮТС-2013,Household list.sav,windex5,Initial (common) wealth index quintile,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Household.sav,НҮТС-2013,Household.sav,windex5,Initial (common) wealth index quintile,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Men.sav,НҮТС-2013,Men.sav,windex5,Initial (common) wealth index quintile,wealth_assets_housing,Build region/urban-year childhood household-environment or wealth-context proxy; cannot individual-link to HSES.,auxiliary contextual variable / robustness threshold candidate after aggregation
