survey_folder,family,n_variables
НҮТС-2013,other,777
НҮТС-2013,parents_family,227
НҮТС-2013,wealth_assets_housing,205
НҮТС-2013,demographics_geo_weights,113
НҮТС-2013,education_schooling,32
НҮТС-2013,work_child_labour,27
НҮТС-2013,health_disability_nutrition,18
НҮТС-2018,parents_family,576
НҮТС-2018,other,564
НҮТС-2018,wealth_assets_housing,289
НҮТС-2018,demographics_geo_weights,182
НҮТС-2018,education_schooling,61
НҮТС-2018,health_disability_nutrition,10
НҮТС-2018,work_child_labour,7
НҮТС-2023,other,619
НҮТС-2023,parents_family,443
НҮТС-2023,wealth_assets_housing,271
НҮТС-2023,demographics_geo_weights,147
НҮТС-2023,education_schooling,34
НҮТС-2023,health_disability_nutrition,14
НҮТС-2023,work_child_labour,13
НҮТС-2023,income_consumption,5
