survey_folder,file_name,n_variables
НҮТС-2013,Child.sav,350
НҮТС-2013,Household list.sav,71
НҮТС-2013,Household.sav,167
НҮТС-2013,Men.sav,237
НҮТС-2013,Women.sav,574
НҮТС-2018,1. Household.sav,208
НҮТС-2018,2. Household List.sav,67
НҮТС-2018,3. Men.sav,242
НҮТС-2018,4. Women.sav,448
НҮТС-2018,7. Child under 5.sav,441
НҮТС-2018,8. Child age 5-17.sav,275
НҮТС-2018,Cluster mn.sav,8
НҮТС-2023,ch - MN.sav,388
НҮТС-2023,fs - MN.sav,385
НҮТС-2023,ftu - MN.sav,45
НҮТС-2023,hh - MN.sav,212
НҮТС-2023,hl - MN.sav,70
НҮТС-2023,wm - MN.sav,446
