source_file,survey_folder,file_name,variable_name,variable_label,family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,HH1,HH1. Түүврийн нэгж,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,HH2,Өрхийн дугаар,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF1,Түүвэрлэгдсэн нэгжийн дугаар,demographics_geo_weights
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF2,Өрхийн дугаар,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF4,Хүүхдийн мөрийн дугаар,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF6,Эх/ асран хамгаалагчийн мөрийн дугаар,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF7,"Судлаачийн нэр, дугаар",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF8D,Эхний Өдөр,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF8M,Эхний Сар,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF8Y,Эхний Он,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF9,Ярилцлагын үр дүн,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF12H,Ярилцлага эхэлсэн Цаг,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF12M,Ярилцлага эхэлсэн Минут,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF13H,Ярилцлага дууссан Цаг,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,UF13M,Ярилцлага дууссан Минут,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,AG1Y,Он,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,AG1M,Сар,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,AG1D,Өдөр,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,AG2,ХЭДЭН НАСТАЙ ВЭ?,demographics_geo_weights
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BR1,Төрсний гэрчилгээ,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BR2,ТӨРСНИЙГ БАГ/ ХОРООНДОО БҮРТГҮҮЛСЭН ҮҮ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BR3,ТӨРСНИЙГ ХЭРХЭН БҮРТГҮҮЛЭХИЙГ МЭДЭХ ҮҮ?,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC1,ТАНАЙД (нэр)-Д ЗОРИУЛСАН ХҮҮХДИЙН БОЛОН ЗУРАГТАЙ НОМ ХИЧНЭЭН БАЙДАГ ВЭ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC2A,ГАР АРГААР ХИЙСЭН ТОГЛООМ,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC2B,ҮЙЛДВЭРИЙН АРГААР ХИЙСЭН ТОГЛООМ,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC2C,"ГЭР АХУЙН ЭД ЗҮЙЛ (АЯГА, ТАВАГ ГЭХ МЭТ), ЭСВЭЛ ГАДНАХ ОРЧНЫ ЗҮЙЛ (МОД, ЧУЛУУ ГЭХ МЭТ)",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC3A,1 ЦАГААС ИЛҮҮ ХУГАЦААГААР ГАНЦААРАНГ НЬ,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC3B,1 ЦАГААС ИЛҮҮ ХУГАЦААГААР 10 ХҮРТЭЛХ НАСНЫ ХҮҮХДЭЭР ХАРУУЛЖ,demographics_geo_weights
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC5,"(Нэр) ЦЭЦЭРЛЭГ, ЭСВЭЛ ХУВИЛБАРТ СУРГАЛТАД ХАМРАГДАЖ БАЙГАА ЮУ?",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7AA,"НОМ УНШИЖ ӨГЧ, ЗУРАГТАЙ НОМ ХАМТ ҮЗСЭН ҮҮ? Эх",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7AB,"НОМ УНШИЖ ӨГЧ, ЗУРАГТАЙ НОМ ХАМТ ҮЗСЭН ҮҮ? Эцэг",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7AX,"НОМ УНШИЖ ӨГЧ, ЗУРАГТАЙ НОМ ХАМТ ҮЗСЭН ҮҮ? Бусад",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7AY,"НОМ УНШИЖ ӨГЧ, ЗУРАГТАЙ НОМ ХАМТ ҮЗСЭН ҮҮ? Хэн ч цаг гаргаагүй",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7BA,"ҮЛГЭР, ТҮҮХ, ДОМОГ ЯРЬЖ ӨГСӨН ҮҮ? Эх",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7BB,"ҮЛГЭР, ТҮҮХ, ДОМОГ ЯРЬЖ ӨГСӨН ҮҮ? Эцэг",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7BX,"ҮЛГЭР, ТҮҮХ, ДОМОГ ЯРЬЖ ӨГСӨН ҮҮ? Бусад",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7BY,"ҮЛГЭР, ТҮҮХ, ДОМОГ ЯРЬЖ ӨГСӨН ҮҮ? Хэн ч цаг гаргаагүй",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7CA,"ХАМТ ДУУ ДУУЛЖ, (нэр)-ИЙГ БҮҮВЭЙЛСЭН ҮҮ? Эх",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7CB,"ХАМТ ДУУ ДУУЛЖ, (нэр)-ИЙГ БҮҮВЭЙЛСЭН ҮҮ? Эцэг",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7CX,"ХАМТ ДУУ ДУУЛЖ, (нэр)-ИЙГ БҮҮВЭЙЛСЭН ҮҮ? Бусад",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7CY,"ХАМТ ДУУ ДУУЛЖ, (нэр)-ИЙГ БҮҮВЭЙЛСЭН ҮҮ? Хэн ч цаг гаргаагүй",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7DA,"САЛХИНД АВЧ ГАРЧ, ХАМТДАА ЗУГААЛСАН УУ? Эх",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7DB,"САЛХИНД АВЧ ГАРЧ, ХАМТДАА ЗУГААЛСАН УУ? Эцэг",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7DX,"САЛХИНД АВЧ ГАРЧ, ХАМТДАА ЗУГААЛСАН УУ? Бусад",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7DY,"САЛХИНД АВЧ ГАРЧ, ХАМТДАА ЗУГААЛСАН УУ? Хэн ч цаг гаргаагүй",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7EA,ХАМТ ТОГЛОСОН УУ? Эх,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7EB,ХАМТ ТОГЛОСОН УУ? Эцэг,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7EX,ХАМТ ТОГЛОСОН УУ? Бусад,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7EY,ХАМТ ТОГЛОСОН УУ? Хэн ч цаг гаргаагүй,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7FA,"ХАМТ ЭД ЮМС НЭРЛЭЖ, ТОО ТООЛЖ, ЗУРАГ ЗУРСАН УУ? Эх",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7FB,"ХАМТ ЭД ЮМС НЭРЛЭЖ, ТОО ТООЛЖ, ЗУРАГ ЗУРСАН УУ? Эцэг",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7FX,"ХАМТ ЭД ЮМС НЭРЛЭЖ, ТОО ТООЛЖ, ЗУРАГ ЗУРСАН УУ? Бусад",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7FY,"ХАМТ ЭД ЮМС НЭРЛЭЖ, ТОО ТООЛЖ, ЗУРАГ ЗУРСАН УУ? Хэн ч цаг гаргаагүй",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7N,(Нэр) ӨНГИЙГ ТАНЬЖ ЯЛГАЖ ЧАДДАГ УУ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7M,"(Нэр) ГУРВАЛЖИН, ДӨРВӨЛЖИН, ДУГУЙ ГЭХ МЭТ ЭНГИЙН ДҮРСИЙГ ТАНЬЖ ЯЛГАДАГ УУ?",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC8,(Нэр) ЦАГААН ТОЛГОЙН 10 ҮСЭГ (ДООД ТАЛ НЬ) НЭРЛЭЖ МЭДДЭГ ҮҮ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC9,(Нэр) ЭНГИЙН 4 ҮГ (ДООД ТАЛ НЬ) УНШИЖ ЧАДДАГ УУ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC9A,(Нэр) ТОО ТООЛЖ ЧАДДАГ УУ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC10,(Нэр) 10 ХҮРТЭЛХ ТООГ ТАНЬЖ НЭРЛЭДЭГ ҮҮ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC11,"(Нэр) ЯМАР НЭГ ЭД ЗҮЙЛ БОЛОН МОД, ЧУЛУУГ ХОЁР ХУРУУГААРАА ЧИМХЭЖ АВЧ ЧАДДАГ УУ?",other
