birth_aimag,N,n_unique_student_teacher_ratio_avg_17_18,mean_student_teacher_ratio_avg_17_18,min_student_teacher_ratio_avg_17_18,max_student_teacher_ratio_avg_17_18
11,813,17,21.823550140953902,19.576272791230142,27.055429275776966
21,138,17,19.697995433084387,17.316872272435916,26.19265965303557
22,80,15,21.551865556999527,19.01993355481728,27.124418791085457
23,78,17,20.09351883638516,17.69292412617221,25.17747059939302
41,112,17,23.183488726128868,18.5646074001787,26.439452439452438
42,15,8,8.795745248584563,3.785821276315573,23.71578552680915
43,85,17,29.908093287431804,20.408107672258616,38.51660939289805
44,95,17,51.25940130981767,21.401835416689693,70.05744600703164
45,116,17,20.519158779257992,17.98855912837071,25.270891367885397
46,62,15,20.617664143276542,18.68253902967842,25.66425120772947
48,65,16,14.22126578152113,7.506174670001444,27.032177998404396
61,88,17,16.94754870061969,12.14290593978759,25.558935090569864
62,161,17,23.488714062794568,21.075794430411328,28.016129763722393
63,71,16,19.1540736458023,16.416426710544357,24.95433484807984
64,157,17,21.292387586466575,17.85286364725617,26.855297934148577
65,150,17,21.082789965771003,17.337616882611826,26.578366445916117
67,128,17,23.37034395619903,20.797932412475024,25.473211756109926
81,143,17,18.606190570672815,16.224682065659028,23.84041184041184
82,125,17,19.518161111075074,16.214277405095196,27.743079861087516
83,238,17,18.15321573342782,15.217660339864178,24.29626523147177
84,154,17,20.885194724102725,17.81186876802998,27.13174445547832
85,114,17,20.30334003747861,16.788675177473976,26.682849045519397
