b,gamma_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
1,25.330265385840498,0.07737674231997095,0.10625703930545467,0.028880296985483722,2524,2251,273,FALSE,FALSE,
2,19.53062264661216,0.08083467526574889,0.11121888257185863,0.030384207306109745,3968,1067,2901,FALSE,FALSE,
3,24.750235106801995,0.09547983296905203,0.12123293117333223,0.025753098204280192,3347,2838,509,FALSE,FALSE,
4,19.557047327769425,0.08463759362093326,0.10261623002872025,0.01797863640778699,3149,1257,1892,FALSE,FALSE,
5,25.392553622015377,0.06968140824046058,0.11311904178730396,0.04343763354684338,2476,2085,391,FALSE,FALSE,
6,25.401342038447588,0.09049592355057341,0.11763257475010452,0.02713665119953111,3550,3113,437,FALSE,FALSE,
7,19.53062264661216,0.08199501906415896,0.11683156403326037,0.03483654496910141,3961,951,3010,FALSE,FALSE,
8,25.527311130759408,0.09736018817892306,0.15003239478438982,0.05267220660546676,2627,2179,448,FALSE,FALSE,
9,19.53062264661216,0.08230622782191084,0.10922219158380359,0.026915963761892744,4164,1083,3081,FALSE,FALSE,
10,25.392553622015377,0.09956386655109928,0.130077264351379,0.03051339780027973,3208,2765,443,FALSE,FALSE,
11,20.56359156990926,0.08657934359764446,0.1068438698943242,0.02026452629667974,2137,1258,879,FALSE,FALSE,
12,19.53062264661216,0.05893604140257244,0.1134572291657047,0.054521187763132264,3161,1166,1995,FALSE,FALSE,
13,20.408107672258616,0.06758843107152036,0.07840384634415534,0.010815415272634979,2414,1216,1198,FALSE,FALSE,
14,25.341764036681102,0.09447144888260214,0.11805469894211072,0.02358325005950858,2496,2079,417,FALSE,FALSE,
15,18.840589127138834,0.0741843109802682,0.10194126012231101,0.02775694914204281,2926,810,2116,FALSE,FALSE,
16,25.35989602452551,0.09784630595743335,0.14673215615942353,0.04888585020199018,2500,2107,393,FALSE,FALSE,
17,25.362207922029242,0.08456911995262614,0.1178179350724494,0.03324881511982326,2518,2225,293,FALSE,FALSE,
18,25.362207922029242,0.08341357643210792,0.13244454299572156,0.04903096656361364,2352,2073,279,FALSE,FALSE,
19,18.52287788355755,0.0856056714334511,0.10956336815371605,0.023957696720264945,3389,863,2526,FALSE,FALSE,
20,19.557047327769425,0.10922124057011844,0.12612312828278677,0.01690188771266833,3329,1454,1875,FALSE,FALSE,
21,19.53062264661216,0.07424598315894232,0.10696433529082348,0.032718352131881165,4192,1358,2834,FALSE,FALSE,
22,19.40162620247366,0.07384163146404572,0.09145492995650942,0.017613298492463694,3437,1144,2293,FALSE,FALSE,
23,19.300045599635204,0.05982742803823249,0.11517320515198545,0.055345777113752964,2935,789,2146,FALSE,FALSE,
24,19.53062264661216,0.08202963243581629,0.10195939570280388,0.019929763266987588,3250,1132,2118,FALSE,FALSE,
25,19.74301952063257,0.09080375010289786,0.09973820674573709,0.008934456642839234,3426,1368,2058,FALSE,FALSE,
26,25.205639493141994,0.11086893716897572,0.12248408255842202,0.011615145389446302,2966,2539,427,FALSE,FALSE,
27,17.59078906829935,0.09097258910391187,0.11369587731600844,0.02272328821209657,3130,474,2656,FALSE,FALSE,
28,19.300045599635204,0.08218774785110092,0.11367039729680557,0.031482649445704655,4412,847,3565,FALSE,FALSE,
29,19.53062264661216,0.07695220226157858,0.1164504578003091,0.03949825553873053,3939,1034,2905,FALSE,FALSE,
30,25.401342038447588,0.09084947219769082,0.13325252373300378,0.04240305153531296,2533,2056,477,FALSE,FALSE,
31,18.5646074001787,0.07143509641101976,0.11272812943661616,0.04129303302559639,5196,623,4573,FALSE,FALSE,
32,25.392553622015377,0.11018153775347006,0.15127688095498712,0.04109534320151706,2445,2152,293,FALSE,FALSE,
33,19.289577326775586,0.08983266951940294,0.1202870776962399,0.030454408176836964,3000,725,2275,FALSE,FALSE,
34,25.362207922029242,0.09423709300892776,0.12293188692141162,0.028694793912483862,3291,2956,335,FALSE,FALSE,
35,19.557047327769425,0.09423036686950244,0.1109845728604972,0.016754205990994767,3141,896,2245,FALSE,FALSE,
36,19.557047327769425,0.08206424134608241,0.11043042964314204,0.028366188297059627,3781,876,2905,FALSE,FALSE,
37,19.53062264661216,0.08924840547001064,0.11060424907847068,0.02135584360846003,2942,812,2130,FALSE,FALSE,
38,25.362207922029242,0.0784846313347993,0.12094950886609512,0.042464877531295825,2539,2221,318,FALSE,FALSE,
39,20.56359156990926,0.05585437606026613,0.08000465704662572,0.024150280986359594,2364,1355,1009,FALSE,FALSE,
40,18.5646074001787,0.08724357071862134,0.10559373104725114,0.018350160328629808,3639,530,3109,FALSE,FALSE,
41,19.557047327769425,0.09138065591417889,0.12178059408346392,0.030399938169285032,4002,951,3051,FALSE,FALSE,
42,19.53062264661216,0.09395660320311616,0.11212612061194803,0.018169517408831867,3110,982,2128,FALSE,FALSE,
43,19.53062264661216,0.07274327288042211,0.10790936409438481,0.035166091213962705,4243,1432,2811,FALSE,FALSE,
44,19.300045599635204,0.08178773073066009,0.10373092950932969,0.021943198778669598,2551,914,1637,FALSE,FALSE,
45,19.300045599635204,0.09272453541132668,0.11302956074796301,0.020305025336636334,3829,745,3084,FALSE,FALSE,
46,18.5646074001787,0.08394167393583803,0.11336211339268303,0.029420439456845,3877,718,3159,FALSE,FALSE,
47,18.482730502650128,0.0735566333013658,0.10374306422856122,0.030186430927195418,4071,1008,3063,FALSE,FALSE,
48,19.557047327769425,0.10917569471729274,0.12065354061041433,0.011477845893121591,3765,833,2932,FALSE,FALSE,
49,19.557047327769425,0.10527833036805566,0.11295137436638956,0.007673043998333906,3751,880,2871,FALSE,FALSE,
50,19.53062264661216,0.07186851550088506,0.11513339403835522,0.04326487853747016,3649,992,2657,FALSE,FALSE,
51,25.401342038447588,0.08937999803519991,0.11253148380439609,0.02315148576919618,2139,1918,221,FALSE,FALSE,
52,19.557047327769425,0.09135570487954937,0.10267931689721915,0.011323612017669779,2990,1145,1845,FALSE,FALSE,
53,19.53062264661216,0.08328885358555926,0.10586953167028976,0.022580678084730493,2860,815,2045,FALSE,FALSE,
54,24.924897627024734,0.06400319300650514,0.10273419584685099,0.03873100284034585,2432,1935,497,FALSE,FALSE,
55,19.300045599635204,0.07622459251883222,0.09566278129365326,0.019438188774821036,3095,979,2116,FALSE,FALSE,
56,25.362207922029242,0.10044402292676764,0.12301573004751502,0.02257170712074738,3303,2954,349,FALSE,FALSE,
57,24.38067476155451,0.11853536244718982,0.11627153827979755,-0.0022638241673922643,3745,2929,816,FALSE,FALSE,
58,19.290908096878248,0.079641693787798,0.1089718565388432,0.02933016275104519,3213,892,2321,FALSE,FALSE,
59,19.53062264661216,0.08862031303050924,0.1239854551002049,0.035365142069695654,3186,1198,1988,FALSE,FALSE,
60,25.401342038447588,0.10433213389601022,0.1253209233581568,0.020988789462146593,3237,2736,501,FALSE,FALSE,
61,18.482730502650128,0.07169740563754246,0.09578472709108185,0.024087321453539395,3463,1074,2389,FALSE,FALSE,
62,19.40162620247366,0.08057670494670556,0.11275860334301789,0.03218189839631233,2979,894,2085,FALSE,FALSE,
63,24.924897627024734,0.056014782040454764,0.11473078839341723,0.058716006352962466,2704,2314,390,FALSE,FALSE,
64,25.362207922029242,0.06215929998410311,0.08838722533465716,0.02622792535055405,2839,2401,438,FALSE,FALSE,
65,23.84041184041184,0.09217753508677205,0.12234957378536027,0.030172038698588213,2414,1728,686,FALSE,FALSE,
66,24.428783675825315,0.0891902998809393,0.08531663473677768,-0.0038736651441616116,1959,1587,372,FALSE,FALSE,
67,25.401342038447588,0.10477829743776229,0.1321090599322685,0.027330762494506222,2338,1886,452,FALSE,FALSE,
68,25.330265385840498,0.08337993260642158,0.12842641239506242,0.045046479788640834,2855,2492,363,FALSE,FALSE,
69,25.330265385840498,0.054022077829822546,0.09903640465715674,0.045014326827334195,2763,2366,397,FALSE,FALSE,
70,25.362207922029242,0.12194732698371652,0.13940229578953886,0.01745496880582234,2428,2161,267,FALSE,FALSE,
71,19.557047327769425,0.08033570814197322,0.11037109971985128,0.03003539157787806,3147,765,2382,FALSE,FALSE,
72,19.67723692726329,0.08961400267020612,0.10213893589617012,0.012524933225964,2009,928,1081,FALSE,FALSE,
73,19.557047327769425,0.09455574618000308,0.11260557449689382,0.01804982831689074,3785,801,2984,FALSE,FALSE,
74,25.297926756271426,0.08102808184611053,0.12116534401632517,0.04013726217021464,2774,2455,319,FALSE,FALSE,
75,24.93376015505794,0.08466117788750452,0.11540494544075813,0.030743767553253615,3305,2892,413,FALSE,FALSE,
76,19.53062264661216,0.07722259865768775,0.11273913647404947,0.035516537816361715,3309,1195,2114,FALSE,FALSE,
77,19.53062264661216,0.08519314338484298,0.13279076935896833,0.047597625974125354,3350,1060,2290,FALSE,FALSE,
78,19.01993355481728,0.07841622422656004,0.10093685754469632,0.02252063331813628,3044,836,2208,FALSE,FALSE,
79,19.290908096878248,0.07911631541127495,0.11127596822651237,0.032159652815237416,3721,845,2876,FALSE,FALSE,
80,19.53062264661216,0.1007459693648457,0.12847393175750585,0.02772796239266015,3035,850,2185,FALSE,FALSE,
81,24.924897627024734,0.07197133720293028,0.09436816637468523,0.02239682917175495,2490,2008,482,FALSE,FALSE,
82,25.777002422045697,0.12676053567558954,0.11224590321571107,-0.014514632459878468,3167,2838,329,FALSE,FALSE,
83,22.54399195575666,0.12137545277415644,0.11054874363185102,-0.010826709142305421,2406,1478,928,FALSE,FALSE,
