variable,importance,family
q_school_access,0.19231706521930195,Сургуулийн хүртээмж
student_teacher_ratio_avg_17_18,0.15233949209405195,Сурагч-багшийн харьцаа
age,0.15144429174697913,Хувийн шинж
female,0.14660045377081884,Хувийн шинж
age2,0.14477495887688085,Хувийн шинж
wave2021,0.06213902992126305,Судалгааны давалгаа
birth_cohort1980_1984,0.028388636370540486,Төрсөн үе
urban,0.024528612153258186,Хувийн шинж
wave2024,0.023833715349098044,Судалгааны давалгаа
birth_cohort1990_1994,0.018111315021577968,Төрсөн үе
birth_cohortpost1995,0.016683485439865284,Төрсөн үе
wave2022,0.01620602728176964,Судалгааны давалгаа
married,0.012867430884004993,Хувийн шинж
birth_cohort1985_1989,0.009765485870589658,Төрсөн үе
birth_aimag21,0,Төрсөн аймаг
birth_aimag22,0,Төрсөн аймаг
birth_aimag23,0,Төрсөн аймаг
birth_aimag41,0,Төрсөн аймаг
birth_aimag42,0,Төрсөн аймаг
birth_aimag43,0,Төрсөн аймаг
birth_aimag44,0,Төрсөн аймаг
birth_aimag45,0,Төрсөн аймаг
birth_aimag46,0,Төрсөн аймаг
birth_aimag48,0,Төрсөн аймаг
birth_aimag61,0,Төрсөн аймаг
birth_aimag62,0,Төрсөн аймаг
birth_aimag63,0,Төрсөн аймаг
birth_aimag64,0,Төрсөн аймаг
birth_aimag65,0,Төрсөн аймаг
birth_aimag67,0,Төрсөн аймаг
birth_aimag81,0,Төрсөн аймаг
birth_aimag82,0,Төрсөн аймаг
birth_aimag83,0,Төрсөн аймаг
birth_aimag84,0,Төрсөн аймаг
birth_aimag85,0,Төрсөн аймаг
birth_aimag100,0,Төрсөн аймаг
birth_aimag156,0,Төрсөн аймаг
birth_aimag203,0,Төрсөн аймаг
birth_aimag250,0,Төрсөн аймаг
birth_aimag276,0,Төрсөн аймаг
birth_aimag398,0,Төрсөн аймаг
birth_aimag616,0,Төрсөн аймаг
birth_aimag643,0,Төрсөн аймаг
birth_aimag756,0,Төрсөн аймаг
birth_aimag826,0,Төрсөн аймаг
birth_aimag998,0,Төрсөн аймаг
birth_cohort1975_1979,0,Төрсөн үе
birth_cohortpre1970,0,Төрсөн үе
