spec,family,N,iv,pi_hat,se_pi,t_pi,F_first,beta_iv,se_beta,sargan_p,verdict
06 mother_educ_level,Family,2949,mother_educ_level,0.5008,0.02588,19.34979,374.41445,0.11549,0.01251,NA,✅ STRONG (F≥10)
05 father_educ_level,Family,2041,father_educ_level,0.43595,0.03032,14.37706,206.69988,0.08118,0.00885,NA,✅ STRONG (F≥10)
07 parents_combined,Family,1802,father_educ_level + mother_educ_level,NA,NA,NA,43.30513,0.10026,0.01243,1,✅ STRONG (F≥10)
08 n_siblings,Family,3188,n_siblings,-0.25457,0.0554,-4.59533,21.11708,0.20319,0.03674,NA,✅ STRONG (F≥10)
11 birth_aimag_factor,Geography,21009,as.factor(birth_aimag),NA,NA,NA,8.15988,0.10016,0.04141,1,"🟡 MARGINAL (F∈[5,10))"
09 birth_order,Family,3188,birth_order,-0.27069,0.11058,-2.44794,5.99242,0.26003,0.11815,NA,"🟡 MARGINAL (F∈[5,10))"
01 reform_main,Cohort,19688,reform_main,0.17066,0.09406,1.8143,3.29167,0.32951,0.2411,NA,❌ WEAK (F<5)
12 distance + reform,Combo,19688,distance_to_ub + reform_main,NA,NA,NA,2.63526,0.18574,0.07808,1,❌ WEAK (F<5)
04 distance_to_ub,Geography,21009,distance_to_ub,-1.4e-4,9e-5,-1.5792,2.49388,0.18979,0.08423,NA,❌ WEAK (F<5)
03 reform_alt_1999,Cohort,20223,reform_alt_1999,0.21831,0.14578,1.49753,2.2426,0.22155,0.15032,NA,❌ WEAK (F<5)
02 reform_alt_1997,Cohort,19101,reform_alt_1997,0.01401,0.07252,0.19325,0.03735,3.64041,17.07769,NA,🚨 USELESS (F<1)
10 quarter_of_birth,Time,21009,as.factor(quarter_birth),NA,NA,NA,NA,NA,NA,NA,❌ FIT FAILED
