window,iv,iv_var,pi_hat,pi_p,F_first,beta_iv,se_beta,ar_ci_lo,ar_ci_hi,N,verdict
12-17 (MAIN),>=year-p75 loss count,cntp75_12_17,0.05915079167291758,0.3276854659458946,3.312406364629453,0.0610672237592188,0.025159294846644017,NA,NA,7145,❌ WEAK (F<5)
12-17 (MAIN),cumulative loss rate,cum_12_17,0.36832460378626253,0.4154531245102936,1.6085812039422156,-0.10527128426834076,0.21571221430372356,NA,NA,7145,❌ WEAK (F<5)
12-17 (MAIN),maximum loss rate,maxv_12_17,0.45692469435493144,0.2771282920840384,1.558058810354199,-0.18506138403158023,0.22927026048286206,NA,NA,7145,❌ WEAK (F<5)
12-17 (MAIN),>=10% loss count,cnt10_12_17,0.058150455139255854,0.43787299649940375,0.9325232613165488,0.11163496626953906,0.09077895433880456,NA,NA,7145,❌ WEAK (F<5)
12-17 (MAIN),>=5% loss count,cnt5_12_17,0.04509132426712436,0.5724088292581524,0.7576227971229978,0.045023288488425184,0.09341921314004459,NA,NA,7145,❌ WEAK (F<5)
15-17 (narrow),maximum loss rate,maxv_15_17,0.36039844351530914,0.2785801248551992,1.3768081936801289,-0.01866902733295328,0.10248925343625549,NA,NA,7145,❌ WEAK (F<5)
15-17 (narrow),cumulative loss rate,cum_15_17,0.21755965961141474,0.41458223498831176,0.7073284985222701,-0.0031555025117633306,0.15778194073854984,NA,NA,7145,❌ WEAK (F<5)
15-17 (narrow),>=5% loss count,cnt5_15_17,-0.030920893963320144,0.5618077013511893,0.3763952167791188,0.17183156342346084,0.18308900450127197,NA,NA,7145,❌ WEAK (F<5)
15-17 (narrow),>=10% loss count,cnt10_15_17,-0.025064812387972025,0.6381069458800528,0.17827888439418135,0.024354405333653517,0.3410181700539989,NA,NA,7145,❌ WEAK (F<5)
15-17 (narrow),>=year-p75 loss count,cntp75_15_17,-0.004213899374005237,0.9517453940623426,0.00966526984647686,-1.4091224732923706,20.994216839080924,NA,NA,7145,❌ WEAK (F<5)
6-17 (broad),>=10% loss count,cnt10_6_17,0.08543212758712117,0.2428287883715101,1.7390026282492586,0.1918058744290323,0.026286470990268596,NA,NA,7145,❌ WEAK (F<5)
6-17 (broad),>=5% loss count,cnt5_6_17,0.04977674075608318,0.40873559817889227,1.5826748622811782,-0.0022657524996785305,0.07526144126281138,NA,NA,7145,❌ WEAK (F<5)
6-17 (broad),cumulative loss rate,cum_6_17,0.3311123613531291,0.3192440410468737,1.3039708428425187,-0.08561727715040846,0.16881240847212972,NA,NA,7145,❌ WEAK (F<5)
6-17 (broad),maximum loss rate,maxv_6_17,0.8276681402037298,0.008278103175705787,1.0495265101098268,-0.04696987879023107,0.10220888379098152,NA,NA,7145,❌ WEAK (F<5)
6-17 (broad),>=year-p75 loss count,cntp75_6_17,0.014418799807533593,0.8149506982849329,0.2551412423954054,-0.051682515135341944,0.3567267251457105,NA,NA,7145,❌ WEAK (F<5)
