iv_name,iv_var,pi_hat,pi_p,F_first,beta_2sls,se_2sls,N,expected_sign,sign_ok,cor_q_school_access,verdict,notes
Grade at dropout,dropout_grade,0.9392963421715358,9.675824760645362e-22,2567.50138679577,0.021182224366200937,0.02014238453844701,406,positive,TRUE,0.05787575227295187,STRONG,HSES schooling | Post-treatment: not a valid IV
Health insured,health_insured,2.016599202998733,3.068242968439123e-18,439.6026355119405,0.14438002795232607,0.012418424165815307,18259,positive,TRUE,-0.011250862175357009,STRONG,HSES health | Current health insurance; endogenous
Mean parent education years,parent_educ_mean,0.3818881419117333,3.9115365478161385e-11,135.96357600169517,0.10523388037168027,0.015828926620943783,1221,positive,TRUE,-0.12603717822631325,STRONG,Family roster | Strong first stage possible but exclusion restriction caveat
Ever dropped out of general school,ever_dropout,-7.73136381655745,1.2346036779359415e-9,119.45060074867145,0.040742928945727126,0.013318488907374068,429,negative,TRUE,-0.06267897399447284,STRONG,HSES schooling | Post-treatment: not a valid IV
Migration reason: own education,migration_reason_education_self,1.245481586621432,2.4797899335130296e-11,117.36684199072752,0.0988434468901951,0.016349992736033662,18259,positive,TRUE,0.05323388075436153,STRONG,HSES migration | Directly education-related; invalid as excluded IV
Mother education years,mother_educ_years,0.3586219499805225,2.2583711428236776e-10,113.63610880177187,0.11996843096920425,0.0176395767137983,1129,positive,TRUE,-0.0988297943577096,STRONG,Family roster | Strong first stage possible but exclusion restriction caveat
Father education years,father_educ_years,0.3431307112007499,8.61019019476067e-10,98.74574332264062,0.07388738340553569,0.020105096132631627,729,positive,TRUE,-0.12755034515009145,STRONG,Family roster | Strong first stage possible but exclusion restriction caveat
Rural birth x cohort,rural_birth_x_birth_year_c,0.027348677673700975,2.900959045893712e-7,45.75763008768858,0.05312041449343696,0.022294742528160195,18259,unknown,NA,0.1974536215239078,STRONG,Cohort x geography | Interaction diagnostic; needs substantive shock story
UB birth x cohort,born_ub_x_birth_year_c,-0.027348677673700795,2.90095909148734e-7,45.7576300046169,0.05312041449347549,0.02229474253524392,18259,unknown,NA,-0.3741467168373813,STRONG,Cohort x geography | Interaction diagnostic; needs substantive shock story
Years since last migration,years_since_migration,-0.02216900753350928,1.2309357100052936e-6,39.31507053092922,0.15111530961508068,0.03062509136672058,14200,unknown,NA,0.10248475801652679,STRONG,HSES migration | Migration timing is likely endogenous
Severe cognitive difficulty,severe_cognitive_difficulty,-4.682408049114902,1.1361883928620025e-5,28.810549778446077,0.06429607822871808,0.04330022138578813,18259,negative,TRUE,-4.10393110162927e-4,STRONG,HSES disability | Current disability; direct wage channel
Any mild+ disability,any_mildplus_disability,-0.5708779986110456,7.480706133295971e-5,21.768237011752124,0.19467894119650708,0.032608261599235897,18259,negative,TRUE,-0.004415663751963763,STRONG,HSES disability | Current disability; direct wage channel
Any severe disability,any_severe_disability,-1.3067848078571604,3.2193139316097905e-4,16.97468824108749,0.1815893035089003,0.03662137524824369,18259,negative,TRUE,-1.2820200909627644e-4,STRONG,HSES disability | Current disability; direct wage channel
Migration reason: children school,migration_reason_children_school,-0.8166974081735193,7.386984782899787e-4,14.481806912367608,0.1636240995203465,0.04458747741558027,18259,unknown,NA,0.011717319776978846,STRONG,HSES migration | Household choice; exclusion risk
Migrated during age 6-17,migrated_school_age_6_17,-0.28850730618117454,0.0017355430651235508,12.08542492028317,0.15090368388391562,0.040982203469798306,17918,unknown,NA,0.04990413234666907,STRONG,HSES migration | Retrospective migration; exclusion risk
Severe language communication difficulty,severe_language_difficulty,-6.049698652656513,0.00289805712022118,10.725644078331745,0.08372648823761702,0.03282298162812692,18259,negative,TRUE,0.003791825717786914,STRONG,HSES language/disability | Not ethnicity; direct channels possible
Migrated before age 18,migrated_before_18,-0.30683911376976297,0.003960568089094541,9.925526719090021,0.13211709395287774,0.04432251569614648,17918,unknown,NA,0.05549173938228352,MARGINAL,HSES migration | Retrospective migration; exclusion risk
Current student: private school,current_school_private,-1.5111480248771259,0.009725594222374925,8.257759688167656,0.06726951602899975,0.09588400759390435,142,positive,FALSE,-0.0024065273184055713,WRONG_SIGN,HSES current school | Current student only; low adult wage coverage
Severe hearing difficulty,severe_hearing_difficulty,-2.045012751191028,0.009043014429457425,7.912025318740506,0.12494782930612669,0.04085951748329536,18259,negative,TRUE,-0.013584428480538435,MARGINAL,HSES disability | Current disability; direct wage channel
Current student: public school,current_school_public,1.2552590385983435,0.013361814636307527,7.440967204495622,0.09083180344208487,0.11304110570401657,142,unknown,NA,0.028180276631799457,MARGINAL,HSES current school | Current student only; low adult wage coverage
School-age migration x rural birth,migrated_school_age_x_rural_birth,-0.22297854010103646,0.01267122981934691,7.1313453886128855,0.13871426348405236,0.05576098726354816,17918,unknown,NA,0.11619274324165262,MARGINAL,Migration x geography | Endogenous migration interaction
Migration x cohort,ever_migrated_x_birth_year_c,0.01240223821530247,0.0657378876099767,3.6789184146330554,-0.05226317896165966,0.11026482929025094,18259,unknown,NA,-0.00936672061506158,WEAK,Cohort x migration | Endogenous migration interaction
Severe mobility difficulty,severe_mobility_difficulty,-1.001956545497678,0.08191879345717175,3.265258129751584,0.24124738785823197,0.1016953049720349,18259,negative,TRUE,0.00453510906279804,WEAK,HSES disability | Current disability; direct wage channel
Dropout reason: school too far,dropout_reason_distance,0.5258201341056142,0.10053989349494695,2.979708339078053,0.39090428756105655,0.2905872717973621,406,negative,FALSE,0.15322566050029696,WRONG_SIGN,HSES schooling | Post-treatment; mechanism only
Different aimag 5 years ago,lived_5y_ago_diff_aimag,-0.20223667489425576,0.1265648792390951,2.491340331351427,0.10035461239407173,0.1298280496094517,14541,unknown,NA,-0.023889945094890463,WEAK,HSES migration | Recent migration; not childhood for older cohorts
Dropout reason: parent,dropout_reason_parent,-0.28117015964330583,0.1313396600785669,2.4863855162186135,-0.1795283928690088,0.2501423090539342,406,negative,TRUE,-0.055251558681323205,WEAK,HSES schooling | Post-treatment: not a valid IV
At least 4 siblings,large_sibship_ge4,-0.8843086376479311,0.12915432244951852,2.4773336916952395,0.007658732474863594,0.13505874762006195,1221,negative,TRUE,0.038202230253993205,WEAK,Family roster | Family size exclusion caveat
Severe vision difficulty,severe_vision_difficulty,-0.7586433724766936,0.19460909516380645,1.7691927751090046,0.21111244248367633,0.1358171515044181,18259,negative,TRUE,0.009603438340954668,WEAK,HSES disability | Current disability; direct wage channel
Dropout reason: health/disability,dropout_reason_health,0.5173451189209907,0.21400600465554848,1.6529612037100645,-0.17702599727600732,0.2168755692222467,406,negative,FALSE,0.0760059121124639,WRONG_SIGN,HSES schooling | Post-treatment and direct health channel
Number of siblings,n_siblings,-0.14637665242340192,0.3582135223499895,0.8790138249598628,0.1423503520650935,0.10487256394268794,1221,negative,TRUE,0.07900749466214346,WEAK,Family roster | Family size exclusion caveat
Current household herder/livestock,herder_household_current,0.10393079330699231,0.36186861287233885,0.8603142635039259,-0.692211651653766,0.808220008741981,18259,negative,FALSE,0.08240679161243679,WRONG_SIGN,HSES household | Current household status is endogenous
Ever migrated,ever_migrated,-0.04051460924572804,0.5682495533662664,0.3337443813453919,-0.24435373556110918,0.47929372086132865,18259,unknown,NA,-0.02622638417679082,WEAK,HSES migration | Migration is likely endogenous; diagnostic only
Dropout reason: work,dropout_reason_work,0.08839096452965373,0.6841533514198195,0.17065707926557463,1.1203043488314854,2.99335800327123,406,negative,FALSE,-0.0595929941099844,WRONG_SIGN,HSES schooling | Post-treatment: not a valid IV
Current student: school in soum center,current_school_soum_center,-0.5440136020421439,0.7587322873130952,0.0970991683356813,-0.64395748783891,2.372867777974273,142,unknown,NA,0.12547555429976628,WEAK,HSES current school | Current student only
Firstborn,firstborn,0.10682232881833403,0.7756515732163463,0.08315327535142428,0.42017633117566106,1.3311610240733958,1221,positive,TRUE,-0.025249729393658635,WEAK,Family roster | Family composition exclusion caveat
Dropout reason: finance,dropout_reason_finance,0.16020071888240442,0.7843886076714148,0.07700954829285318,0.6942244898355483,2.6436484854604174,406,negative,FALSE,0.15154126975514892,WRONG_SIGN,HSES schooling | Post-treatment: not a valid IV
Herder household x cohort,herder_current_x_birth_year_c,0.0013218817195765013,0.8115767320821214,0.057954855398419304,-0.13887241413567608,1.4567249982418113,18259,negative,FALSE,0.0569668849159485,WRONG_SIGN,Cohort x household | Current status and cohort interaction; exclusion risk
Current student: dormitory,dormitory_current_student,0.2548845885616891,0.8693376552010802,0.027801660678422244,-0.24966352850890716,1.8762312719910264,142,positive,TRUE,-0.10986161416173564,WEAK,HSES current school | Current student only; not adult childhood exposure
Birth order,birth_order,0.03299575312316217,0.9125371980523704,0.012332921513593036,-1.017037865940556,9.734308218988023,1221,negative,FALSE,0.030647198487750518,WRONG_SIGN,Family roster | Family composition exclusion caveat
Dropout reason: migration,dropout_reason_migration,0.038043936757705954,0.9406815925738664,0.00568575812684083,6.992464009525065,94.60629397581387,406,negative,FALSE,-0.11590973987017583,WRONG_SIGN,HSES schooling | Post-treatment; mechanism only
Current student: walks to school,school_transport_walk,0.04842897722801706,0.9644895945041623,0.0020350014862571472,-5.390365904812712,120.04573801884777,142,unknown,NA,0.024009634571941052,WEAK,HSES current school | Current student only
5-year migration x cohort,diff_5y_aimag_x_birth_year_c,-3.0638143222434214e-4,0.9863962958104885,2.963661172056095e-4,0.7729578041871719,40.69064545896271,14541,unknown,NA,0.0089766393671477,WEAK,"Migration x cohort | Recent migration, not childhood for older cohorts"
Processed birth aimag matches raw birthplace,birth_aimag_matches_raw,NA,NA,NA,NA,NA,18264,unknown,NA,NA,COLLINEAR_USELESS,"insufficient usable variation: N=18264, unique=1; Data-quality diagnostic only"
Birth soum observed,birth_soum_available,NA,NA,NA,NA,NA,18259,unknown,NA,NA,COLLINEAR_USELESS,"absorbed by fixed effects or collinear | Availability indicator, not substantive shock"
Born abroad,born_foreign,NA,NA,NA,NA,NA,18259,unknown,NA,NA,COLLINEAR_USELESS,absorbed by fixed effects or collinear | Small cell likely
Migration reason: natural disaster,migration_reason_natural_disaster,NA,NA,NA,NA,NA,3136,negative,NA,NA,COLLINEAR_USELESS,"insufficient usable variation: N=3136, unique=1; 2024-only and migration selection"
Never school: school too far,never_school_reason_distance,NA,NA,NA,NA,NA,66,negative,NA,NA,COLLINEAR_USELESS,"insufficient usable variation: N=66, unique=2; Post-treatment/education outcome reason"
Never school: dorm shortage,never_school_reason_dorm_shortage,NA,NA,NA,NA,NA,66,negative,NA,NA,COLLINEAR_USELESS,"insufficient usable variation: N=66, unique=1; Post-treatment/education outcome reason"
Never school: finance,never_school_reason_finance,NA,NA,NA,NA,NA,66,negative,NA,NA,COLLINEAR_USELESS,"insufficient usable variation: N=66, unique=2; Post-treatment/education outcome reason"
Current student: transport=dorm,school_transport_boarding,NA,NA,NA,NA,NA,143,positive,NA,NA,COLLINEAR_USELESS,"insufficient usable variation: N=143, unique=1; Current student only"
