iv_name,iv_var,fe_design,pi_hat,pi_p,F_first,N,expected_sign,sign_ok,verdict,notes
mean student teacher ratio age 7-15,mean_student_teacher_ratio_age7_15,birth_aimag + birth_cohort + wave,0.08129640425776566,0.017373951331321535,6.6685405189176326,2095,negative,FALSE,WRONG_SIGN,requires complete age 7-15 panel vcov: cluster_birth_aimag vcov: cluster_birth_aimag
mean student teacher ratio age 7-15,mean_student_teacher_ratio_age7_15,birth_aimag + birth_year + wave,0.07898820493810256,0.017713797333011577,6.622801531530709,2095,negative,FALSE,WRONG_SIGN,requires complete age 7-15 panel vcov: cluster_birth_aimag vcov: cluster_birth_aimag
mean student teacher ratio age 7-15,mean_student_teacher_ratio_age7_15,birth_aimag + wave,0.08325669609415873,0.015367871673736955,6.960643285231601,2095,negative,FALSE,WRONG_SIGN,requires complete age 7-15 panel vcov: cluster_birth_aimag vcov: cluster_birth_aimag
mean student teacher ratio age 7-15,mean_student_teacher_ratio_age7_15,region + wave,0.058466552118200406,0.04171795754880073,4.704168791498369,2095,negative,FALSE,WRONG_SIGN,requires complete age 7-15 panel vcov: cluster_birth_aimag vcov: cluster_birth_aimag
mean teachers per student age 7-15,mean_teachers_per_student_age7_15,birth_aimag + birth_cohort + wave,-15.789874269421668,0.17958409869084374,1.9275078682167246,2095,positive,FALSE,WRONG_SIGN,requires complete age 7-15 panel vcov: cluster_birth_aimag vcov: cluster_birth_aimag
mean teachers per student age 7-15,mean_teachers_per_student_age7_15,birth_aimag + birth_year + wave,-14.88313345728775,0.21348089513179785,1.64602138471892,2095,positive,FALSE,WRONG_SIGN,requires complete age 7-15 panel vcov: cluster_birth_aimag vcov: cluster_birth_aimag
mean teachers per student age 7-15,mean_teachers_per_student_age7_15,birth_aimag + wave,-16.485795154700387,0.17451726093795042,1.9752186772661964,2095,positive,FALSE,WRONG_SIGN,requires complete age 7-15 panel vcov: cluster_birth_aimag vcov: cluster_birth_aimag
mean teachers per student age 7-15,mean_teachers_per_student_age7_15,region + wave,-25.645953812263674,0.0102675196003271,7.950234276517742,2095,positive,FALSE,WRONG_SIGN,requires complete age 7-15 panel vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school closure rate at age 12,school_closure_rate_at_12,birth_aimag + birth_cohort + wave,-0.7391468285614929,0.1782875197447482,1.9395582126624926,4910,negative,TRUE,WEAK,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school closure rate at age 12,school_closure_rate_at_12,birth_aimag + birth_year + wave,-0.5965552590413034,0.31134338686387314,1.0762192829387667,4910,negative,TRUE,WEAK,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school closure rate at age 12,school_closure_rate_at_12,birth_aimag + wave,-0.5961725391353385,0.2959425703650047,1.1489060280987302,4910,negative,TRUE,WEAK,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school closure rate at age 12,school_closure_rate_at_12,region + wave,-1.701317437218944,0.05065659704911232,4.29782223273406,4910,negative,TRUE,WEAK,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school closure rate at age 15,school_closure_rate_at_15,birth_aimag + birth_cohort + wave,1.0878865919826015,0.08955261446769576,3.1683847768828817,7145,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school closure rate at age 15,school_closure_rate_at_15,birth_aimag + birth_year + wave,0.7085460790492459,0.33718176346305306,0.9647205327355356,7145,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school closure rate at age 15,school_closure_rate_at_15,birth_aimag + wave,1.0943088281040676,0.08028985698509863,3.3773328259605244,7145,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school closure rate at age 15,school_closure_rate_at_15,region + wave,-0.4112604329008369,0.6934631105777324,0.159705726280539,7145,negative,TRUE,WEAK,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school growth rate at age 12,school_growth_rate_at_12,birth_aimag + birth_cohort + wave,0.7391468285614929,0.1782875197447482,1.9395582126624926,4910,positive,TRUE,WEAK,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school growth rate at age 12,school_growth_rate_at_12,birth_aimag + birth_year + wave,0.5965552590413034,0.31134338686387314,1.0762192829387667,4910,positive,TRUE,WEAK,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school growth rate at age 12,school_growth_rate_at_12,birth_aimag + wave,0.5961725391353385,0.2959425703650047,1.1489060280987302,4910,positive,TRUE,WEAK,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school growth rate at age 12,school_growth_rate_at_12,region + wave,1.701317437218944,0.05065659704911232,4.29782223273406,4910,positive,TRUE,WEAK,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school growth rate at age 15,school_growth_rate_at_15,birth_aimag + birth_cohort + wave,-1.0878865919826015,0.08955261446769576,3.1683847768828817,7145,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school growth rate at age 15,school_growth_rate_at_15,birth_aimag + birth_year + wave,-0.7085460790492459,0.33718176346305306,0.9647205327355356,7145,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school growth rate at age 15,school_growth_rate_at_15,birth_aimag + wave,-1.0943088281040676,0.08028985698509863,3.3773328259605244,7145,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
school growth rate at age 15,school_growth_rate_at_15,region + wave,0.4112604329008369,0.6934631105777324,0.159705726280539,7145,positive,TRUE,WEAK,vcov: cluster_birth_aimag vcov: cluster_birth_aimag
