iv_name,iv_var,pi_hat,pi_p,F_first,beta_2sls,se_2sls,N,expected_sign,sign_ok,verdict,notes
student teacher ratio at age 12,student_teacher_ratio_at_12,0.047559731501443464,0.0039947563209224626,10.446165874689122,0.031462353889339045,0.10659253166724104,5641,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
mean student teacher ratio age 7-15,mean_student_teacher_ratio_age7_15,0.08129640425776566,0.017373951331321535,6.6685405189176326,0.2543282711889336,0.18781397966885893,2095,negative,FALSE,WRONG_SIGN,requires complete age 7-15 panel vcov: cluster_birth_aimag
teachers per student at age 12,teachers_per_student_at_12,-18.624936809843643,0.029510434361686346,5.455061266641614,-0.06656204234952323,0.09956598272280437,5641,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
student teacher ratio at age 15,student_teacher_ratio_at_15,0.023768056727284024,0.0377912511648641,4.915168311561801,0.21627863056343233,0.09462716169233593,7862,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
school closure rate at age 15,school_closure_rate_at_15,1.0878865919826015,0.08955261446769576,3.1683847768828817,0.06163036079058193,0.10407761575189646,7145,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
school growth rate at age 15,school_growth_rate_at_15,-1.0878865919826015,0.08955261446769576,3.1683847768828817,0.06163036079058193,0.10407761575189646,7145,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
student teacher ratio at age 17,student_teacher_ratio_at_17,0.013811369579730313,0.17638068161000686,1.9574770111659885,0.04205068672730672,0.07429569769569158,9077,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
school closure rate at age 12,school_closure_rate_at_12,-0.7391468285614929,0.1782875197447482,1.9395582126624926,0.2433992718351381,0.1891361723183731,4910,negative,TRUE,WEAK,vcov: cluster_birth_aimag
school growth rate at age 12,school_growth_rate_at_12,0.7391468285614929,0.1782875197447482,1.9395582126624926,0.2433992718351381,0.1891361723183731,4910,positive,TRUE,WEAK,vcov: cluster_birth_aimag
mean teachers per student age 7-15,mean_teachers_per_student_age7_15,-15.789874269421668,0.17958409869084374,1.9275078682167246,0.11115679480386498,0.2032349296849848,2095,positive,FALSE,WRONG_SIGN,requires complete age 7-15 panel vcov: cluster_birth_aimag
students per school at age 15,students_per_school_at_15,7.3750827243288e-4,0.18422838073768658,1.8852059675232313,0.16022083431330092,0.06962459085748403,7862,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
teachers per student at age 17,teachers_per_student_at_17,-4.8567887089413855,0.1946338788067454,1.7950271428360722,0.020257316759563437,0.1390245879845501,9077,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
cumulative school closure age 7-15,cumulative_school_closure_age7_15,-0.9345243433148278,0.22372298920536998,1.5718061662272245,0.3713571153258689,0.32557847029635684,1577,negative,TRUE,WEAK,requires complete age 7-15 panel vcov: cluster_birth_aimag
cumulative school growth age 7-15,cumulative_school_growth_age7_15,0.9345243433148278,0.22372298920536998,1.5718061662272245,0.3713571153258689,0.32557847029635684,1577,positive,TRUE,WEAK,requires complete age 7-15 panel vcov: cluster_birth_aimag
teachers per student at age 15,teachers_per_student_at_15,-5.058695943191495,0.26017258172113833,1.3391801304060502,0.15402155526502082,0.17220374927402363,7862,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
students per school at age 17,students_per_school_at_17,7.387042226090589e-4,0.28042441288663494,1.2274905403447607,0.053044945218537976,0.10201890629148591,9077,negative,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
school closure rate at age 17,school_closure_rate_at_17,-0.5854274378727463,0.491044007010073,0.4912964027884662,0.0017057939728708504,0.1965747158718796,8499,negative,TRUE,WEAK,vcov: cluster_birth_aimag
school growth rate at age 17,school_growth_rate_at_17,0.5854274378727463,0.491044007010073,0.4912964027884662,0.0017057939728708504,0.1965747158718796,8499,positive,TRUE,WEAK,vcov: cluster_birth_aimag
mean school density per 1000 students age 7-15,mean_school_density_student_age7_15,1.362421037172968,0.5093278183013653,0.45068484191381897,0.1692196266269086,0.29285448818549503,2095,positive,TRUE,WEAK,requires complete age 7-15 panel vcov: cluster_birth_aimag
mean students per school age 7-15,mean_students_per_school_age7_15,0.0010314494306223193,0.6401441017952455,0.22500992854119253,-0.860548211037214,2.259037327672101,2095,negative,FALSE,WRONG_SIGN,requires complete age 7-15 panel vcov: cluster_birth_aimag
students per school at age 12,students_per_school_at_12,-1.571730926703809e-4,0.6621263236575583,0.19645978118382612,1.7718078838992213,4.006178232448176,5641,negative,TRUE,WEAK,vcov: cluster_birth_aimag
school density per 1000 students at age 12,school_density_student_at_12,0.12772338936613734,0.6808658173327696,0.1739405602476691,0.8148321782566974,1.8925754037621851,5641,positive,TRUE,WEAK,vcov: cluster_birth_aimag
school density per 1000 students at age 17,school_density_student_at_17,-0.1397800703017335,0.7151457046230809,0.13684163871480032,0.024176739743989373,0.3402303411547959,9077,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
school density per 1000 students at age 15,school_density_student_at_15,-0.10243041634817489,0.734466879427484,0.11815048290277154,0.26644343745461185,0.4863385045651212,7862,positive,FALSE,WRONG_SIGN,vcov: cluster_birth_aimag
