iv_var,iv_name,expected_sign,source,exclusion_warning,n_nonmissing,n_unique,mean_value,hidden_gem
ever_migrated,Ever migrated,unknown,HSES migration,Migration is likely endogenous; diagnostic only,43070,2,0.3860227536568377,FALSE
years_since_migration,Years since last migration,unknown,HSES migration,Migration timing is likely endogenous,16260,59,14.554612546125462,FALSE
migrated_before_18,Migrated before age 18,unknown,HSES migration,Retrospective migration; exclusion risk,42704,2,0.08502716373173473,FALSE
migrated_school_age_6_17,Migrated during age 6-17,unknown,HSES migration,Retrospective migration; exclusion risk,42704,2,0.05599007118771075,TRUE
migration_reason_education_self,Migration reason: own education,positive,HSES migration,Directly education-related; invalid as excluded IV,43070,2,0.02147666589273276,FALSE
migration_reason_children_school,Migration reason: children school,unknown,HSES migration,Household choice; exclusion risk,43070,2,0.006059902484327838,FALSE
migration_reason_natural_disaster,Migration reason: natural disaster,negative,HSES migration 2024 only,2024-only and migration selection,3475,1,0,TRUE
lived_5y_ago_diff_aimag,Different aimag 5 years ago,unknown,HSES migration,Recent migration; not childhood for older cohorts,16626,2,0.06351497654276435,FALSE
born_foreign,Born abroad,unknown,HSES birthplace,Small cell likely,19041,2,0.002783467254871068,FALSE
birth_aimag_matches_raw,Processed birth aimag matches raw birthplace,unknown,HSES validation,Data-quality diagnostic only,19041,1,1,FALSE
birth_soum_available,Birth soum observed,unknown,HSES birthplace,"Availability indicator, not substantive shock",43070,2,0.44086371023914556,TRUE
rural_birth_x_birth_year_c,Rural birth x cohort,unknown,Cohort x geography,Interaction diagnostic; needs substantive shock story,19041,43,-2.427393519247939,FALSE
born_ub_x_birth_year_c,UB birth x cohort,unknown,Cohort x geography,Interaction diagnostic; needs substantive shock story,19041,43,-0.3316002310803004,FALSE
herder_household_current,Current household herder/livestock,negative,HSES household,Current household status is endogenous,43070,2,0.2195960065010448,FALSE
herder_current_x_birth_year_c,Herder household x cohort,negative,Cohort x household,Current status and cohort interaction; exclusion risk,43070,43,-0.4256094729510099,FALSE
ever_migrated_x_birth_year_c,Migration x cohort,unknown,Cohort x migration,Endogenous migration interaction,43070,43,-1.0786162061759925,FALSE
migrated_school_age_x_rural_birth,School-age migration x rural birth,unknown,Migration x geography,Endogenous migration interaction,18680,2,0.10802997858672377,FALSE
