b,gamma_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
1,1.0380060250036154,0.12070954725817962,0.07207162312845955,-0.04863792412972007,3713,1465,2248,FALSE,FALSE,
2,1.503995577222697,0.1185037264307875,0.0983165305150338,-0.0201871959157537,3151,1981,1170,FALSE,FALSE,
3,1.0380060250036154,0.12041550966128803,0.09969448936368061,-0.020721020297607418,5136,2721,2415,FALSE,FALSE,
4,1.0380060250036154,0.12082849665012244,0.08367757516160126,-0.03715092148852117,3059,672,2387,TRUE,FALSE,S_cluster unavailable; used robust S
5,1.032312925170068,0.11952793310754989,0.08785467207061501,-0.03167326103693488,4164,1230,2934,FALSE,FALSE,
6,1.0380060250036154,0.11863062901793413,0.09418938268442115,-0.02444124633351298,4182,1498,2684,FALSE,FALSE,
7,1.0380060250036154,0.123657689152846,0.09261558095847833,-0.031042108194367674,2993,881,2112,FALSE,FALSE,
8,1.8392880171046944,0.0808675642782258,0.06414889954084253,-0.016718664737383274,2361,1890,471,FALSE,FALSE,
9,1.8184885514610207,0.10600027145214347,0.055780974913403114,-0.050219296538740354,3360,2959,401,FALSE,FALSE,
10,1.1372159625595029,0.12054894562310453,0.08977076152535612,-0.030778184097748407,3351,928,2423,FALSE,FALSE,
11,1.503995577222697,0.10481135305417262,0.09412557574108318,-0.010685777313089437,2098,574,1524,FALSE,FALSE,
12,1.0380060250036154,0.12322988718032604,0.08620085027759183,-0.03702903690273421,3372,881,2491,FALSE,FALSE,
13,1.0380060250036154,0.1202320083376208,0.09234804511576711,-0.027883963221853686,4684,2049,2635,FALSE,FALSE,
14,1.503995577222697,0.11559014311466592,0.08330328942217521,-0.03228685369249071,3193,2071,1122,FALSE,FALSE,
15,1.0380060250036154,0.1169866506230347,0.09278726785043585,-0.02419938277259885,3272,705,2567,FALSE,FALSE,
16,1.506024096385542,0.12013778244247382,0.07044360080153479,-0.04969418164093903,3117,2005,1112,FALSE,FALSE,
17,1.0380060250036154,0.11926659181782963,0.08246533405585087,-0.03680125776197876,3117,793,2324,FALSE,FALSE,
18,1.7106890804719728,0.06908401617050638,0.07294461680471451,0.0038606006342081223,2456,1110,1346,FALSE,FALSE,
19,1.4844006568144499,0.12933494255044484,0.10317686259037559,-0.026158079960069247,2152,528,1624,FALSE,FALSE,
20,1.032312925170068,0.1215991749471839,0.08105322123246275,-0.04054595371472115,3187,659,2528,FALSE,FALSE,
21,1.506024096385542,0.11161348910499022,0.07427337694420129,-0.03734011216078893,3263,2116,1147,FALSE,FALSE,
22,1.1553645172795055,0.10400729424529448,0.08987570835470586,-0.014131585890588619,2308,277,2031,FALSE,FALSE,
23,1.5482223542238862,0.06877345823599246,0.08389532985202436,0.015121871616031901,2177,754,1423,FALSE,FALSE,
24,1.506024096385542,0.11560311087824152,0.062366031780618135,-0.05323707909762338,4303,2302,2001,FALSE,FALSE,
