b,gamma_boot,distance_cutoff_km_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
1,6.212866024558282,499.129721333,0.10575914434302869,0.0613431009037881,-0.04441604343924059,3713,2990,723,FALSE,FALSE,
2,0,0,0.11908388082205522,0.1103509599928846,-0.008732920829170612,3151,813,2338,TRUE,FALSE,S_cluster unavailable; used robust S
3,5.893695483748599,362.7433225537648,0.11753807301125466,0.0856333088675587,-0.03190476414369596,5136,3883,1253,FALSE,FALSE,
4,5.322112856214436,204.81617227094975,0.11821839776180004,0.08019214125150115,-0.038026256510298895,3059,828,2231,FALSE,FALSE,
5,5.893695483748599,362.7433225537648,0.11221323448546001,0.06998316244795283,-0.042230072037507185,4164,2472,1692,FALSE,FALSE,
6,6.228819337004976,507.15634914338665,0.11374816184367725,0.07651066231492586,-0.0372374995287514,4182,2941,1241,FALSE,FALSE,
7,6.228819337004976,507.15634914338665,0.11559230680172744,0.0730354441862415,-0.04255686261548594,2993,2063,930,FALSE,FALSE,
8,6.228819337004976,507.15634914338665,0.08555209088790859,0.06802574575793852,-0.017526345129970075,2361,1369,992,FALSE,FALSE,
9,6.228819337004976,507.15634914338665,0.11538296908654644,0.06028684516296673,-0.05509612392357971,3360,2155,1205,FALSE,FALSE,
10,3.166224512012111,23.717768951505168,0.1216753668168751,0.08848967707234612,-0.033185689744528984,3351,1037,2314,FALSE,FALSE,
11,6.228819337004976,507.15634914338665,0.10540428948821359,0.08439163966095836,-0.02101264982725523,2098,1254,844,FALSE,FALSE,
12,6.212866024558282,499.129721333,0.11384841124298875,0.05887560842035634,-0.05497280282263241,3372,2083,1289,FALSE,FALSE,
13,6.228819337004976,507.15634914338665,0.11280115837072426,0.06471736804143254,-0.04808379032929172,4684,4012,672,FALSE,FALSE,
14,5.893695483748599,362.7433225537648,0.11713869878406043,0.08539871787790332,-0.03173998090615711,3193,1755,1438,FALSE,FALSE,
15,6.228819337004976,507.15634914338665,0.10762032382211709,0.07504699900756166,-0.032573324814555424,3272,2360,912,FALSE,FALSE,
16,6.228819337004976,507.15634914338665,0.11949386396538308,0.08160064866318494,-0.03789321530219815,3117,1672,1445,FALSE,FALSE,
17,0,0,0.11817795308135103,0.08206152482150664,-0.03611642825984439,3117,813,2304,TRUE,FALSE,S_cluster unavailable; used robust S
18,5.322112856214436,204.81617227094975,0.05676152615731147,0.07271864546239107,0.0159571193050796,2456,247,2209,FALSE,FALSE,
19,6.228819337004976,507.15634914338665,0.11722624721762347,0.09523755975007415,-0.02198868746754931,2152,1499,653,FALSE,FALSE,
20,0,0,0.11843408975723552,0.07781714096990115,-0.040616948787334364,3187,813,2374,TRUE,FALSE,S_cluster unavailable; used robust S
21,0,0,0.11896495353901425,0.08968923399413245,-0.029275719544881798,3263,813,2450,TRUE,FALSE,S_cluster unavailable; used robust S
22,5.322112856214436,204.81617227094975,0.08261350664300086,0.09449657462182776,0.011883067978826892,2308,359,1949,FALSE,FALSE,
23,5.661712889523027,287.64091794375616,0.055188510806479935,0.09540233851786907,0.040213827711389136,2177,872,1305,FALSE,FALSE,
24,6.228819337004976,507.15634914338665,0.11353645493870057,0.05823114513842499,-0.05530530980027558,4303,2863,1440,FALSE,FALSE,
25,0,0,0.11795730352750847,0.06109481878062185,-0.05686248474688662,2942,813,2129,TRUE,FALSE,S_cluster unavailable; used robust S
26,3.166224512012111,23.717768951505168,0.12007205086185709,0.07585365022793131,-0.04421840063392578,3310,925,2385,FALSE,FALSE,
27,5.893695483748599,362.7433225537648,0.12016544500006533,0.12110667316827872,9.4122816821339e-4,2588,677,1911,FALSE,FALSE,
28,6.212866024558282,499.129721333,0.10426893140621575,0.07220208103525948,-0.032066850370956274,2623,1128,1495,FALSE,FALSE,
29,0,0,0.11802617708742702,0.06821562580095725,-0.04981055128646977,3794,1626,2168,TRUE,FALSE,S_cluster unavailable; used robust S
30,6.031531866870764,416.3523374741248,0.11487915343516233,0.06939356962839449,-0.04548558380676784,3300,2084,1216,FALSE,FALSE,
31,0,0,0.11813945951040479,0.07440743514033239,-0.0437320243700724,3087,813,2274,TRUE,FALSE,S_cluster unavailable; used robust S
32,6.212866024558282,499.129721333,0.11377874786128132,0.03985922113428022,-0.07391952672700111,2571,1791,780,FALSE,FALSE,
33,6.212866024558282,499.129721333,0.1049909554489131,0.06715244895195645,-0.03783850649695665,3325,1750,1575,FALSE,FALSE,
34,6.212866024558282,499.129721333,0.10407790089109298,0.07097636616384703,-0.033101534727245946,2569,1693,876,FALSE,FALSE,
35,6.212866024558282,499.129721333,0.11310070752602702,0.07841390794513242,-0.0346867995808946,2793,1035,1758,FALSE,FALSE,
36,0,0,0.1184097178907175,0.08692557032472402,-0.03148414756599348,5243,3252,1991,TRUE,FALSE,S_cluster unavailable; used robust S
