birth_aimag,N,n_unique_student_teacher_ratio_at_17,mean_student_teacher_ratio_at_17,min_student_teacher_ratio_at_17,max_student_teacher_ratio_at_17
11,206,17,22.273029968145057,19.532757745048247,27.274253105068816
21,52,16,19.634132759921076,17.22017220172202,26.22432859399684
22,26,15,21.767144073257523,18.992248062015506,27.705627705627705
23,39,15,20.30618802899193,17.757009345794394,25.46875
41,43,14,24.224600821487126,18.844221105527637,27.606177606177607
42,8,6,14.165128632409864,3.67553865652725,23.80952380952381
43,41,16,29.525110221106505,20.166320166320165,38.888888888888886
44,9,9,43.17912046917119,21.223709369024856,66.4804469273743
45,26,13,20.997184215907268,17.971014492753625,25.02883506343714
46,14,8,21.030996586763578,18.73873873873874,25.235849056603772
48,25,12,15.031128049422248,7.502467917077986,27.586206896551722
61,17,10,17.383840428376025,12.023038156947445,25.690276110444177
62,71,16,23.696023742855242,21.03174603174603,28.55421686746988
63,26,13,19.680723339463444,16.433566433566433,25.387596899224807
64,42,16,23.29668951073674,17.757009345794394,27.07182320441989
65,73,14,21.024363422057395,17.182817182817182,26.490066225165563
67,35,12,23.508829658008285,20.484753713838938,25.519287833827892
81,80,17,18.662269957888366,16.1547212741752,24
82,46,12,19.30497809189826,16.212338593974174,27.881040892193308
83,34,16,18.44269981883905,15.137307434695245,24.9667994687915
84,50,15,21.405462681275683,17.69825918762089,27.42138364779874
85,69,16,20.630823096455817,16.634799235181646,27.225130890052355
