b,gamma_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
1,17.68447837150127,0.09249509835012791,0.09360845112125472,0.0011133527711268132,1137,134,1003,FALSE,FALSE,
2,23.36842105263158,0.11941004530694613,0.1328328697326757,0.013422824425729563,1096,726,370,FALSE,FALSE,
3,21.48070907194995,0.10981102478850455,0.12097655261705925,0.011165527828554705,1490,805,685,FALSE,FALSE,
4,25.666666666666668,0.09043440081848654,0.1106597912642039,0.02022539044571736,939,774,165,FALSE,FALSE,
5,25.387596899224807,0.09209618637644451,0.11302707998661776,0.02093089361017325,1323,1063,260,FALSE,FALSE,
6,25.519287833827892,0.10074663662550354,0.13278277496254187,0.032036138337038333,1233,1005,228,FALSE,FALSE,
7,25.42759407069555,0.10589909035429756,0.14567484887287102,0.039775758518573456,950,769,181,FALSE,FALSE,
8,25.806451612903224,0.06553362064708203,0.13158722245383833,0.0660536018067563,783,674,109,FALSE,FALSE,
9,25.519287833827892,0.08065841028751898,0.13857499353011932,0.057916583242600336,945,777,168,FALSE,FALSE,
10,25.235849056603772,0.12589153183422835,0.14004932139091097,0.01415778955668262,979,807,172,FALSE,FALSE,
11,24.46808510638298,0.12382911828516246,0.22491080203812808,0.10108168375296561,746,554,192,FALSE,FALSE,
12,25.235849056603772,0.08987417336993472,0.14573146180137403,0.055857288431439306,1149,961,188,FALSE,FALSE,
13,21.57190635451505,0.09063056167796062,0.12139984715142377,0.03076928547346315,1394,713,681,FALSE,FALSE,
14,25.235849056603772,0.08645068274177561,0.13779390097861002,0.05134321823683441,1095,904,191,FALSE,FALSE,
15,25.519287833827892,0.09653455486438572,0.16137219162296448,0.06483763675857876,958,763,195,FALSE,FALSE,
16,25.519287833827892,0.0956310895080682,0.14822376744085747,0.05259267793278927,1124,980,144,FALSE,FALSE,
17,25.06393861892583,0.09067829516864233,0.13635036814126797,0.04567207297262564,902,726,176,FALSE,FALSE,
18,25.806451612903224,0.08798727528758915,0.1093258200858562,0.02133854479826705,775,695,80,FALSE,FALSE,
19,24.366471734892787,0.16376679717008438,0.22258830767490956,0.058821510504825175,679,502,177,FALSE,FALSE,
20,25.806451612903224,0.09145626131700432,0.12519942481837695,0.03374316350137263,948,832,116,FALSE,FALSE,
21,25.46875,0.09095933414458882,0.13565885498968858,0.04469952084509976,1101,943,158,FALSE,FALSE,
22,21.41997593261131,0.09332936237781489,0.1094577579671112,0.01612839558929631,800,431,369,FALSE,FALSE,
23,26.54320987654321,0.1167146943865261,0.036307011304351794,-0.0804076830821743,829,687,142,FALSE,FALSE,
24,17.41357234314981,0.06414467525029707,0.11044653925701164,0.04630186400671457,1369,165,1204,FALSE,FALSE,
25,17.41357234314981,0.05668862880872741,0.07025140952391594,0.01356278071518853,973,128,845,FALSE,FALSE,
26,24.47163515016685,0.11173094699846552,0.14683577795008046,0.03510483095161494,1019,812,207,FALSE,FALSE,
27,25.387596899224807,0.10525748900085474,0.15517229702617785,0.04991480802532311,931,807,124,FALSE,FALSE,
28,17.466666666666665,0.059793110467347144,0.09316033047116153,0.03336722000381438,930,102,828,FALSE,FALSE,
29,19.36842105263158,0.06665095886342741,0.10849500680414358,0.04184404794071617,1115,261,854,FALSE,FALSE,
30,21.48070907194995,0.10605850273322054,0.12210951024099166,0.016051007507771123,1124,652,472,FALSE,FALSE,
31,25.46875,0.10081375197582385,0.13830208513471087,0.03748833315888703,953,802,151,FALSE,FALSE,
32,25.06393861892583,0.08301778912746456,0.15693556421157834,0.07391777508411378,950,741,209,FALSE,FALSE,
33,17.41357234314981,0.026929568760613046,0.09011041011700455,0.0631808413563915,1076,110,966,FALSE,FALSE,
34,25.119617224880383,0.09836154634918381,0.13981941120799768,0.041457864858813864,899,706,193,FALSE,FALSE,
35,25.322391559202813,0.08014787935452655,0.13372567007501257,0.05357779072048602,901,814,87,FALSE,FALSE,
36,22.352941176470587,0.10460524318349873,0.11919885621440063,0.014593613030901897,1431,872,559,FALSE,FALSE,
37,25.806451612903224,0.0932356752345689,0.11410246092094367,0.020866785686374775,1153,972,181,FALSE,FALSE,
38,25.235849056603772,0.09977293044614896,0.13730424971953112,0.03753131927338216,1046,835,211,FALSE,FALSE,
39,19.979612640163097,0.09426205970491922,0.1043579411706775,0.01009588146575828,1240,555,685,FALSE,FALSE,
40,25.06393861892583,0.1114551743622227,0.1818380832210114,0.07038290885878869,1316,1064,252,FALSE,FALSE,
41,18.00804828973843,0.12171545637640992,0.14109319028356956,0.019377733907159647,973,197,776,FALSE,FALSE,
42,25.418410041841003,0.11437907309362326,0.14468402221098753,0.03030494911736427,1174,938,236,FALSE,FALSE,
43,25.322997416020673,0.11814383163674855,0.12228852908697874,0.004144697450230189,859,692,167,FALSE,FALSE,
44,25.46875,0.09554637283133123,0.15167158747258785,0.056125214641256624,920,756,164,FALSE,FALSE,
45,25.666666666666668,0.10626462008202921,0.13696306872481534,0.030698448642786133,871,753,118,FALSE,FALSE,
46,25.387596899224807,0.10903369492755009,0.13275130868721777,0.023717613759667674,1229,1023,206,FALSE,FALSE,
47,25.235849056603772,0.1220274056816685,0.1289941826954498,0.006966777013781289,838,674,164,FALSE,FALSE,
48,19.29824561403509,0.06222021891130991,0.11996586586425417,0.05774564695294426,1349,349,1000,FALSE,FALSE,
49,25.519287833827892,0.08484847188410775,0.12767404257618598,0.04282557069207822,858,745,113,FALSE,FALSE,
50,25.46875,0.07171534306219483,0.15206625227549225,0.08035090921329742,695,595,100,FALSE,FALSE,
51,25.418410041841003,0.10341956460267018,0.13249049878019237,0.029070934177522184,1035,841,194,FALSE,FALSE,
52,21.57190635451505,0.07599196917276758,0.12172823855860251,0.04573626938583493,1172,678,494,FALSE,FALSE,
53,17.41357234314981,0.06418875471190284,0.11286065484224332,0.04867190013034048,974,101,873,FALSE,FALSE,
54,17.46987951807229,0.04064665684665819,0.056066412844343244,0.015419755997685053,689,109,580,FALSE,FALSE,
55,25.806451612903224,0.10541779436015761,0.12076043220661264,0.015342637846455037,1026,870,156,FALSE,FALSE,
56,17.992047713717692,0.11120416296664698,0.1257759021301842,0.014571739163537212,864,175,689,FALSE,FALSE,
57,17.41357234314981,0.08069794324482311,0.1010302754476018,0.02033233220277869,1042,135,907,FALSE,FALSE,
58,25.387596899224807,0.1054205254129695,0.12601994040816109,0.02059941499519158,1296,1067,229,FALSE,FALSE,
59,17.780748663101605,0.08581361627777934,0.09982006774925062,0.014006451471471282,1124,167,957,FALSE,FALSE,
60,25.46875,0.08319096604047796,0.13246372822945382,0.04927276218897586,1050,863,187,FALSE,FALSE,
61,25.519287833827892,0.08813252554390015,0.13249928767591646,0.044366762132016305,1241,1022,219,FALSE,FALSE,
62,25.519287833827892,0.09694054588085999,0.14478840969207674,0.04784786381121675,1202,993,209,FALSE,FALSE,
63,25.519287833827892,0.12360925820320011,0.17049343897147917,0.04688418076827906,1383,1127,256,FALSE,FALSE,
64,25.46875,0.10553139413749446,0.12141988755056399,0.015888493413069527,869,725,144,FALSE,FALSE,
65,25.806451612903224,0.08397703386755223,0.11445881543212663,0.0304817815645744,917,720,197,FALSE,FALSE,
66,25.519287833827892,0.06817564071360857,0.12087630000139163,0.05270065928778306,813,683,130,FALSE,FALSE,
67,25.666666666666668,0.07183994297538708,0.12260700646342183,0.05076706348803475,979,825,154,FALSE,FALSE,
68,25.46875,0.08805564433074639,0.11731672078648384,0.029261076455737445,1278,1054,224,FALSE,FALSE,
69,25.46875,0.11074812625059521,0.15073453311454202,0.039986406863946805,1007,834,173,FALSE,FALSE,
70,25.387596899224807,0.11036249458338868,0.14389311650112244,0.03353062191773376,984,812,172,FALSE,FALSE,
71,25.56291390728477,0.0913604291196763,0.13934124130003767,0.04798081218036136,893,732,161,FALSE,FALSE,
72,25.18676627534685,0.09923447704749935,0.1115490685760107,0.012314591528511346,1498,1160,338,FALSE,FALSE,
73,25.235849056603772,0.1015671018124572,0.10831973916228058,0.0067526373498233705,1265,985,280,FALSE,FALSE,
74,25.387596899224807,0.13620546283828172,0.14722846500815812,0.011023002169876395,963,792,171,FALSE,FALSE,
75,25.46875,0.11556082179039488,0.17890157612891408,0.0633407543385192,898,751,147,FALSE,FALSE,
76,25.46875,0.06490416358872127,0.14768161800360058,0.08277745441487931,993,861,132,FALSE,FALSE,
77,25.322997416020673,0.08680136817999676,0.11085610895596198,0.024054740775965228,1234,1084,150,FALSE,FALSE,
78,25.46875,0.10813046159223304,0.17384582259095455,0.06571536099872151,938,795,143,FALSE,FALSE,
79,21.48070907194995,0.07390161054821838,0.13200041308752536,0.05809880253930698,877,529,348,FALSE,FALSE,
80,17.41357234314981,0.033642265988187384,0.08360400833943926,0.04996174235125188,1097,126,971,FALSE,FALSE,
81,25.679347826086957,0.08500545955794693,0.15748320120846804,0.07247774165052111,1008,862,146,FALSE,FALSE,
82,25.418410041841003,0.11113224923950103,0.15847754472720826,0.04734529548770723,932,758,174,FALSE,FALSE,
83,18.838028169014084,0.16752778223664563,0.13351198848197515,-0.03401579375467048,908,315,593,FALSE,FALSE,
84,25.418410041841003,0.13428441938194877,0.20769847443821493,0.07341405505626616,861,677,184,FALSE,FALSE,
85,25.387596899224807,0.0979729548041974,0.1259372705039618,0.027964315699764403,960,786,174,FALSE,FALSE,
86,17.780748663101605,0.07537217530659225,0.08587862756237545,0.0105064522557832,704,105,599,FALSE,FALSE,
87,25.235849056603772,0.12187488204565336,0.14896823603255704,0.027093353986903684,1010,825,185,FALSE,FALSE,
88,25.519287833827892,0.08263087085830184,0.12593759179114533,0.04330672093284349,999,850,149,FALSE,FALSE,
89,25.46875,0.07534138819351903,0.12271166678043421,0.047370278586915185,813,668,145,FALSE,FALSE,
90,25.736235595390525,0.08966527027290393,0.12057931494895133,0.0309140446760474,1179,1007,172,FALSE,FALSE,
91,25.387596899224807,0.10034831211741105,0.13556621611755382,0.03521790400014277,1134,980,154,FALSE,FALSE,
92,25.06393861892583,0.09106533300595758,0.1354794277530188,0.04441409474706122,1012,779,233,FALSE,FALSE,
93,25.119617224880383,0.09611967387915876,0.1340249049688956,0.03790523108973684,1023,846,177,FALSE,FALSE,
94,25.18676627534685,0.10545818098427964,0.12087558319829848,0.015417402214018841,1427,1123,304,FALSE,FALSE,
95,25.46875,0.09388113402418624,0.12174172289900369,0.027860588874817446,1137,937,200,FALSE,FALSE,
96,25.46875,0.0919688294725198,0.16761650512828327,0.07564767565576347,869,733,136,FALSE,FALSE,
97,25.06393861892583,0.1191922868412687,0.1512801803063067,0.03208789346503799,1271,979,292,FALSE,FALSE,
98,25.06393861892583,0.09630370373568928,0.14534856447968642,0.04904486074399714,1374,1137,237,FALSE,FALSE,
